run,run_label,left_update,right_update,delta_l2,relative_l2_to_left
independent_gru,independent_gru,1,5,0.03828419213567355,0.00023641892147426808
independent_gru,independent_gru,5,10,0.04128917916775384,0.0002549759214529637
independent_gru,independent_gru,10,15,0.04513041153913281,0.00027869691242206834
independent_gru,independent_gru,15,20,0.03911743225671224,0.00024156449200253446
privilege_mlp,privilege_mlp,1,5,0.03617043128688202,0.00022336569192536377
privilege_mlp,privilege_mlp,5,10,0.04004086570643418,0.00024726702628817125
privilege_mlp,privilege_mlp,10,15,0.04144460033220674,0.00025593560377075783
privilege_mlp,privilege_mlp,15,20,0.039220269316325114,0.0002421995204062444
privilege_gru,privilege_gru / bs12800 / clip0.15,1,5,0.035220092517360545,0.00021749698001523077
privilege_gru,privilege_gru / bs12800 / clip0.15,5,10,0.03358878248331643,0.00020742307562220908
privilege_gru,privilege_gru / bs12800 / clip0.15,10,15,0.04461743663127245,0.00027552903902198
privilege_gru,privilege_gru / bs12800 / clip0.15,15,20,0.041874722291548656,0.0002585917105462528
batch_25600,privilege_gru / bs25600,1,5,0.02942676913867618,0.00018172108932959594
batch_25600,privilege_gru / bs25600,5,10,0.033990850303613374,0.00020990593076483714
batch_25600,privilege_gru / bs25600,10,15,0.03261699519855299,0.00020142184515163845
batch_25600,privilege_gru / bs25600,15,20,0.027214197880531723,0.00016805761062450904
batch_51200,privilege_gru / bs51200,1,5,0.02214299552161815,0.0001367411159645982
batch_51200,privilege_gru / bs51200,5,10,0.024040672094805017,0.0001484599514480885
batch_51200,privilege_gru / bs51200,10,15,0.022477831734480983,0.00013880882689468456
batch_51200,privilege_gru / bs51200,15,20,0.017044036210996833,0.00010525314738443994
clip_010,privilege_gru / clip0.10,1,5,0.03206756908350731,0.0001980290022313622
clip_010,privilege_gru / clip0.10,5,10,0.0363952736585627,0.0002247541276645657
clip_010,privilege_gru / clip0.10,10,15,0.02819647899511439,0.00017412354534974435
clip_010,privilege_gru / clip0.10,15,20,0.03197369190329229,0.0001974491953674146
clip_020,privilege_gru / clip0.20,1,5,0.038418486315789875,0.00023724826130685041
clip_020,privilege_gru / clip0.20,5,10,0.04479247861941276,0.0002766100973010401
clip_020,privilege_gru / clip0.20,10,15,0.05008077564278173,0.0003092672401658748
clip_020,privilege_gru / clip0.20,15,20,0.05026457216806037,0.00031040230025593555
