run,run_label,update,actor_delta_l2_from_bc,actor_relative_l2_from_bc,actor_delta_rms_from_bc,actor_max_abs_delta_from_bc,gru_relative_l2_from_bc,head_relative_l2_from_bc,fixed_frontend_delta_l2,source_path
independent_gru,independent_gru,1,0.022794153712832346,0.00014076225192852446,6.78056915394409e-06,0.0003284439444541931,5.392971876050268e-05,0.0007090364688673147,0.0,post-trained/ppo_independent_gru_0721_base/checkpoints/actor_u0001.pth
independent_gru,independent_gru,5,0.04623595217642703,0.0002855239475177132,1.3753792971669827e-05,0.001048848032951355,0.00011578496979998643,0.0014238502351106787,0.0,post-trained/ppo_independent_gru_0721_base/checkpoints/actor_u0005.pth
independent_gru,independent_gru,10,0.06046127832372125,0.0003733705492445225,1.798539590347054e-05,0.0013396292924880981,0.0001641971505083639,0.0018306997960328975,0.0,post-trained/ppo_independent_gru_0721_base/checkpoints/actor_u0010.pth
independent_gru,independent_gru,15,0.07511079630397939,0.000463836690981895,2.2343183035579206e-05,0.0017479397356510162,0.0002113110772419346,0.0022550732940278552,0.0,post-trained/ppo_independent_gru_0721_base/checkpoints/actor_u0015.pth
independent_gru,independent_gru,20,0.0870342572889518,0.000537468431829626,2.5890050920279177e-05,0.0019168220460414886,0.00025157864320463487,0.0025947479843716733,0.0,post-trained/ppo_independent_gru_0721_base/checkpoints/actor_u0020.pth
privilege_mlp,privilege_mlp,1,0.02225097672290047,0.00013740793497243916,6.618990479453059e-06,0.0003158748149871826,5.6138490701774715e-05,0.0006842522606387947,0.0,post-trained/ppo_privilege_mlp_0721_base/checkpoints/actor_u0001.pth
privilege_mlp,privilege_mlp,5,0.044014905616670236,0.0002718081711248628,1.309309900679223e-05,0.0007994323968887329,0.00011555525361322661,0.0013427065347442564,0.0,post-trained/ppo_privilege_mlp_0721_base/checkpoints/actor_u0005.pth
privilege_mlp,privilege_mlp,10,0.061629512487167935,0.0003805848232947153,1.8332910122820166e-05,0.0011983513832092285,0.000180422022457927,0.0018309981988434481,0.0,post-trained/ppo_privilege_mlp_0721_base/checkpoints/actor_u0010.pth
privilege_mlp,privilege_mlp,15,0.07712952949954845,0.0004763031082146257,2.294369491280729e-05,0.0015509934164583683,0.00021838276230993963,0.0023119404248501674,0.0,post-trained/ppo_privilege_mlp_0721_base/checkpoints/actor_u0015.pth
privilege_mlp,privilege_mlp,20,0.08885416211240384,0.0005487070110053238,2.6431417389263985e-05,0.001774132251739502,0.0002503409166350679,0.0026667156991658663,0.0,post-trained/ppo_privilege_mlp_0721_base/checkpoints/actor_u0020.pth
privilege_gru,privilege_gru / bs12800 / clip0.15,1,0.019082240863743986,0.00011783982988194705,5.676387700938971e-06,0.0003016311675310135,4.496421596083788e-05,0.0005939708212823194,0.0,post-trained/ppo_privilege_gru_0721_base/checkpoints/actor_u0001.pth
privilege_gru,privilege_gru / bs12800 / clip0.15,5,0.04152962698065495,0.0002564606648351944,1.2353804016040522e-05,0.0008468832820653915,0.0001114244176063496,0.0012609274311332383,0.0,post-trained/ppo_privilege_gru_0721_base/checkpoints/actor_u0005.pth
