run,run_label,left_update,right_update,collision_flip_count,collision_flip_rate,collision_set_jaccard
independent_gru,independent_gru,1,5,22,0.03666666666666667,0.26666666666666666
independent_gru,independent_gru,5,10,22,0.03666666666666667,0.35294117647058826
independent_gru,independent_gru,10,15,20,0.03333333333333333,0.47368421052631576
independent_gru,independent_gru,15,20,13,0.021666666666666667,0.6578947368421053
privilege_mlp,privilege_mlp,1,5,23,0.03833333333333333,0.3611111111111111
privilege_mlp,privilege_mlp,5,10,12,0.02,0.6129032258064516
privilege_mlp,privilege_mlp,10,15,24,0.04,0.3142857142857143
privilege_mlp,privilege_mlp,15,20,18,0.03,0.4375
privilege_gru,privilege_gru / bs12800 / clip0.15,1,5,14,0.023333333333333334,0.4166666666666667
privilege_gru,privilege_gru / bs12800 / clip0.15,5,10,14,0.023333333333333334,0.44
privilege_gru,privilege_gru / bs12800 / clip0.15,10,15,18,0.03,0.28
privilege_gru,privilege_gru / bs12800 / clip0.15,15,20,12,0.02,0.4
batch_25600,privilege_gru / bs25600,1,5,14,0.023333333333333334,0.48148148148148145
batch_25600,privilege_gru / bs25600,5,10,17,0.028333333333333332,0.43333333333333335
batch_25600,privilege_gru / bs25600,10,15,15,0.025,0.4827586206896552
batch_25600,privilege_gru / bs25600,15,20,14,0.023333333333333334,0.46153846153846156
batch_51200,privilege_gru / bs51200,1,5,15,0.025,0.4444444444444444
batch_51200,privilege_gru / bs51200,5,10,12,0.02,0.45454545454545453
batch_51200,privilege_gru / bs51200,10,15,12,0.02,0.45454545454545453
batch_51200,privilege_gru / bs51200,15,20,14,0.023333333333333334,0.46153846153846156
clip_010,privilege_gru / clip0.10,1,5,11,0.018333333333333333,0.6451612903225806
clip_010,privilege_gru / clip0.10,5,10,14,0.023333333333333334,0.48148148148148145
clip_010,privilege_gru / clip0.10,10,15,21,0.035,0.36363636363636365
clip_010,privilege_gru / clip0.10,15,20,18,0.03,0.45454545454545453
clip_020,privilege_gru / clip0.20,1,5,23,0.03833333333333333,0.34285714285714286
clip_020,privilege_gru / clip0.20,5,10,15,0.025,0.5
clip_020,privilege_gru / clip0.20,10,15,14,0.023333333333333334,0.48148148148148145
clip_020,privilege_gru / clip0.20,15,20,12,0.02,0.45454545454545453
