run,run_label,update,checkpoint_stage,critic_parameter_count,critic_total_l2_norm,critic_delta_l2_from_warmup,critic_relative_l2_from_warmup,privileged_projection_l2,privileged_projection_max_abs,source_path
independent_gru,independent_gru,0,warmup,11301001,162.08606940443119,0.0,0.0,,,post-trained/ppo_independent_gru_0721_base/checkpoints/critic_warmup.pt
independent_gru,independent_gru,1,u0001,11301001,162.09643439212456,1.5062121308736105,0.009292668619876059,,,post-trained/ppo_independent_gru_0721_base/checkpoints/critic_u0001.pt
independent_gru,independent_gru,5,u0005,11301001,162.15599336662208,4.214907603323603,0.026004132365050576,,,post-trained/ppo_independent_gru_0721_base/checkpoints/critic_u0005.pt
independent_gru,independent_gru,10,u0010,11301001,162.24821074278188,6.133541710797891,0.03784126380098529,,,post-trained/ppo_independent_gru_0721_base/checkpoints/critic_u0010.pt
independent_gru,independent_gru,15,u0015,11301001,162.37135712028874,7.9815290651853426,0.04924253573741816,,,post-trained/ppo_independent_gru_0721_base/checkpoints/critic_u0015.pt
independent_gru,independent_gru,20,u0020,11301001,162.47538886797582,9.32241527008742,0.05751521586242229,,,post-trained/ppo_independent_gru_0721_base/checkpoints/critic_u0020.pt
privilege_mlp,privilege_mlp,0,warmup,6181,9.404193643376285,0.0,0.0,,,post-trained/ppo_privilege_mlp_0721_base/checkpoints/critic_warmup.pt
privilege_mlp,privilege_mlp,1,u0001,6181,9.435741316455601,0.3683739683744187,0.039171244483452106,,,post-trained/ppo_privilege_mlp_0721_base/checkpoints/critic_u0001.pt
privilege_mlp,privilege_mlp,5,u0005,6181,9.553481242254856,1.0216858637069142,0.1086415170136915,,,post-trained/ppo_privilege_mlp_0721_base/checkpoints/critic_u0005.pt
privilege_mlp,privilege_mlp,10,u0010,6181,9.709990571263342,1.6399290804967044,0.17438274270880905,,,post-trained/ppo_privilege_mlp_0721_base/checkpoints/critic_u0010.pt
privilege_mlp,privilege_mlp,15,u0015,6181,9.897170707724458,2.1893286908480314,0.23280344640606745,,,post-trained/ppo_privilege_mlp_0721_base/checkpoints/critic_u0015.pt
privilege_mlp,privilege_mlp,20,u0020,6181,10.055239530183949,2.6363522426805623,0.28033793673925894,,,post-trained/ppo_privilege_mlp_0721_base/checkpoints/critic_u0020.pt
privilege_gru,privilege_gru / bs12800 / clip0.15,0,warmup,11309401,162.0798939160269,0.0,0.0,0.07564918758589435,0.003380242269486189,post-trained/ppo_privilege_gru_0721_base/checkpoints/critic_warmup.pt
privilege_gru,privilege_gru / bs12800 / clip0.15,1,u0001,11309401,162.09063270706918,1.6021766564594486,0.009885104301027809,0.14266452678104657,0.008003367111086845,post-trained/ppo_privilege_gru_0721_base/checkpoints/critic_u0001.pt
privilege_gru,privilege_gru / bs12800 / clip0.15,5,u0005,11309401,162.1460527689863,4.023964205285146,0.02482704120826948,0.35948256875182105,0.022424552589654922,post-trained/ppo_privilege_gru_0721_base/checkpoints/critic_u0005.pt
privilege_gru,privilege_gru / bs12800 / clip0.15,10,u0010,11309401,162.22071982276802,5.823516445025023,0.03592991273823371,0.5571203058082554,0.03659633547067642,post-trained/ppo_privilege_gru_0721_base/checkpoints/critic_u0010.pt
privilege_gru,privilege_gru / bs12800 / clip0.15,15,u0015,11309401,162.3157587299492,7.328136388230234,0.0452131119485241,0.7012822955852388,0.05155916512012482,post-trained/ppo_privilege_gru_0721_base/checkpoints/critic_u0015.pt
privilege_gru,privilege_gru / bs12800 / clip0.15,20,u0020,11309401,162.4203991406439,8.736170220623725,0.05390039448785615,0.8433483887761137,0.0677582398056984,post-trained/ppo_privilege_gru_0721_base/checkpoints/critic_u0020.pt
batch_25600,privilege_gru / bs25600,0,warmup,11309401,162.08291856165457,0.0,0.0,0.08599024978284824,0.0038178157992661,post-trained/ppo_privilege_gru_0721_bs25600/checkpoints/critic_warmup.pt
batch_25600,privilege_gru / bs25600,1,u0001,11309401,162.08805640051742,1.0720647005905497,0.006614297855099074,0.13090604561608973,0.00744212232530117,post-trained/ppo_privilege_gru_0721_bs25600/checkpoints/critic_u0001.pt
batch_25600,privilege_gru / bs25600,5,u0005,11309401,162.11522088762155,3.027218566429221,0.018676974682422815,0.27374480900819326,0.020181652158498764,post-trained/ppo_privilege_gru_0721_bs25600/checkpoints/critic_u0005.pt
batch_25600,privilege_gru / bs25600,10,u0010,11309401,162.15335529260133,4.3000013178899525,0.026529639002362115,0.4396369693317149,0.03067532554268837,post-trained/ppo_privilege_gru_0721_bs25600/checkpoints/critic_u0010.pt
