group,control_strength,left_run,left_label,right_run,right_label,update,left_collision_count,right_collision_count,delta_left_minus_right,left_only_collisions,right_only_collisions,discordant_scenarios,mcnemar_exact_p,cluster_bootstrap_delta_ci_low,cluster_bootstrap_delta_ci_high
critic,strict,independent_gru,independent_gru,privilege_gru,privilege_gru / bs12800 / clip0.15,1,19,16,3,9,6,15,0.6072387695312499,-4.0,11.0
critic,strict,independent_gru,independent_gru,privilege_gru,privilege_gru / bs12800 / clip0.15,5,19,18,1,10,9,19,1.0,-7.0,9.0
critic,strict,independent_gru,independent_gru,privilege_gru,privilege_gru / bs12800 / clip0.15,10,27,18,9,18,9,27,0.12207812070846558,0.0,18.0
critic,strict,independent_gru,independent_gru,privilege_gru,privilege_gru / bs12800 / clip0.15,15,29,14,15,21,6,27,0.005924612283706665,5.0,25.0
critic,strict,independent_gru,independent_gru,privilege_gru,privilege_gru / bs12800 / clip0.15,20,34,14,20,25,5,30,0.0003249142318964005,11.0,30.0
critic,strict,privilege_mlp,privilege_mlp,privilege_gru,privilege_gru / bs12800 / clip0.15,1,24,16,8,11,3,14,0.057373046875,1.0,16.0
critic,strict,privilege_mlp,privilege_mlp,privilege_gru,privilege_gru / bs12800 / clip0.15,5,25,18,7,15,8,23,0.21003961563110352,-2.0,16.0
critic,strict,privilege_mlp,privilege_mlp,privilege_gru,privilege_gru / bs12800 / clip0.15,10,25,18,7,16,9,25,0.2295229434967041,-2.0,16.0
critic,strict,privilege_mlp,privilege_mlp,privilege_gru,privilege_gru / bs12800 / clip0.15,15,21,14,7,11,4,15,0.11846923828124999,0.0,14.0
critic,strict,privilege_mlp,privilege_mlp,privilege_gru,privilege_gru / bs12800 / clip0.15,20,25,14,11,17,6,23,0.03468966484069824,2.0,20.0
batch,strict,batch_25600,privilege_gru / bs25600,privilege_gru,privilege_gru / bs12800 / clip0.15,1,18,16,2,7,5,12,0.7744140625,-5.0,10.0
batch,strict,batch_25600,privilege_gru / bs25600,privilege_gru,privilege_gru / bs12800 / clip0.15,5,22,18,4,13,9,22,0.5234670639038086,-5.0,13.0
batch,strict,batch_25600,privilege_gru / bs25600,privilege_gru,privilege_gru / bs12800 / clip0.15,10,21,18,3,14,11,25,0.6900379657745361,-6.0,12.0
batch,strict,batch_25600,privilege_gru / bs25600,privilege_gru,privilege_gru / bs12800 / clip0.15,15,22,14,8,12,4,16,0.076812744140625,0.0,16.0
batch,strict,batch_25600,privilege_gru / bs25600,privilege_gru,privilege_gru / bs12800 / clip0.15,20,16,14,2,6,4,10,0.75390625,-4.0,8.0
batch,strict,batch_51200,privilege_gru / bs51200,privilege_gru,privilege_gru / bs12800 / clip0.15,1,22,16,6,11,5,16,0.210113525390625,-2.0,14.0
batch,strict,batch_51200,privilege_gru / bs51200,privilege_gru,privilege_gru / bs12800 / clip0.15,5,17,18,-1,5,6,11,1.0,-7.024999999999977,5.0
batch,strict,batch_51200,privilege_gru / bs51200,privilege_gru,privilege_gru / bs12800 / clip0.15,10,15,18,-3,9,12,21,0.6636238098144531,-12.0,6.0
batch,strict,batch_51200,privilege_gru / bs51200,privilege_gru,privilege_gru / bs12800 / clip0.15,15,17,14,3,9,6,15,0.6072387695312499,-5.0,11.0
batch,strict,batch_51200,privilege_gru / bs51200,privilege_gru,privilege_gru / bs12800 / clip0.15,20,21,14,7,13,6,19,0.1670684814453125,-1.0,15.0
clip,worker_contaminated,clip_010,privilege_gru / clip0.10,privilege_gru,privilege_gru / bs12800 / clip0.15,1,28,16,12,15,3,18,0.007537841796875,3.0,21.0
clip,worker_contaminated,clip_010,privilege_gru / clip0.10,privilege_gru,privilege_gru / bs12800 / clip0.15,5,23,18,5,13,8,21,0.38331031799316406,-5.0,15.0
clip,worker_contaminated,clip_010,privilege_gru / clip0.10,privilege_gru,privilege_gru / bs12800 / clip0.15,10,17,18,-1,8,9,17,1.0,-9.0,7.0
clip,worker_contaminated,clip_010,privilege_gru / clip0.10,privilege_gru,privilege_gru / bs12800 / clip0.15,15,28,14,14,19,5,24,0.006610751152038574,5.0,24.0
clip,worker_contaminated,clip_010,privilege_gru / clip0.10,privilege_gru,privilege_gru / bs12800 / clip0.15,20,20,14,6,11,5,16,0.210113525390625,-2.0,14.0
clip,worker_contaminated,clip_020,privilege_gru / clip0.20,privilege_gru,privilege_gru / bs12800 / clip0.15,1,24,16,8,10,2,12,0.03857421875,2.0,15.0
clip,worker_contaminated,clip_020,privilege_gru / clip0.20,privilege_gru,privilege_gru / bs12800 / clip0.15,5,23,18,5,16,11,27,0.44206833839416504,-4.0,14.0
clip,worker_contaminated,clip_020,privilege_gru / clip0.20,privilege_gru,privilege_gru / bs12800 / clip0.15,10,22,18,4,13,9,22,0.5234670639038086,-5.0,13.0
clip,worker_contaminated,clip_020,privilege_gru / clip0.20,privilege_gru,privilege_gru / bs12800 / clip0.15,15,18,14,4,13,9,22,0.5234670639038086,-4.0,12.0
clip,worker_contaminated,clip_020,privilege_gru / clip0.20,privilege_gru,privilege_gru / bs12800 / clip0.15,20,14,14,0,8,8,16,1.0,-8.0,8.0
clip,strict,clip_010,privilege_gru / clip0.10,clip_020,privilege_gru / clip0.20,1,28,24,4,7,3,10,0.34375,-2.0,10.0
clip,strict,clip_010,privilege_gru / clip0.10,clip_020,privilege_gru / clip0.20,5,23,23,0,13,13,26,1.0,-10.0,11.0
clip,strict,clip_010,privilege_gru / clip0.10,clip_020,privilege_gru / clip0.20,10,17,22,-5,11,16,27,0.44206833839416504,-15.0,6.0
clip,strict,clip_010,privilege_gru / clip0.10,clip_020,privilege_gru / clip0.20,15,28,18,10,17,7,24,0.06391465663909912,0.0,20.0
clip,strict,clip_010,privilege_gru / clip0.10,clip_020,privilege_gru / clip0.20,20,20,14,6,11,5,16,0.210113525390625,-2.0,15.0
