episode_key,cluster_id,opponent_raceline,ego_index,opponent_index,speed_scale,collision_count,checkpoint_count,collision_frequency,risk_band
ol0_e213_o221_s0.7,ol0_e213_o221,0,213,221,0.7,35,35,1.0,universal
ol1_e1497_o1512_s0.5,ol1_e1497_o1512,1,1497,1512,0.5,35,35,1.0,universal
ol2_e727_o745_s0.5,ol2_e727_o745,2,727,745,0.5,35,35,1.0,universal
ol1_e1368_o1383_s0.6,ol1_e1368_o1383,1,1368,1383,0.6,30,35,0.8571428571428571,near_universal
ol2_e641_o661_s0.7,ol2_e641_o661,2,641,661,0.7,27,35,0.7714285714285715,frequent
ol0_e256_o262_s0.8,ol0_e256_o262,0,256,262,0.8,21,35,0.6,frequent
ol0_e898_o902_s0.7,ol0_e898_o902,0,898,902,0.7,21,35,0.6,frequent
ol2_e727_o745_s0.7,ol2_e727_o745,2,727,745,0.7,21,35,0.6,frequent
ol2_e85_o106_s0.8,ol2_e85_o106,2,85,106,0.8,21,35,0.6,frequent
ol0_e1539_o1533_s0.7,ol0_e1539_o1533,0,1539,1533,0.7,20,35,0.5714285714285714,frequent
ol0_e513_o523_s0.8,ol0_e513_o523,0,513,523,0.8,19,35,0.5428571428571428,frequent
ol2_e1582_o1611_s0.7,ol2_e1582_o1611,2,1582,1611,0.7,19,35,0.5428571428571428,frequent
ol1_e1539_o1554_s0.5,ol1_e1539_o1554,1,1539,1554,0.5,18,35,0.5142857142857142,frequent
ol0_e384_o391_s0.7,ol0_e384_o391,0,384,391,0.7,16,35,0.45714285714285713,frequent
ol1_e1368_o1383_s0.5,ol1_e1368_o1383,1,1368,1383,0.5,16,35,0.45714285714285713,frequent
ol1_e1411_o1426_s0.5,ol1_e1411_o1426,1,1411,1426,0.5,16,35,0.45714285714285713,frequent
ol1_e1497_o1512_s0.6,ol1_e1497_o1512,1,1497,1512,0.6,16,35,0.45714285714285713,frequent
ol2_e128_o149_s0.8,ol2_e128_o149,2,128,149,0.8,16,35,0.45714285714285713,frequent
ol0_e556_o565_s0.8,ol0_e556_o565,0,556,565,0.8,14,35,0.4,frequent
ol0_e727_o739_s0.5,ol0_e727_o739,0,727,739,0.5,14,35,0.4,frequent
ol1_e256_o271_s0.5,ol1_e256_o271,1,256,271,0.5,14,35,0.4,frequent
ol1_e256_o271_s0.6,ol1_e256_o271,1,256,271,0.6,14,35,0.4,frequent
ol0_e855_o859_s0.7,ol0_e855_o859,0,855,859,0.7,12,35,0.34285714285714286,frequent
ol2_e1967_o2001_s0.8,ol2_e1967_o2001,2,1967,2001,0.8,12,35,0.34285714285714286,frequent
ol2_e42_o63_s0.8,ol2_e42_o63,2,42,63,0.8,12,35,0.34285714285714286,frequent
ol0_e1069_o1067_s0.8,ol0_e1069_o1067,0,1069,1067,0.8,11,35,0.3142857142857143,frequent
ol0_e1283_o1279_s0.7,ol0_e1283_o1279,0,1283,1279,0.7,11,35,0.3142857142857143,frequent
ol0_e1454_o1450_s0.8,ol0_e1454_o1450,0,1454,1450,0.8,11,35,0.3142857142857143,frequent
ol0_e171_o179_s0.7,ol0_e171_o179,0,171,179,0.7,11,35,0.3142857142857143,frequent
ol0_e1924_o1919_s0.7,ol0_e1924_o1919,0,1924,1919,0.7,11,35,0.3142857142857143,frequent
ol0_e641_o651_s0.8,ol0_e641_o651,0,641,651,0.8,11,35,0.3142857142857143,frequent
ol2_e1069_o1102_s0.8,ol2_e1069_o1102,2,1069,1102,0.8,11,35,0.3142857142857143,frequent
ol2_e171_o194_s0.8,ol2_e171_o194,2,171,194,0.8,10,35,0.2857142857142857,frequent
ol0_e1069_o1067_s0.7,ol0_e1069_o1067,0,1069,1067,0.7,8,35,0.22857142857142856,frequent
ol0_e727_o739_s0.6,ol0_e727_o739,0,727,739,0.6,7,35,0.2,occasional
ol1_e727_o742_s0.5,ol1_e727_o742,1,727,742,0.5,7,35,0.2,occasional
ol2_e299_o320_s0.8,ol2_e299_o320,2,299,320,0.8,7,35,0.2,occasional
ol0_e1112_o1110_s0.6,ol0_e1112_o1110,0,1112,1110,0.6,6,35,0.17142857142857143,occasional
ol2_e427_o448_s0.7,ol2_e427_o448,2,427,448,0.7,6,35,0.17142857142857143,occasional
ol0_e1112_o1110_s0.8,ol0_e1112_o1110,0,1112,1110,0.8,5,35,0.14285714285714285,occasional
ol0_e128_o137_s0.8,ol0_e128_o137,0,128,137,0.8,5,35,0.14285714285714285,occasional
ol0_e342_o348_s0.7,ol0_e342_o348,0,342,348,0.7,5,35,0.14285714285714285,occasional
ol0_e983_o987_s0.7,ol0_e983_o987,0,983,987,0.7,5,35,0.14285714285714285,occasional
ol0_e598_o607_s0.7,ol0_e598_o607,0,598,607,0.7,4,35,0.11428571428571428,occasional
ol1_e983_o998_s0.5,ol1_e983_o998,1,983,998,0.5,4,35,0.11428571428571428,occasional
ol2_e85_o106_s0.6,ol2_e85_o106,2,85,106,0.6,4,35,0.11428571428571428,occasional
ol0_e1967_o1962_s0.8,ol0_e1967_o1962,0,1967,1962,0.8,3,35,0.08571428571428572,occasional
ol0_e299_o308_s0.8,ol0_e299_o308,0,299,308,0.8,3,35,0.08571428571428572,occasional
ol0_e342_o348_s0.8,ol0_e342_o348,0,342,348,0.8,3,35,0.08571428571428572,occasional
ol0_e384_o391_s0.6,ol0_e384_o391,0,384,391,0.6,3,35,0.08571428571428572,occasional
ol0_e427_o436_s0.6,ol0_e427_o436,0,427,436,0.6,3,35,0.08571428571428572,occasional
ol0_e684_o696_s0.7,ol0_e684_o696,0,684,696,0.7,3,35,0.08571428571428572,occasional
ol1_e1069_o1084_s0.6,ol1_e1069_o1084,1,1069,1084,0.6,3,35,0.08571428571428572,occasional
ol1_e1539_o1554_s0.7,ol1_e1539_o1554,1,1539,1554,0.7,3,35,0.08571428571428572,occasional
ol1_e1625_o1640_s0.5,ol1_e1625_o1640,1,1625,1640,0.5,3,35,0.08571428571428572,occasional
ol1_e2053_o2068_s0.7,ol1_e2053_o2068,1,2053,2068,0.7,3,35,0.08571428571428572,occasional
ol2_e1326_o1358_s0.8,ol2_e1326_o1358,2,1326,1358,0.8,3,35,0.08571428571428572,occasional
ol2_e1368_o1398_s0.7,ol2_e1368_o1398,2,1368,1398,0.7,3,35,0.08571428571428572,occasional
ol2_e1924_o1958_s0.8,ol2_e1924_o1958,2,1924,1958,0.8,3,35,0.08571428571428572,occasional
ol0_e1197_o1191_s0.8,ol0_e1197_o1191,0,1197,1191,0.8,2,35,0.05714285714285714,occasional
ol0_e213_o221_s0.8,ol0_e213_o221,0,213,221,0.8,2,35,0.05714285714285714,occasional
ol1_e1326_o1341_s0.7,ol1_e1326_o1341,1,1326,1341,0.7,2,35,0.05714285714285714,occasional
ol1_e2053_o2068_s0.8,ol1_e2053_o2068,1,2053,2068,0.8,2,35,0.05714285714285714,occasional
ol1_e342_o357_s0.5,ol1_e342_o357,1,342,357,0.5,2,35,0.05714285714285714,occasional
ol1_e641_o656_s0.6,ol1_e641_o656,1,641,656,0.6,2,35,0.05714285714285714,occasional
ol2_e1368_o1398_s0.8,ol2_e1368_o1398,2,1368,1398,0.8,2,35,0.05714285714285714,occasional
ol2_e42_o63_s0.7,ol2_e42_o63,2,42,63,0.7,2,35,0.05714285714285714,occasional
ol2_e727_o745_s0.6,ol2_e727_o745,2,727,745,0.6,2,35,0.05714285714285714,occasional
ol2_e898_o925_s0.8,ol2_e898_o925,2,898,925,0.8,2,35,0.05714285714285714,occasional
ol0_e1026_o1030_s0.7,ol0_e1026_o1030,0,1026,1030,0.7,1,35,0.02857142857142857,occasional
