opponent_raceline,speed_scale,collision_count,evaluation_rows,collision_rate,slice
0,0.5,15,1750,0.008571428571428572,R0 / v0.5
0,0.6,19,1750,0.010857142857142857,R0 / v0.6
0,0.7,165,1750,0.09428571428571429,R0 / v0.7
0,0.8,116,1750,0.06628571428571428,R0 / v0.8
1,0.5,120,1750,0.06857142857142857,R1 / v0.5
1,0.6,65,1750,0.037142857142857144,R1 / v0.6
1,0.7,11,1750,0.006285714285714286,R1 / v0.7
1,0.8,3,1750,0.0017142857142857142,R1 / v0.8
2,0.5,35,1750,0.02,R2 / v0.5
2,0.6,6,1750,0.0034285714285714284,R2 / v0.6
2,0.7,79,1750,0.045142857142857144,R2 / v0.7
2,0.8,102,1750,0.05828571428571429,R2 / v0.8
