run,run_label,update,expected_trace_files,missing_trace_files,trace_length_mismatches,nonfinite_action_traces,total_frames,steering_clip_frames,steering_clip_frame_rate,speed_clip_frames,speed_clip_frame_rate,episodes_with_any_action_clip,executed_abs_steer_p95,executed_abs_steer_p99,json_collision_count,trace_collision_any_count,json_collisions_missing_terminal_trace_frame,source_path
independent_gru,independent_gru,1,600,0,0,0,475163,292,0.0006145259626696,0,0.0,24,0.1713649481534956,0.3548221206665039,19,0,19,eval_results/ppo_independent_gru_0721_base_u0001_Austin/multiagents/traces
independent_gru,independent_gru,5,600,0,0,0,475080,275,0.0005788498779152,0,0.0,26,0.1711718246340751,0.3541052782535556,19,0,19,eval_results/ppo_independent_gru_0721_base_u0005_Austin/multiagents/traces
independent_gru,independent_gru,10,600,0,0,0,471815,240,0.000508673950595,0,0.0,25,0.1715373471379279,0.3597101944684981,27,0,27,eval_results/ppo_independent_gru_0721_base_u0010_Austin/multiagents/traces
independent_gru,independent_gru,15,600,0,0,0,471342,203,0.0004306851500608,0,0.0,19,0.1698251120746132,0.3570604357123362,29,0,29,eval_results/ppo_independent_gru_0721_base_u0015_Austin/multiagents/traces
independent_gru,independent_gru,20,600,0,0,0,470939,206,0.0004374239551194,0,0.0,17,0.1709240734577178,0.358475084900856,34,0,34,eval_results/ppo_independent_gru_0721_base_u0020_Austin/multiagents/traces
privilege_mlp,privilege_mlp,1,600,0,0,0,472261,296,0.0006267720603649,0,0.0,24,0.1715365648269653,0.3559942007064821,24,0,24,eval_results/ppo_privilege_mlp_0721_base_u0001_Austin/multiagents/traces
privilege_mlp,privilege_mlp,5,600,0,0,0,473290,284,0.0006000549346066,0,0.0,24,0.1727450042963027,0.3579947996139526,25,0,25,eval_results/ppo_privilege_mlp_0721_base_u0005_Austin/multiagents/traces
privilege_mlp,privilege_mlp,10,600,0,0,0,473300,284,0.0006000422564969,0,0.0,24,0.1708902671933174,0.3600621512532237,25,0,25,eval_results/ppo_privilege_mlp_0721_base_u0010_Austin/multiagents/traces
privilege_mlp,privilege_mlp,15,600,0,0,0,473635,322,0.0006798484064733,0,0.0,25,0.1713124781847,0.3592624849081039,21,0,21,eval_results/ppo_privilege_mlp_0721_base_u0015_Austin/multiagents/traces
privilege_mlp,privilege_mlp,20,600,0,0,0,472130,306,0.0006481265753076,0,0.0,28,0.1716942340135574,0.3619111517071725,25,0,25,eval_results/ppo_privilege_mlp_0721_base_u0020_Austin/multiagents/traces
privilege_gru,privilege_gru / bs12800 / clip0.15,1,600,0,0,0,475334,302,0.0006353427274295,0,0.0,24,0.1709756545722483,0.3519227027893064,16,0,16,eval_results/ppo_privilege_gru_0721_base_u0001_Austin/multiagents/traces
privilege_gru,privilege_gru / bs12800 / clip0.15,5,600,0,0,0,475083,282,0.0005935804901459,0,0.0,24,0.1714504152536389,0.3525160562992094,18,0,18,eval_results/ppo_privilege_gru_0721_base_u0005_Austin/multiagents/traces
privilege_gru,privilege_gru / bs12800 / clip0.15,10,600,0,0,0,474901,280,0.0005895965685479,0,0.0,24,0.1707372218370437,0.3523730337619781,18,0,18,eval_results/ppo_privilege_gru_0721_base_u0010_Austin/multiagents/traces
privilege_gru,privilege_gru / bs12800 / clip0.15,15,600,0,0,0,475340,287,0.0006037783481297,0,0.0,25,0.1719021938741206,0.3549526700377464,14,0,14,eval_results/ppo_privilege_gru_0721_base_u0015_Austin/multiagents/traces
privilege_gru,privilege_gru / bs12800 / clip0.15,20,600,0,0,0,476000,255,0.0005357142857142,0,0.0,25,0.1707914017140865,0.3528002116084099,14,0,14,eval_results/ppo_privilege_gru_0721_base_u0020_Austin/multiagents/traces
batch_25600,privilege_gru / bs25600,1,600,0,0,0,474643,318,0.000669977224988,0,0.0,25,0.1715167790651315,0.3549191844463353,18,0,18,eval_results/ppo_privilege_gru_0721_bs25600_u0001_Austin/multiagents/traces
batch_25600,privilege_gru / bs25600,5,600,0,0,0,473806,284,0.0005994014427845,0,0.0,25,0.1715966388583183,0.3558927074074755,22,0,22,eval_results/ppo_privilege_gru_0721_bs25600_u0005_Austin/multiagents/traces
batch_25600,privilege_gru / bs25600,10,600,0,0,0,474115,273,0.0005758096664311,0,0.0,25,0.1704451903700828,0.3545972162485117,21,0,21,eval_results/ppo_privilege_gru_0721_bs25600_u0010_Austin/multiagents/traces
batch_25600,privilege_gru / bs25600,15,600,0,0,0,473505,293,0.0006187896643118,0,0.0,25,0.1714672446250915,0.3546769106388096,22,0,22,eval_results/ppo_privilege_gru_0721_bs25600_u0015_Austin/multiagents/traces
batch_25600,privilege_gru / bs25600,20,600,0,0,0,475084,298,0.0006272574955165,0,0.0,25,0.1712110772728919,0.3557595112919807,16,0,16,eval_results/ppo_privilege_gru_0721_bs25600_u0020_Austin/multiagents/traces
batch_51200,privilege_gru / bs51200,1,600,0,0,0,473912,306,0.0006456894950961,0,0.0,24,0.1710428744554512,0.3546781572699547,22,0,22,eval_results/ppo_privilege_gru_0721_bs51200_u0001_Austin/multiagents/traces
batch_51200,privilege_gru / bs51200,5,600,0,0,0,475427,316,0.0006646656584501,0,0.0,24,0.1696226119995116,0.357678631544113,17,0,17,eval_results/ppo_privilege_gru_0721_bs51200_u0005_Austin/multiagents/traces
batch_51200,privilege_gru / bs51200,10,600,0,0,0,476318,292,0.0006130358290049,0,0.0,24,0.1691839635372161,0.3584738922119143,15,0,15,eval_results/ppo_privilege_gru_0721_bs51200_u0010_Austin/multiagents/traces
batch_51200,privilege_gru / bs51200,15,600,0,0,0,475756,295,0.0006200657479884,0,0.0,27,0.1685256250202655,0.3575979545712471,17,0,17,eval_results/ppo_privilege_gru_0721_bs51200_u0015_Austin/multiagents/traces
batch_51200,privilege_gru / bs51200,20,600,0,0,0,473984,298,0.000628713205509,0,0.0,27,0.1685146093368529,0.3590516048669812,21,0,21,eval_results/ppo_privilege_gru_0721_bs51200_u0020_Austin/multiagents/traces
clip_010,privilege_gru / clip0.10,1,600,0,0,0,472079,292,0.000618540540884,0,0.0,24,0.1718690782785415,0.3547387593984603,28,0,28,eval_results/ppo_privilege_gru_0721_clip010_u0001_Austin/multiagents/traces
clip_010,privilege_gru / clip0.10,5,600,0,0,0,473770,287,0.0006057791755493,0,0.0,26,0.1731593959033487,0.354171897470951,23,0,23,eval_results/ppo_privilege_gru_0721_clip010_u0005_Austin/multiagents/traces
clip_010,privilege_gru / clip0.10,10,600,0,0,0,475657,286,0.0006012736068217,0,0.0,26,0.1721676915884017,0.3536572086811065,17,0,17,eval_results/ppo_privilege_gru_0721_clip010_u0010_Austin/multiagents/traces
clip_010,privilege_gru / clip0.10,15,600,0,0,0,471820,284,0.0006019244627188,0,0.0,24,0.1716621771454811,0.3555777189135551,28,0,28,eval_results/ppo_privilege_gru_0721_clip010_u0015_Austin/multiagents/traces
clip_010,privilege_gru / clip0.10,20,600,0,0,0,473958,288,0.0006076487790057,0,0.0,24,0.1722587734460828,0.3536082392930983,20,0,20,eval_results/ppo_privilege_gru_0721_clip010_u0020_Austin/multiagents/traces
clip_020,privilege_gru / clip0.20,1,600,0,0,0,474049,299,0.0006307364850469,0,0.0,26,0.1715979009866713,0.353130787611008,24,0,24,eval_results/ppo_privilege_gru_0721_clip020_u0001_Austin/multiagents/traces
clip_020,privilege_gru / clip0.20,5,600,0,0,0,473907,277,0.0005845028665961,0,0.0,25,0.1700584769248961,0.3464972931146622,23,0,23,eval_results/ppo_privilege_gru_0721_clip020_u0005_Austin/multiagents/traces
clip_020,privilege_gru / clip0.20,10,600,0,0,0,473578,262,0.0005532351587278,0,0.0,24,0.1706739097833629,0.3481550562381744,22,0,22,eval_results/ppo_privilege_gru_0721_clip020_u0010_Austin/multiagents/traces
clip_020,privilege_gru / clip0.20,15,600,0,0,0,474963,286,0.0006021521676425,0,0.0,25,0.1714369818568228,0.3488366341590881,18,0,18,eval_results/ppo_privilege_gru_0721_clip020_u0015_Austin/multiagents/traces
clip_020,privilege_gru / clip0.20,20,600,0,0,0,475984,299,0.000628172375542,0,0.0,25,0.170222545415163,0.3507892587780952,14,0,14,eval_results/ppo_privilege_gru_0721_clip020_u0020_Austin/multiagents/traces
