gae_lambda,seconds_before_td_residual,relative_weight
lambda 0.99,0.0,1.0
lambda 0.99,0.5,0.5754851761545743
lambda 0.99,1.0,0.33118318797366136
lambda 0.99,1.5,0.190591015270456
lambda 0.99,2.0,0.10968230399639753
lambda 0.99,2.5,0.0631205400364064
lambda 0.99,3.0,0.03632493510182319
lambda 0.99,3.5,0.020904461675876198
lambda 0.99,4.0,0.01203020780995816
lambda 0.99,4.5,0.006923206260689907
lambda 0.99,5.0,0.0039842025744875826
lambda 0.99,5.5,0.0022928495204144945
lambda 0.99,6.0,0.0013195009101516666
lambda 0.99,6.5,0.000759353213714753
lambda 0.99,7.0,0.00043699651795817666
lambda 0.99,7.5,0.00025148501811609686
lambda 0.99,8.0,0.00014472589995077832
lambda 0.995,0.0,1.0
lambda 0.995,0.5,0.7403352847801166
lambda 0.995,1.0,0.5480963338904562
lambda 0.995,1.5,0.40577505543772874
lambda 0.995,2.0,0.30040959122415845
lambda 0.995,2.5,0.22240382026961575
lambda 0.995,3.0,0.16465339561549183
lambda 0.995,3.5,0.12189871853300832
lambda 0.995,4.0,0.09024592249946599
lambda 0.995,4.5,0.06681224073388647
lambda 0.995,5.0,0.049463459270519546
lambda 0.995,5.5,0.03661954420524978
lambda 0.995,6.0,0.027110740687711663
lambda 0.995,6.5,0.020071037927636905
lambda 0.995,7.0,0.014859297579989588
lambda 0.995,7.5,0.011000862305514088
lambda 0.995,8.0,0.00814432652777962
lambda 0.9975,0.0,1.0
lambda 0.9975,0.5,0.8393046499936
lambda 0.9975,1.0,0.7044322955008794
lambda 0.9975,1.5,0.5912333012195538
lambda 0.9975,2.0,0.49622485894463825
lambda 0.9975,2.5,0.41648383155465313
lambda 0.9975,3.0,0.3495568164709716
lambda 0.9975,3.5,0.29338466150104586
lambda 0.9975,4.0,0.2462391106346261
lambda 0.9975,4.5,0.2066696305659302
lambda 0.9975,5.0,0.17345878194644468
lambda 0.9975,5.5,0.14558476226987693
lambda 0.9975,6.0,0.1221899679413205
lambda 0.9975,6.5,0.10255460827571922
lambda 0.9975,7.0,0.08607455960408326
lambda 0.9975,7.5,0.07224277812185836
lambda 0.9975,8.0,0.06063369960613164
lambda 1,0.0,1.0
lambda 1,0.5,0.9512056281970314
lambda 1,1.0,0.9047921471137089
lambda 1,1.5,0.8606433826830363
lambda 1,2.0,0.8186488294786356
lambda 1,2.5,0.7787033741169899
lambda 1,3.0,0.7407070321560992
lambda 1,3.5,0.704564697832001
lambda 1,4.0,0.6701859060067401
lambda 1,4.5,0.6374846057319378
lambda 1,5.0,0.6063789448611847
lambda 1,5.5,0.5767910651721362
lambda 1,6.0,0.5486469074854967
lambda 1,6.5,0.5218760262931004
lambda 1,7.0,0.49641141343109896
lambda 1,7.5,0.47218933035690475
lambda 1,8.0,0.4491491486100751
