comparison,left_run,right_run,update,actor_tensors_exact,max_abs_actor_parameter_difference,non_walltime_metrics_exact
G5 clip0.20 -> G7 extension,ppo_privilege_gru_0722_long_clip020,ppo_privilege_gru_0722_long45_clip020,1,True,0.0,True
G5 clip0.20 -> G7 extension,ppo_privilege_gru_0722_long_clip020,ppo_privilege_gru_0722_long45_clip020,2,True,0.0,True
G5 clip0.20 -> G7 extension,ppo_privilege_gru_0722_long_clip020,ppo_privilege_gru_0722_long45_clip020,3,True,0.0,True
G5 clip0.20 -> G7 extension,ppo_privilege_gru_0722_long_clip020,ppo_privilege_gru_0722_long45_clip020,4,True,0.0,True
G5 clip0.20 -> G7 extension,ppo_privilege_gru_0722_long_clip020,ppo_privilege_gru_0722_long45_clip020,5,True,0.0,True
G5 clip0.20 -> G7 extension,ppo_privilege_gru_0722_long_clip020,ppo_privilege_gru_0722_long45_clip020,6,True,0.0,True
G5 clip0.20 -> G7 extension,ppo_privilege_gru_0722_long_clip020,ppo_privilege_gru_0722_long45_clip020,7,True,0.0,True
G5 clip0.20 -> G7 extension,ppo_privilege_gru_0722_long_clip020,ppo_privilege_gru_0722_long45_clip020,8,True,0.0,True
G5 clip0.20 -> G7 extension,ppo_privilege_gru_0722_long_clip020,ppo_privilege_gru_0722_long45_clip020,9,True,0.0,True
G5 clip0.20 -> G7 extension,ppo_privilege_gru_0722_long_clip020,ppo_privilege_gru_0722_long45_clip020,10,True,0.0,True
G5 clip0.20 -> G7 extension,ppo_privilege_gru_0722_long_clip020,ppo_privilege_gru_0722_long45_clip020,11,True,0.0,True
G5 clip0.20 -> G7 extension,ppo_privilege_gru_0722_long_clip020,ppo_privilege_gru_0722_long45_clip020,12,True,0.0,True
G5 clip0.20 -> G7 extension,ppo_privilege_gru_0722_long_clip020,ppo_privilege_gru_0722_long45_clip020,13,True,0.0,True
G5 clip0.20 -> G7 extension,ppo_privilege_gru_0722_long_clip020,ppo_privilege_gru_0722_long45_clip020,14,True,0.0,True
G5 clip0.20 -> G7 extension,ppo_privilege_gru_0722_long_clip020,ppo_privilege_gru_0722_long45_clip020,15,True,0.0,True
G5 clip0.20 -> G7 extension,ppo_privilege_gru_0722_long_clip020,ppo_privilege_gru_0722_long45_clip020,16,True,0.0,True
