group,arm,run,update,panel,episode_rows,unique_scenario_ids,unique_physical_initial_conditions,missing_scenario_ids,extra_scenario_ids,trace_files,missing_trace_files,unexpected_trace_files,collision_count,collision_rate,collision_rate_among_recorded_rows,collision_rate_wilson_low,collision_rate_wilson_high,success_count,success_rate,overtake_count,overtake_rate,follow_count,follow_rate,vehicle_collision_count,wall_only_collision_count,initial_ego_collision_count,mean_avg_speed_mps,mean_speed_variance,mean_total_distance_m,mean_final_relative_position_m,mean_global_min_surface_dist_m,median_collision_time_s,mean_collision_time_s,steering_anomaly_episode_count,near_proximity_episode_count,bc_collisions_resolved,bc_collisions_persistent,new_collisions_created,paired_scenario_count,net_collision_change_vs_bc,paired_exact_p_unadjusted,aggregate_consistent,scenario_set_matches_bc,all_action_observation_finite,summary_valid,trace_complete,paired_exact_q_bh_all_panels,logical_run,source_run
G5,clip 0.20 x 30U,ppo_privilege_gru_0722_long_clip020,1,ppo_privilege_gru_0722_long_clip020_u0001,600,600,592,0,0,600,0,0,21,0.035,0.035,0.023004350476005058,0.052912031466736606,579,0.965,343,0.5716666666666667,236,0.3933333333333333,20,1,0,5.286225961413623,1.6244958475480566,41.832879260516464,5.524896258095043,0.3767493333333333,4.9199999999999395,4.771428571428514,0,72,10,12,9,600,-1,1.0,True,True,True,True,True,1.0,clip0.20_45U,ppo_privilege_gru_0722_long_clip020
G5,clip 0.20 x 30U,ppo_privilege_gru_0722_long_clip020,5,ppo_privilege_gru_0722_long_clip020_u0005,600,600,592,0,0,600,0,0,18,0.03,0.03,0.01905925662590196,0.046920742326976704,582,0.97,347,0.5783333333333334,235,0.39166666666666666,16,2,0,5.325760500403969,1.661256308680324,42.17086315875678,5.802103356184894,0.38179250000000003,4.354999999999952,4.520555555555502,0,60,8,14,4,600,-4,0.3876953125,True,True,True,True,True,0.8492373511904762,clip0.20_45U,ppo_privilege_gru_0722_long_clip020
G5,clip 0.20 x 30U,ppo_privilege_gru_0722_long_clip020,10,ppo_privilege_gru_0722_long_clip020_u0010,600,600,592,0,0,600,0,0,16,0.02666666666666667,0.02666666666666667,0.01647980981438986,0.042875933811913486,584,0.9733333333333334,350,0.5833333333333334,234,0.39,15,1,0,5.329143929425054,1.6488647852777278,42.28370667484796,5.817144471826513,0.39260083333333334,5.319999999999931,4.688749999999943,0,55,9,13,3,600,-6,0.14599609375,True,True,True,True,True,0.5166015625,clip0.20_45U,ppo_privilege_gru_0722_long_clip020
G5,clip 0.20 x 30U,ppo_privilege_gru_0722_long_clip020,15,ppo_privilege_gru_0722_long_clip020_u0015,600,600,592,0,0,600,0,0,13,0.021666666666666667,0.021666666666666667,0.012705084440711785,0.03671427619572856,587,0.9783333333333334,349,0.5816666666666667,238,0.39666666666666667,12,1,0,5.308087875930566,1.6086157993608003,42.18204844324591,5.653483428148373,0.39118949999999997,4.809999999999942,4.631538461538406,0,58,11,11,2,600,-9,0.0224609375,True,True,True,True,True,0.41328125,clip0.20_45U,ppo_privilege_gru_0722_long_clip020
G5,clip 0.20 x 30U,ppo_privilege_gru_0722_long_clip020,20,ppo_privilege_gru_0722_long_clip020_u0020,600,600,592,0,0,600,0,0,13,0.021666666666666667,0.021666666666666667,0.012705084440711785,0.03671427619572856,587,0.9783333333333334,350,0.5833333333333334,237,0.395,12,1,0,5.316736187894059,1.595053612946905,42.27086576093454,5.7217771791478365,0.3920976666666667,4.569999999999947,4.678461538461481,0,56,13,9,4,600,-9,0.049041748046875,True,True,True,True,True,0.45118408203125,clip0.20_45U,ppo_privilege_gru_0722_long_clip020
G5,clip 0.20 x 30U,ppo_privilege_gru_0722_long_clip020,25,ppo_privilege_gru_0722_long_clip020_u0025,600,600,592,0,0,600,0,0,17,0.028333333333333332,0.028333333333333332,0.01776394016148477,0.044903931128106235,583,0.9716666666666667,352,0.5866666666666667,231,0.385,15,2,0,5.323978744029585,1.6148585825408583,42.27940181659341,5.771657426531623,0.395783,5.599999999999925,5.047058823529348,0,52,12,10,7,600,-5,0.359283447265625,True,True,True,True,True,0.8492373511904762,clip0.20_45U,ppo_privilege_gru_0722_long_clip020
G5,clip 0.20 x 30U,ppo_privilege_gru_0722_long_clip020,30,ppo_privilege_gru_0722_long_clip020_u0030,600,600,592,0,0,600,0,0,11,0.018333333333333333,0.018333333333333333,0.010267306165938218,0.032527799143926804,589,0.9816666666666667,358,0.5966666666666667,231,0.385,11,0,0,5.374188020513503,1.6780973729069741,42.82768476911375,6.184974213612734,0.40002816666666663,6.069999999999915,5.375454545454473,0,51,17,5,6,600,-11,0.03468966484069824,True,True,True,True,True,0.4230923122829861,clip0.20_45U,ppo_privilege_gru_0722_long_clip020
G7,clip 0.20 x 45U,ppo_privilege_gru_0722_long45_clip020,35,ppo_privilege_gru_0722_long45_clip020_u0035,600,600,592,0,0,600,0,0,14,0.023333333333333334,0.023333333333333334,0.01394915794810269,0.03878233035162532,586,0.9766666666666667,349,0.5816666666666667,237,0.395,14,0,0,5.326074091664349,1.6514284566165534,42.3457849683797,5.813015408368496,0.3963155,5.339999999999931,4.995714285714222,0,53,13,9,5,600,-8,0.09625244140625,True,True,True,True,True,0.4919569227430556,clip0.20_45U,ppo_privilege_gru_0722_long45_clip020
G7,clip 0.20 x 45U,ppo_privilege_gru_0722_long45_clip020,40,ppo_privilege_gru_0722_long45_clip020_u0040,600,600,592,0,0,600,0,0,11,0.018333333333333333,0.018333333333333333,0.010267306165938218,0.032527799143926804,589,0.9816666666666667,355,0.5916666666666667,234,0.39,11,0,0,5.360909806825641,1.6885470259520323,42.645707720652815,6.096643149290705,0.39042566666666667,4.259999999999954,4.58545454545449,0,53,15,7,4,600,-11,0.0192108154296875,True,True,True,True,True,0.41328125,clip0.20_45U,ppo_privilege_gru_0722_long45_clip020
G7,clip 0.20 x 45U,ppo_privilege_gru_0722_long45_clip020,45,ppo_privilege_gru_0722_long45_clip020_u0045,600,600,592,0,0,600,0,0,12,0.02,0.02,0.011477178627043526,0.03463005434610916,588,0.98,357,0.595,231,0.385,11,1,0,5.337238932210566,1.6663434531591017,42.468768061402834,5.903703238691977,0.3879768333333333,5.1099999999999355,4.832499999999939,0,56,15,7,5,600,-10,0.04138946533203125,True,True,True,True,True,0.4230923122829861,clip0.20_45U,ppo_privilege_gru_0722_long45_clip020
