group,arm,run,critic,env_workers,n_envs,n_steps,batch_size,num_updates,actor_epochs,critic_epochs,gru_learning_rate,head_learning_rate,critic_learning_rate,steering_latent_std,speed_physical_std,gamma,gae_lambda,clip_range,target_kl,hard_neighbors,collision_pool_count,ordinary_pool_count,actor_tensor_count,actor_parameter_count,actor_sha256,critic_tensor_count,critic_parameter_count,critic_sha256,checkpoint_actor_count,checkpoint_critic_count
G1,independent_gru,ppo_independent_gru_0721_base,independent_gru,12,16,6400,12800,20,2,5,3e-06,3e-05,0.0003,0.03,0.15,0.999,0.995,0.15,,False,479,600,12,11301482,9a2524f39d9a443893492b36a58d5d86f04f5a3d1a5906d1000e38d5e7dc8cca,11,11301001,5c9b9714abc2ce8ae295cc03c34489fe95e5f8e71136443f768ab4bb24d5f89c,20,20
G1,privilege_mlp,ppo_privilege_mlp_0721_base,priviledge_mlp,12,16,6400,12800,20,2,5,3e-06,3e-05,0.0003,0.03,0.15,0.999,0.995,0.15,,False,479,600,12,11301482,f2efca1c1b9ca9bbf1cf6a446ff8f1c97429633802cafef896f76ce4bbd8c204,6,6181,8e4cdaa0b5ebd959bddca19497bcf6b53de89197f40f525776ab58bd3f89be06,20,20
G1,privilege_gru base,ppo_privilege_gru_0721_base,privilege_gru,12,16,6400,12800,20,2,5,3e-06,3e-05,0.0003,0.03,0.15,0.999,0.995,0.15,,False,479,600,12,11301482,90b2be31e31ae95fa980c2106c3a244d4c5a4c2d2159740959c8e8f6c44905d3,12,11309401,9a7bb6ea9b91c4660ac0b326b1d7f9782a98d6fa8744fb460ec70c440fedbe8b,20,20
G2,batch 25600,ppo_privilege_gru_0721_bs25600,privilege_gru,12,16,6400,25600,20,2,5,3e-06,3e-05,0.0003,0.03,0.15,0.999,0.995,0.15,,False,479,600,12,11301482,80882874ea6a6f07354d592a85508fb7ee564ed2517ee02548bc930791de3e61,12,11309401,726611ff3474ce79286c618fb4aab8c964d86083af861cae9343547193bf3b0b,20,20
G2,batch 51200,ppo_privilege_gru_0721_bs51200,privilege_gru,12,16,6400,51200,20,2,5,3e-06,3e-05,0.0003,0.03,0.15,0.999,0.995,0.15,,False,479,600,12,11301482,b44074f289fa53c1a1693403fc7090c8a3576acd06f0481a7bead1165135ae8c,12,11309401,19afe5a4b80c67e8499c4dcf942b4b38b20c87e9dc68db5a26827b54ce97c77d,20,20
G3,clip 0.10,ppo_privilege_gru_0721_clip010,privilege_gru,8,16,6400,12800,20,2,5,3e-06,3e-05,0.0003,0.03,0.15,0.999,0.995,0.1,,False,479,600,12,11301482,da4502043a45abc360e6b8768db8e42b942905791ec0abfa02e980b7031409a9,12,11309401,9cb2ff452676828ae43e38051c2519e9e75579085cdee6e90b3a5fb80e89df9b,20,20
G3,clip 0.20 legacy 8-worker,ppo_privilege_gru_0721_clip020,privilege_gru,8,16,6400,12800,20,2,5,3e-06,3e-05,0.0003,0.03,0.15,0.999,0.995,0.2,,False,479,600,12,11301482,fc886ff2497eac870ef1427e2ed19539c090960f62a044e441e22e72cf3d8277,12,11309401,21d6e132dc92b73937ce78cba654dcb5495228d089bf32c0f78d56275e75f6ed,20,20
G4,actor LR low,ppo_privilege_gru_0722_lr1_tkloff,privilege_gru,12,16,6400,12800,20,2,5,1e-06,1e-05,0.0003,0.03,0.15,0.999,0.995,0.15,,False,479,600,12,11301482,6e7515a73c6187dfa3c8292d3d339fc140b4f57cb9eef75085aef1b14df8e88e,12,11309401,7b10373625267ef3b0466731bb889d9ab66aef563db464df9e8cb5ad53acafe0,20,20
G4,actor LR high,ppo_privilege_gru_0722_lr5_tkloff,privilege_gru,12,16,6400,12800,20,2,5,5e-06,5e-05,0.0003,0.03,0.15,0.999,0.995,0.15,,False,479,600,12,11301482,65bab84a6aaf10f9f954ae946f638185d7aba3a5d6d318aba26a4a527848095d,12,11309401,11800ee7be916713eaccd33ca18138ba44c1453e2ffba5d7cfaed296f74710fa,20,20
G5,clip 0.15 x 30U,ppo_privilege_gru_0722_long_clip015,privilege_gru,12,16,6400,12800,30,2,5,3e-06,3e-05,0.0003,0.03,0.15,0.999,0.995,0.15,,False,479,600,12,11301482,3c3ad252fe383ed070f7d6e6743b2b6e47e04cbf2a62ac4f6aeead5ff0d6a6e7,12,11309401,e8c6f0d3857fdf825b737e276a9a704f066fe64e6bc99f3cf638ad704a025ae5,30,30
G5,clip 0.20 x 30U,ppo_privilege_gru_0722_long_clip020,privilege_gru,12,16,6400,12800,30,2,5,3e-06,3e-05,0.0003,0.03,0.15,0.999,0.995,0.2,,False,479,600,12,11301482,e9741656166860a7bf239f14a2982e3936584f1be6c993a5710cd2ec4243930c,12,11309401,04b941272e416d187a00f1050b52117bab2579273387fd8b04477df985c2f485,30,30
