comparison,left_run,left_update,right_run,right_update,left_collisions,right_collisions,shared_collisions,resolved_left_collisions,created_right_collisions,net_collision_change,exact_paired_p_unadjusted
BC -> G1 base U20,BC,0,ppo_privilege_gru_0721_base,20,22,14,12,10,2,-8,0.03857421875
BC -> G5 clip0.20 U30,BC,0,ppo_privilege_gru_0722_long_clip020,30,22,11,5,17,6,-11,0.03468966484069824
BC -> G7 clip0.20 U40,BC,0,ppo_privilege_gru_0722_long45_clip020,40,22,11,7,15,4,-11,0.0192108154296875
BC -> G7 clip0.20 U45,BC,0,ppo_privilege_gru_0722_long45_clip020,45,22,12,7,15,5,-10,0.04138946533203125
BC -> G8 clip0.25 U45,BC,0,ppo_privilege_gru_0722_long45_clip025,45,22,16,10,12,6,-6,0.237884521484375
BC -> G9 hard U20,BC,0,ppo_privilege_gru_0722_long45_clip020_hard,20,22,14,11,11,3,-8,0.057373046875
BC -> G9 hard U45,BC,0,ppo_privilege_gru_0722_long45_clip020_hard,45,22,17,7,15,10,-5,0.42435622215270996
G7 vs G9 U30,ppo_privilege_gru_0722_long_clip020,30,ppo_privilege_gru_0722_long45_clip020_hard,30,11,26,6,5,20,15,0.004077315330505371
G7 vs G9 U45,ppo_privilege_gru_0722_long45_clip020,45,ppo_privilege_gru_0722_long45_clip020_hard,45,12,17,3,9,14,5,0.4048728942871094
G7 vs G8 U45,ppo_privilege_gru_0722_long45_clip020,45,ppo_privilege_gru_0722_long45_clip025,45,12,16,5,7,11,4,0.480682373046875
