group,arm,run,update,collision_trace_rows,missing_collision_traces,post_overtake_rear_contact_count,post_overtake_rear_merge_contact_count,high_sideslip_tail_3deg_count,high_sideslip_tail_5deg_count,high_sideslip_tail_8deg_count,bc_structural_tail_scenarios_total,bc_structural_tail_scenarios_still_collision,bc_structural_tail_scenarios_resolved,bc_strict_5deg_tail_scenarios_total,bc_strict_5deg_tail_scenarios_still_collision,bc_strict_5deg_tail_scenarios_resolved,new_structural_tail_scenarios_vs_bc,new_strict_5deg_tail_scenarios_vs_bc
BC,BC,BC,0,22,0,12,11,10,8,7,12,12,0,8,8,0,0,0
G1,independent_gru,ppo_independent_gru_0721_base,1,19,0,10,8,8,7,4,12,9,3,8,6,2,3,3
G1,independent_gru,ppo_independent_gru_0721_base,5,19,0,12,11,11,9,2,12,4,8,8,3,5,8,7
G1,independent_gru,ppo_independent_gru_0721_base,10,27,0,15,13,13,11,5,12,5,7,8,4,4,10,8
G1,independent_gru,ppo_independent_gru_0721_base,15,29,0,18,16,16,14,10,12,4,8,8,4,4,15,12
G1,independent_gru,ppo_independent_gru_0721_base,20,34,0,21,17,16,15,10,12,4,8,8,4,4,17,12
G1,privilege_gru base,ppo_privilege_gru_0721_base,1,16,0,8,8,5,5,4,12,6,6,8,4,4,3,1
G1,privilege_gru base,ppo_privilege_gru_0721_base,5,18,0,11,10,7,6,2,12,8,4,8,5,3,5,3
G1,privilege_gru base,ppo_privilege_gru_0721_base,10,18,0,11,11,9,8,5,12,4,8,8,3,5,7,5
G1,privilege_gru base,ppo_privilege_gru_0721_base,15,14,0,8,7,6,5,3,12,5,7,8,3,5,3,2
G1,privilege_gru base,ppo_privilege_gru_0721_base,20,14,0,8,7,7,7,5,12,8,4,8,6,2,2,2
G2,batch 25600,ppo_privilege_gru_0721_bs25600,1,18,0,10,8,8,8,4,12,7,5,8,6,2,5,3
G2,batch 25600,ppo_privilege_gru_0721_bs25600,5,22,0,14,11,7,7,4,12,5,7,8,4,4,9,3
G2,batch 25600,ppo_privilege_gru_0721_bs25600,10,21,0,11,8,7,7,6,12,8,4,8,5,3,4,2
G2,batch 25600,ppo_privilege_gru_0721_bs25600,15,22,0,14,10,7,6,5,12,9,3,8,6,2,6,1
G2,batch 25600,ppo_privilege_gru_0721_bs25600,20,16,0,10,6,5,5,4,12,6,6,8,4,4,5,1
G2,batch 51200,ppo_privilege_gru_0721_bs51200,1,22,0,11,8,8,7,5,12,8,4,8,6,2,5,2
G2,batch 51200,ppo_privilege_gru_0721_bs51200,5,17,0,10,8,8,7,4,12,7,5,8,5,3,4,2
G2,batch 51200,ppo_privilege_gru_0721_bs51200,10,15,0,7,6,5,5,4,12,6,6,8,4,4,3,2
G2,batch 51200,ppo_privilege_gru_0721_bs51200,15,17,0,12,10,9,6,4,12,9,3,8,5,3,5,2
G2,batch 51200,ppo_privilege_gru_0721_bs51200,20,21,0,13,12,12,10,4,12,6,6,8,5,3,7,5
G3,clip 0.10,ppo_privilege_gru_0721_clip010,1,28,0,15,12,9,9,6,12,10,2,8,7,1,7,4
G3,clip 0.10,ppo_privilege_gru_0721_clip010,5,23,0,15,14,11,10,7,12,6,6,8,5,3,9,6
G3,clip 0.10,ppo_privilege_gru_0721_clip010,10,17,0,9,7,6,5,3,12,6,6,8,4,4,4,3
G3,clip 0.10,ppo_privilege_gru_0721_clip010,15,28,0,17,15,14,12,7,12,8,4,8,5,3,9,7
G3,clip 0.10,ppo_privilege_gru_0721_clip010,20,20,0,12,7,6,5,2,12,5,7,8,3,5,7,3
G3,clip 0.20 legacy 8-worker,ppo_privilege_gru_0721_clip020,1,24,0,13,11,6,6,3,12,8,4,8,6,2,6,2
G3,clip 0.20 legacy 8-worker,ppo_privilege_gru_0721_clip020,5,23,0,11,11,10,9,4,12,3,9,8,3,5,8,6
G3,clip 0.20 legacy 8-worker,ppo_privilege_gru_0721_clip020,10,22,0,12,12,11,10,5,12,3,9,8,3,5,10,8
G3,clip 0.20 legacy 8-worker,ppo_privilege_gru_0721_clip020,15,18,0,12,11,10,10,4,12,2,10,8,2,6,10,8
G3,clip 0.20 legacy 8-worker,ppo_privilege_gru_0721_clip020,20,14,0,8,8,8,6,4,12,1,11,8,1,7,7,5
G6,target-KL 0.02,ppo_privilege_gru_0722_clip015_tkl002,1,20,0,11,10,10,9,7,12,7,5,8,6,2,4,3
G6,target-KL 0.02,ppo_privilege_gru_0722_clip015_tkl002,5,17,0,9,8,6,5,2,12,5,7,8,3,5,5,3
G6,target-KL 0.02,ppo_privilege_gru_0722_clip015_tkl002,10,19,0,9,8,6,4,2,12,6,6,8,4,4,4,2
G6,target-KL 0.02,ppo_privilege_gru_0722_clip015_tkl002,15,18,0,8,8,8,6,5,12,6,6,8,5,3,3,1
G6,target-KL 0.02,ppo_privilege_gru_0722_clip015_tkl002,20,20,0,11,9,7,7,3,12,7,5,8,4,4,6,4
G6,target-KL 0.04,ppo_privilege_gru_0722_clip015_tkl004,1,23,0,9,8,7,5,3,12,5,7,8,5,3,5,1
G6,target-KL 0.04,ppo_privilege_gru_0722_clip015_tkl004,5,45,0,23,8,4,3,3,12,3,9,8,3,5,20,1
G6,target-KL 0.04,ppo_privilege_gru_0722_clip015_tkl004,10,70,0,33,20,11,9,7,12,1,11,8,1,7,32,9
G6,target-KL 0.04,ppo_privilege_gru_0722_clip015_tkl004,15,58,0,25,14,10,9,4,12,2,10,8,2,6,23,8
G6,target-KL 0.04,ppo_privilege_gru_0722_clip015_tkl004,20,33,0,14,7,5,5,4,12,1,11,8,1,7,13,4
G7,clip 0.20 x 45U,ppo_privilege_gru_0722_long45_clip020,35,14,0,8,7,7,7,5,12,5,7,8,4,4,3,3
G7,clip 0.20 x 45U,ppo_privilege_gru_0722_long45_clip020,40,11,0,8,7,5,5,3,12,3,9,8,1,7,5,4
G7,clip 0.20 x 45U,ppo_privilege_gru_0722_long45_clip020,45,12,0,7,7,7,6,4,12,4,8,8,3,5,3,3
G9,hard-neighbor x 45U,ppo_privilege_gru_0722_long45_clip020_hard,1,19,0,10,10,7,5,3,12,6,6,8,4,4,5,2
G9,hard-neighbor x 45U,ppo_privilege_gru_0722_long45_clip020_hard,5,18,0,9,7,6,6,3,12,5,7,8,3,5,5,3
G9,hard-neighbor x 45U,ppo_privilege_gru_0722_long45_clip020_hard,10,19,0,7,7,6,5,4,12,7,5,8,5,3,1,0
G9,hard-neighbor x 45U,ppo_privilege_gru_0722_long45_clip020_hard,15,15,0,5,4,4,4,3,12,5,7,8,3,5,1,1
G9,hard-neighbor x 45U,ppo_privilege_gru_0722_long45_clip020_hard,20,14,0,7,7,6,6,5,12,6,6,8,4,4,2,2
G9,hard-neighbor x 45U,ppo_privilege_gru_0722_long45_clip020_hard,25,22,0,10,8,6,4,3,12,2,10,8,1,7,8,3
G9,hard-neighbor x 45U,ppo_privilege_gru_0722_long45_clip020_hard,30,26,0,9,9,5,3,2,12,1,11,8,0,8,8,3
G9,hard-neighbor x 45U,ppo_privilege_gru_0722_long45_clip020_hard,35,20,0,8,8,3,3,0,12,0,12,8,0,8,8,3
G9,hard-neighbor x 45U,ppo_privilege_gru_0722_long45_clip020_hard,40,22,0,11,10,2,2,0,12,1,11,8,1,7,10,2
G9,hard-neighbor x 45U,ppo_privilege_gru_0722_long45_clip020_hard,45,17,0,5,4,1,1,1,12,1,11,8,1,7,4,0
G8,clip 0.25 x 45U,ppo_privilege_gru_0722_long45_clip025,1,18,0,7,7,6,4,3,12,8,4,8,6,2,1,0
G8,clip 0.25 x 45U,ppo_privilege_gru_0722_long45_clip025,5,23,0,13,12,11,11,8,12,8,4,8,7,1,5,4
G8,clip 0.25 x 45U,ppo_privilege_gru_0722_long45_clip025,10,15,0,4,2,2,2,1,12,4,8,8,3,5,2,0
