group,run,update,episode_rows,collision_role_episodes,ordinary_role_episodes,base_collision_source_episodes,boundary_collision_source_episodes,unknown_collision_source_episodes,base_source_realized_collision_rate,boundary_source_realized_collision_rate,ordinary_role_realized_collision_rate
G1,ppo_independent_gru_0721_base,1,159,94,65,94,0,0,0.5638297872340425,,0.015384615384615385
G1,ppo_independent_gru_0721_base,2,153,89,64,89,0,0,0.5168539325842697,,0.03125
G1,ppo_independent_gru_0721_base,3,150,85,65,85,0,0,0.5058823529411764,,0.06153846153846154
G1,ppo_independent_gru_0721_base,4,152,86,66,86,0,0,0.5348837209302325,,0.07575757575757576
G1,ppo_independent_gru_0721_base,5,152,88,64,88,0,0,0.45454545454545453,,0.0
G1,ppo_independent_gru_0721_base,6,163,98,65,98,0,0,0.6020408163265306,,0.06153846153846154
G1,ppo_independent_gru_0721_base,7,150,85,65,85,0,0,0.5058823529411764,,0.03076923076923077
G1,ppo_independent_gru_0721_base,8,151,87,64,87,0,0,0.47126436781609193,,0.015625
G1,ppo_independent_gru_0721_base,9,148,83,65,83,0,0,0.5180722891566265,,0.015384615384615385
G1,ppo_independent_gru_0721_base,10,149,84,65,84,0,0,0.5119047619047619,,0.046153846153846156
G1,ppo_independent_gru_0721_base,11,154,90,64,90,0,0,0.5333333333333333,,0.03125
G1,ppo_independent_gru_0721_base,12,153,87,66,87,0,0,0.4942528735632184,,0.045454545454545456
G1,ppo_independent_gru_0721_base,13,145,78,67,78,0,0,0.4230769230769231,,0.11940298507462686
G1,ppo_independent_gru_0721_base,14,148,82,66,82,0,0,0.43902439024390244,,0.030303030303030304
G1,ppo_independent_gru_0721_base,15,148,84,64,84,0,0,0.4523809523809524,,0.046875
G1,ppo_independent_gru_0721_base,16,150,84,66,84,0,0,0.39285714285714285,,0.045454545454545456
G1,ppo_independent_gru_0721_base,17,143,77,66,77,0,0,0.35064935064935066,,0.030303030303030304
G1,ppo_independent_gru_0721_base,18,150,84,66,84,0,0,0.5,,0.09090909090909091
G1,ppo_independent_gru_0721_base,19,146,78,68,78,0,0,0.4230769230769231,,0.07352941176470588
G1,ppo_independent_gru_0721_base,20,151,87,64,87,0,0,0.4827586206896552,,0.046875
G1,ppo_privilege_mlp_0721_base,1,159,94,65,94,0,0,0.5638297872340425,,0.015384615384615385
G1,ppo_privilege_mlp_0721_base,2,152,88,64,88,0,0,0.5454545454545454,,0.03125
G1,ppo_privilege_mlp_0721_base,3,155,89,66,89,0,0,0.6292134831460674,,0.06060606060606061
G1,ppo_privilege_mlp_0721_base,4,159,95,64,95,0,0,0.6947368421052632,,0.015625
G1,ppo_privilege_mlp_0721_base,5,150,86,64,86,0,0,0.5116279069767442,,0.0
G1,ppo_privilege_mlp_0721_base,6,166,99,67,99,0,0,0.6464646464646465,,0.08955223880597014
G1,ppo_privilege_mlp_0721_base,7,149,85,64,85,0,0,0.5294117647058824,,0.0
G1,ppo_privilege_mlp_0721_base,8,150,85,65,85,0,0,0.49411764705882355,,0.046153846153846156
G1,ppo_privilege_mlp_0721_base,9,147,82,65,82,0,0,0.5,,0.015384615384615385
G1,ppo_privilege_mlp_0721_base,10,151,86,65,86,0,0,0.5581395348837209,,0.015384615384615385
G1,ppo_privilege_mlp_0721_base,11,159,94,65,94,0,0,0.6170212765957447,,0.03076923076923077
G1,ppo_privilege_mlp_0721_base,12,148,83,65,83,0,0,0.4457831325301205,,0.03076923076923077
G1,ppo_privilege_mlp_0721_base,13,150,85,65,85,0,0,0.5882352941176471,,0.1076923076923077
G1,ppo_privilege_mlp_0721_base,14,153,88,65,88,0,0,0.5454545454545454,,0.046153846153846156
G1,ppo_privilege_mlp_0721_base,15,157,93,64,93,0,0,0.6021505376344086,,0.015625
G1,ppo_privilege_mlp_0721_base,16,147,82,65,82,0,0,0.4634146341463415,,0.06153846153846154
G1,ppo_privilege_mlp_0721_base,17,147,81,66,81,0,0,0.5061728395061729,,0.030303030303030304
G1,ppo_privilege_mlp_0721_base,18,151,86,65,86,0,0,0.5232558139534884,,0.06153846153846154
G1,ppo_privilege_mlp_0721_base,19,157,89,68,89,0,0,0.5280898876404494,,0.07352941176470588
G1,ppo_privilege_mlp_0721_base,20,145,79,66,79,0,0,0.45569620253164556,,0.030303030303030304
G1,ppo_privilege_gru_0721_base,1,159,94,65,94,0,0,0.5638297872340425,,0.015384615384615385
G1,ppo_privilege_gru_0721_base,2,148,84,64,84,0,0,0.4642857142857143,,0.03125
G1,ppo_privilege_gru_0721_base,3,159,92,67,92,0,0,0.6195652173913043,,0.08955223880597014
G1,ppo_privilege_gru_0721_base,4,160,95,65,95,0,0,0.6842105263157895,,0.046153846153846156
G1,ppo_privilege_gru_0721_base,5,156,92,64,92,0,0,0.5543478260869565,,0.015625
G1,ppo_privilege_gru_0721_base,6,153,89,64,89,0,0,0.5056179775280899,,0.03125
G1,ppo_privilege_gru_0721_base,7,141,77,64,77,0,0,0.4025974025974026,,0.046875
G1,ppo_privilege_gru_0721_base,8,150,86,64,86,0,0,0.47674418604651164,,0.015625
G1,ppo_privilege_gru_0721_base,9,141,77,64,77,0,0,0.37662337662337664,,0.0
G1,ppo_privilege_gru_0721_base,10,148,83,65,83,0,0,0.42168674698795183,,0.03076923076923077
G1,ppo_privilege_gru_0721_base,11,147,82,65,82,0,0,0.4268292682926829,,0.046153846153846156
G1,ppo_privilege_gru_0721_base,12,153,88,65,88,0,0,0.4772727272727273,,0.015384615384615385
G1,ppo_privilege_gru_0721_base,13,151,84,67,84,0,0,0.5595238095238095,,0.07462686567164178
G1,ppo_privilege_gru_0721_base,14,145,80,65,80,0,0,0.375,,0.03076923076923077
G1,ppo_privilege_gru_0721_base,15,151,85,66,85,0,0,0.5058823529411764,,0.045454545454545456
G1,ppo_privilege_gru_0721_base,16,151,86,65,86,0,0,0.45348837209302323,,0.046153846153846156
G1,ppo_privilege_gru_0721_base,17,138,73,65,73,0,0,0.3561643835616438,,0.015384615384615385
G1,ppo_privilege_gru_0721_base,18,148,84,64,84,0,0,0.39285714285714285,,0.03125
G1,ppo_privilege_gru_0721_base,19,148,82,66,82,0,0,0.5,,0.07575757575757576
G1,ppo_privilege_gru_0721_base,20,143,78,65,78,0,0,0.4230769230769231,,0.03076923076923077
G2,ppo_privilege_gru_0721_bs25600,1,159,94,65,94,0,0,0.5638297872340425,,0.015384615384615385
