group,arm,run,update,rollout_policy_update,checkpoint_update,rollout_collision_rate,rollout_overtake_rate,policy_gradient_loss,value_loss_post_update,explained_variance_post_update,collision_explained_variance_post,ordinary_explained_variance_post,approx_kl_mean,approx_kl_max,clip_fraction_mean,clip_fraction_max,actor_optimizer_steps_planned,actor_optimizer_steps_completed,actor_early_stop_triggered,actor_grad_norm_mean,actor_grad_norm_max,critic_grad_norm_mean,critic_grad_norm_max,ego_collision_count,episode_count,overtake_count,follow_count,mean_episode_return,mean_collision_episode_return,mean_ordinary_episode_return,mean_relative_position_m,mean_collision_relative_position_m,mean_ordinary_relative_position_m,mean_ego_collision_time,mean_episode_min_obb_clearance_m,mean_episode_min_wall_clearance_m,mean_episode_risk_active_fraction,mean_episode_reward_progress,mean_episode_reward_relative,mean_episode_reward_collision,mean_episode_reward_risk,rollout_wall_seconds,actor_train_wall_seconds,critic_train_wall_seconds
G1,independent_gru,ppo_independent_gru_0721_base,1,0,1,0.33962264150943394,0.41509433962264153,0.023108548669842993,0.14246022316854798,0.6103389777938593,0.6087494124673547,0.06525581660939472,0.4068368784862105,3.495802640914917,0.36235839035362005,0.6110156178474426,,,,149.9240264892578,275.40484619140625,2.298550555855036,5.333445072174072,54,159,66,39,-0.23055848805200252,-0.7836086370903732,0.5692371120957951,3.503862829655375,1.7935366908688255,5.977257553439001,3.556666666666632,0.3090019532907204,0.43090997908191037,0.08736558703054961,0.3284134787783901,0.12027644987074954,-0.6792452830188679,-3.133682274248001e-06,85.06020818300021,17.61821307900027,51.0710506559999
G1,independent_gru,ppo_independent_gru_0721_base,2,1,2,0.3137254901960784,0.3464052287581699,0.0020038439027121047,0.13633601878320095,0.630513706551772,0.5930662401681788,0.26117116020207976,0.04731385777151445,0.6871441006660461,0.09679687209427357,0.23921874165534973,,,,37.06407889723778,96.22772979736328,1.3530735865235328,3.3006927967071533,48,153,53,52,-0.18984185642930915,-0.674090811107269,0.48356684616972867,2.827967961772089,2.102697391635767,3.836547348367913,3.6460416666666298,0.4158048464422634,0.4449670351578674,0.10140390358058654,0.33055434126970573,0.1066305942426854,-0.6274509803921569,0.0004241884504565423,85.58449860399924,17.489660950000143,50.454592521999984
G1,independent_gru,ppo_independent_gru_0721_base,3,2,3,0.31333333333333335,0.44666666666666666,0.003011005495645813,0.07029419954740306,0.7458447022563388,0.7343707574518535,0.5506796555080808,0.08025706030020956,0.6269772052764893,0.1091796844266355,0.25679686665534973,,,,43.83842870593071,96.50789642333984,1.2714525915682315,3.4481468200683594,47,150,67,36,-0.14701349778213538,-0.6196282303667768,0.4710211525208572,4.144740238033328,2.5135698911572235,6.277809153179002,3.9070212765957026,0.3313240224527259,0.43194744198234153,0.09863077814500533,0.34667464557879574,0.13262472693116384,-0.6266666666666667,0.00035379637457168766,84.20009220700013,17.294602752000173,50.094219364999844
G1,independent_gru,ppo_independent_gru_0721_base,4,3,4,0.3355263157894737,0.3815789473684211,0.0019135642050427393,0.06404048897369355,0.8251095473404539,0.8008626397857366,0.7099800512893799,0.08813240552990464,0.7781549096107483,0.06917968524430762,0.14164061844348907,,,,44.76815742254257,92.31417846679688,1.3086430747061968,3.186844825744629,51,152,58,43,-0.21001125740279428,-0.6902335598801999,0.4157329549162495,3.5354378476339225,2.1932361934572264,5.2843672758035565,4.170784313725443,0.31835674319645985,0.4746431236754085,0.09615809411080183,0.3396035795034111,0.12142287311168329,-0.6710526315789473,1.4921561058728761e-05,85.54079592899961,17.494581431999904,50.49542484799986
G1,independent_gru,ppo_independent_gru_0721_base,5,4,5,0.2631578947368421,0.3881578947368421,0.0023774416248125707,0.06559870652628126,0.8152309772744148,0.7813620350543223,0.6825073990882389,0.032859141761582576,0.3657929599285126,0.09383300541958306,0.16953124105930328,,,,37.94502167403698,91.8788070678711,2.002114852517843,5.502567768096924,40,152,59,53,-0.06753534412806578,-0.5250278186834346,0.5615168083855664,3.2257960503344267,2.514460679828952,4.203882184779454,3.337749999999969,0.40469292567112297,0.42005333105962034,0.07983424152513717,0.3442645261333106,0.11489265028965708,-0.5263157894736842,-0.0003767310773492857,87.17513359900022,17.497542858999623,50.503572544000235
G1,independent_gru,ppo_independent_gru_0721_base,6,5,6,0.38650306748466257,0.31901840490797545,0.0021170060855365547,0.06889235005081049,0.8403855549452048,0.81026900265505,0.7533063933800545,0.0434197126358049,0.6191878914833069,0.09585937211522833,0.26445311307907104,,,,44.31203952431679,132.19654846191406,2.0636071637272835,3.6160194873809814,63,163,52,48,-0.3747222229476146,-0.9114531215864661,0.43450282423096154,2.34535166280359,0.7887160277645953,4.692279235631614,3.333015873015841,0.3414462566211117,0.46987776895407185,0.09868979476945028,0.3024961118625844,0.09649502789065746,-0.7730061349693251,-0.0007072277315313065,84.74216408699976,17.865002295000522,51.66871674599952
G1,independent_gru,ppo_independent_gru_0721_base,7,6,7,0.3,0.38,0.004686943260566956,0.06031390928805771,0.8442887771239559,0.8054933096561427,0.796482102307354,0.006597105458204168,0.011895780451595783,0.1333349570631981,0.27828124165534973,,,,68.92954704165459,134.83445739746094,0.9078088410198688,1.9209707975387573,45,150,57,48,-0.14676040891545947,-0.6323829054901292,0.4882843942975702,3.0637964414996777,2.3950140862856792,3.9383579829333684,3.990888888888843,0.40758382524082304,0.4479146017107646,0.08389091134005258,0.3453680989287328,0.1075696678601151,-0.6,0.0003018242956926434,84.41130749500007,17.32628909199957,50.17604857399965
G1,independent_gru,ppo_independent_gru_0721_base,8,7,8,0.2781456953642384,0.40397350993377484,0.0011826700485104702,0.04878364105244622,0.8829839251639915,0.8762846861042873,0.7725757175128543,0.11836307872086763,0.9183151721954346,0.04995117080397904,0.20960937440395355,,,,32.28532588481903,93.36549377441406,1.3637978974729776,3.328535795211792,42,151,61,48,-0.09148552515959377,-0.5581108417485394,0.5428332645785041,3.315241227546598,2.204055213658622,4.825759715175566,3.900238095238053,0.36894704269784384,0.44185255508320087,0.0891219840584801,0.346840245734177,0.11797878322061207,-0.5562913907284768,-1.3163385906095407e-05,86.95941677799965,17.473242863999985,50.30484944
G1,independent_gru,ppo_independent_gru_0721_base,9,8,9,0.2972972972972973,0.36486486486486486,0.0011793662414367745,0.07429201913750702,0.8403971871669814,0.795742057991095,0.7919223573452423,0.02964607409900054,0.4105597138404846,0.056855468079447746,0.1763281226158142,,,,34.2260981798172,119.37480163574219,1.4460649617016315,3.4764392375946045,44,148,54,50,-0.1316589486964042,-0.662321268934377,0.5459560140690072,3.0815714802317884,1.6681588161781196,4.886390728177242,4.319772727272677,0.363255916259367,0.42806644886503137,0.08725578682593468,0.35057675577415753,0.11217976271207424,-0.5945945945945946,0.00017912741195859504,85.07038188999923,17.352071368999532,50.2152792199995
G1,independent_gru,ppo_independent_gru_0721_base,10,9,10,0.3087248322147651,0.44966442953020136,0.0019266801045887405,0.0803204369808594,0.8125155526754014,0.7815652537176654,0.7223187068411312,0.04831887224136153,0.7131489515304565,0.0836328094592318,0.20742186903953552,,,,53.16861754655838,96.93775939941406,1.7608823224902153,4.17881965637207,46,149,67,36,-0.12373869452365911,-0.6250945625454213,0.5241673503044645,4.122454589540295,2.185919223141969,6.625054139962747,4.373260869565167,0.3564641033549753,0.4198844977531121,0.08668105127763574,0.3596977202873634,0.13382568058684183,-0.6174496644295302,0.00018756903166588062,87.48696040899995,17.407397150999714,50.33167880200017
G1,independent_gru,ppo_independent_gru_0721_base,11,10,11,0.3246753246753247,0.35714285714285715,0.0018776906764106371,0.10803768617283817,0.8531593490131251,0.8302666000988514,0.7372826947190023,0.03548459444238688,0.4705418646335602,0.06709960871376097,0.21742187440395355,,,,52.56375448405743,150.05023193359375,1.1730002593249083,2.967526912689209,50,154,55,49,-0.21879870758396652,-0.7149519118608391,0.4789167359303854,2.5400815248867263,1.8224844868856118,3.549202359575794,3.7893999999999606,0.40921699833059066,0.4349577975715456,0.08429595246502637,0.3288545860163957,0.10194837594684711,-0.6493506493506493,-0.000251020196559922,88.2287660789998,17.65325585499977,50.90979270600019
G1,independent_gru,ppo_independent_gru_0721_base,12,11,12,0.3006535947712418,0.3464052287581699,0.003930650983384076,0.056984329491278164,0.8952253017254107,0.8873445226446615,0.8359461469374809,0.007211164594627915,0.02045404352247715,0.12189941116957925,0.2890625,,,,30.996447905898094,106.82354736328125,1.0983805119991303,2.1796154975891113,46,153,53,54,-0.14981681161888286,-0.6171261657503935,0.46618188246356307,3.1717578233361485,2.175793167533432,4.484620324167003,3.7173913043477858,0.39109651534084533,0.4310360707396388,0.09570811092001057,0.33659034245778063,0.11462824958693277,-0.6013071895424836,0.00027178587888738716,85.29375108000022,17.491761303001113,50.75031873700027
G1,independent_gru,ppo_independent_gru_0721_base,13,12,13,0.2827586206896552,0.3586206896551724,0.004586856970926867,0.070042566437037,0.8743796618622148,0.852865404741917,0.8013960607763777,0.007056740153930149,0.017518682405352592,0.16223632404580712,0.3868750035762787,,,,83.46900308132172,188.07073974609375,1.2206089302897454,4.033867359161377,41,145,52,52,-0.11438537077727474,-0.44921738534877764,0.2754190640970123,2.7112160491795247,2.183163651128102,3.325963617060285,4.455609756097509,0.3710449713434689,0.4270669939792704,0.07765076370277604,0.34668295705468094,0.1043502304418653,-0.5655172413793104,9.868310548941008e-05,86.33485519299938,17.22377578599844,49.8581476269992
G1,independent_gru,ppo_independent_gru_0721_base,14,13,14,0.25675675675675674,0.36486486486486486,0.000819345064610455,0.043527452333384745,0.8961280211271618,0.880742736110669,0.8640044297893938,0.14491861678019632,0.9170182347297668,0.046552733139833435,0.09187499433755875,,,,29.342372238636017,85.95323181152344,1.1065561056137085,2.758612871170044,38,148,54,56,-0.07916155077024752,-0.5072213177517969,0.45267028093410183,2.1284792519358215,1.558349863408842,2.83682182556025,3.934999999999956,0.4312773137529194,0.4254566134508516,0.08192233951173358,0.344343710466789,0.09031069333374041,-0.5135135135135135,-0.0003024410572633765,86.57622193200041,17.370286036000834,50.12855777700133
G1,independent_gru,ppo_independent_gru_0721_base,15,14,15,0.27702702702702703,0.39864864864864863,0.0015357970690814682,0.046368389880837704,0.8897054315285117,0.893552978044108,0.8218655753285236,0.0062732507281179975,0.027623562142252922,0.04965331868152134,0.10460937023162842,,,,31.72489959001541,83.43883514404297,0.8161025978624821,1.885803461074829,41,148,59,48,-0.0908575309874275,-0.49066111775443405,0.43388467664426866,3.136566737077647,2.831447910122896,3.537035197455759,4.040487804878004,0.3944674794203914,0.4243940527908985,0.09396146059875041,0.3492328540427301,0.11356868952582037,-0.5540540540540541,0.00039497949807606433,86.88852419599971,17.288617879999947,50.031096087999686
G1,independent_gru,ppo_independent_gru_0721_base,16,15,16,0.24,0.42,0.0006843488070899517,0.036491618973134125,0.9018412669734011,0.8961731936540573,0.8801557555463959,0.043135991399285555,0.650275468826294,0.05187011614907533,0.13789062201976776,,,,19.54625403881073,63.69105529785156,0.8952736832201481,2.1605889797210693,36,150,63,51,-0.004738140411600368,-0.37868039660443464,0.47118836747018866,3.9205589950301007,3.269310277868132,4.749420998690789,3.272499999999968,0.43533755104139876,0.41657319492073336,0.09455933459040547,0.34678846101585387,0.12814281124547977,-0.48,0.00033058732706590227,85.33338281400029,17.450736290998975,50.33520134399987
G1,independent_gru,ppo_independent_gru_0721_base,17,16,17,0.20279720279720279,0.46153846153846156,0.002477857903795677,0.025490954268213337,0.927584315164081,0.9351778995805119,0.8407438676745695,0.006014995301375163,0.023517748340964317,0.10589355218689889,0.2535937428474426,,,,36.67152765393257,78.25143432617188,0.5334815554320812,1.448513388633728,29,143,66,48,0.09698374308387037,-0.2694785631076591,0.5245231003073215,3.9661143433891337,2.620803689754943,5.535643439295691,4.3186206896551225,0.366823860892818,0.42571177713032093,0.08050863518703241,0.37330017630181167,0.12911215636905907,-0.40559440559440557,0.00016581600740514076,86.23511525399954,17.128791704000832,49.423733806999735
G1,independent_gru,ppo_independent_gru_0721_base,18,17,18,0.32,0.46,0.001556939859001405,0.039671622790044526,0.919536444926186,0.9097886589105868,0.885111423224262,0.0044241253715881605,0.01206396333873272,0.0558691390324384,0.09648437052965164,,,,35.99504733085632,81.7979507446289,0.9031672090291977,2.667269706726074,48,150,69,33,-0.15889121508296167,-0.5853221241288674,0.3838390327936455,4.8457165158020645,3.968750293079085,5.96185534472222,4.07979166666662,0.30195866488096146,0.44306453531019485,0.1072805500637314,0.33377448749790095,0.14750944641680333,-0.64,-0.0001751489976658896,86.1714974459992,17.405319114999656,50.283832346000054
G1,independent_gru,ppo_independent_gru_0721_base,19,18,19,0.2602739726027397,0.4041095890410959,0.004584124699468006,0.04257556398478481,0.8967035985401414,0.888739235348944,0.86696440645755,0.007280070901324508,0.013672339729964733,0.16843261430040002,0.3306249976158142,,,,98.1062040925026,183.1508331298828,0.767741684615612,2.058262825012207,38,146,59,49,-0.042387530906278684,-0.4343889625571586,0.4072611701050248,3.3988137877296856,2.182910343210284,4.793526562325471,4.1968421052631095,0.38910054114864656,0.44114324044213943,0.0811174489901569,0.35896458253632285,0.11961974776223676,-0.5205479452054794,-0.00042391599935879024,83.70953935299985,17.219969800999024,49.95036560399967
G1,independent_gru,ppo_independent_gru_0721_base,20,19,20,0.2980132450331126,0.36423841059602646,0.0004771971532910868,0.05014458771682413,0.9074039817653526,0.8909515731541202,0.8821581500273489,0.02972025167255197,0.39666256308555603,0.03978027243283577,0.07929687201976776,,,,23.27131362259388,55.1379280090332,0.9006608687341213,2.4648690223693848,45,151,55,51,-0.1498604457639884,-0.5953737131032301,0.4557591520252934,3.0003561616444716,2.12828564899204,4.1858270147813705,3.8237777777777384,0.43382942038283717,0.4221440412392575,0.07662244907160555,0.33954361222294,0.10619148015450813,-0.5960264900662252,0.000430951924788536,85.84925649899924,17.491104624999934,50.40911508199861
G1,privilege_mlp,ppo_privilege_mlp_0721_base,1,0,1,0.33962264150943394,0.41509433962264153,0.022954452503181955,0.13832522922568619,0.30666758594647836,0.29233283511088914,-0.4981700952221986,0.19317712300806306,2.662461757659912,0.36630858667194843,0.5797656178474426,,,,147.61260396242142,262.6734313964844,0.2531983029097319,0.6297975182533264,54,159,66,39,-0.23055848805200252,-0.7836086370903732,0.5692371120957951,3.503862829655375,1.7935366908688255,5.977257553439001,3.556666666666632,0.3090019532907204,0.43090997908191037,0.08736558703054961,0.3284134787783901,0.12027644987074954,-0.6792452830188679,-3.133682274248001e-06,74.40636509400065,17.403024900000673,0.8026506710011745
G1,privilege_mlp,ppo_privilege_mlp_0721_base,2,1,2,0.32894736842105265,0.34868421052631576,0.0017315581883303732,0.12186459113010206,0.3744156412319448,0.36040746508645005,0.05382083908479607,0.004362897249520756,0.009444089606404305,0.07133300579153001,0.13507811725139618,,,,36.44007655978203,71.65874481201172,0.2301916044205427,0.4799044132232666,50,152,53,49,-0.21728592693206852,-0.7290146306137305,0.48634104063021666,2.920536592356998,2.185808910943721,3.930787154300254,3.917199999999958,0.42142507339774804,0.44185322882811673,0.09322524173370496,0.3316036433922279,0.10851799315191037,-0.6578947368421053,0.00048717336589845545,76.30749305099926,17.064720162999947,0.7960202300000674
