panel,run,update,policy_sha256,trainable_actor_parameter_count,fixed_actor_parameter_count,actor_relative_l2_from_bc,actor_delta_rms_from_bc,actor_max_abs_delta_from_bc,gru_relative_l2_from_bc,head_relative_l2_from_bc,fixed_frontend_delta_l2,checkpoint_path
BC,BC,0,b5a1360fee18c2875185a3d23ab21cbdd8a4cdb2e94639433a148f34809ac5e4,11300942,540,0.0,0.0,0.0,0.0,0.0,0.0,pretrained/end2race.pth
ppo_independent_gru_0721_base_u0001,ppo_independent_gru_0721_base,1,42f4ceb55e2b80bc0e552ed587a99f2cc80d653d536aa05911a0743088efeaa5,11300942,540,0.00014076225192852446,6.78056915394409e-06,0.0003284439444541931,5.392971876050268e-05,0.0007090364688673147,0.0,post-trained/ppo_independent_gru_0721_base/checkpoints/actor_u0001.pth
ppo_independent_gru_0721_base_u0005,ppo_independent_gru_0721_base,5,cbc6c8556428c6987dec0777839c38ecc9752f2cd0100c954dabe78c249271cb,11300942,540,0.0002855239475177132,1.3753792971669827e-05,0.001048848032951355,0.00011578496979998643,0.0014238502351106787,0.0,post-trained/ppo_independent_gru_0721_base/checkpoints/actor_u0005.pth
ppo_independent_gru_0721_base_u0010,ppo_independent_gru_0721_base,10,0dcca54601aaa55f6367d3011caa749b994973e6c5cc6c248bcb12b20f112b1d,11300942,540,0.0003733705492445225,1.798539590347054e-05,0.0013396292924880981,0.0001641971505083639,0.0018306997960328975,0.0,post-trained/ppo_independent_gru_0721_base/checkpoints/actor_u0010.pth
ppo_independent_gru_0721_base_u0015,ppo_independent_gru_0721_base,15,17fbeb07baa1495b299524322f89a62cd85e489d1c3218f7ff2e2f3d1b78846c,11300942,540,0.000463836690981895,2.2343183035579206e-05,0.0017479397356510162,0.0002113110772419346,0.0022550732940278552,0.0,post-trained/ppo_independent_gru_0721_base/checkpoints/actor_u0015.pth
ppo_independent_gru_0721_base_u0020,ppo_independent_gru_0721_base,20,e35a4086b8018ceab826171e0ebfed9338f5e759d1e2963ca7170deacfc00632,11300942,540,0.000537468431829626,2.5890050920279177e-05,0.0019168220460414886,0.00025157864320463487,0.0025947479843716733,0.0,post-trained/ppo_independent_gru_0721_base/checkpoints/actor_u0020.pth
ppo_privilege_gru_0721_base_u0001,ppo_privilege_gru_0721_base,1,cd834221f0eda2b90e24df961e666c5258df326a8726751972984198a2c2847b,11300942,540,0.00011783982988194705,5.676387700938971e-06,0.0003016311675310135,4.496421596083788e-05,0.0005939708212823194,0.0,post-trained/ppo_privilege_gru_0721_base/checkpoints/actor_u0001.pth
ppo_privilege_gru_0721_base_u0005,ppo_privilege_gru_0721_base,5,618491a0cf7d2a6a9243a310b957cec6ad546be17eba4eec7d0074bb44ea8c20,11300942,540,0.0002564606648351944,1.2353804016040522e-05,0.0008468832820653915,0.0001114244176063496,0.0012609274311332383,0.0,post-trained/ppo_privilege_gru_0721_base/checkpoints/actor_u0005.pth
ppo_privilege_gru_0721_base_u0010,ppo_privilege_gru_0721_base,10,aad2df344457398cdb11dd7afd900269227f2dca3c006766ddf4243d5297c0a0,11300942,540,0.0003458729781576888,1.6660827848006044e-05,0.0010015368461608887,0.00015520297825240213,0.0016878361654111584,0.0,post-trained/ppo_privilege_gru_0721_base/checkpoints/actor_u0010.pth
ppo_privilege_gru_0721_base_u0015,ppo_privilege_gru_0721_base,15,92b61b0acc338600857d4ce79b94085a05828619252cd89b5c42e83a6253be5f,11300942,540,0.00045863631403704334,2.2092678976301663e-05,0.0014443844556808472,0.00020754919752997254,0.002233502649562524,0.0,post-trained/ppo_privilege_gru_0721_base/checkpoints/actor_u0015.pth
