panel,run,update,panel_valid,policy_sha256,scenario_id,episode_key,trace_format,trace_length,terminal_marker_valid,trace_collision_marker_matches_json,collision_time_s,trace_end_time_s,trace_end_lag_to_collision_s,opponent_collision,pass_detected,pass_time_s,pass_to_collision_s,max_relative_progress_m,terminal_relative_progress_m,json_terminal_relative_progress_m,relative_progress_terminal_abs_error_m,lateral_gap_at_pass_m,terminal_lateral_gap_m,post_pass_lateral_convergence_m,terminal_opponent_body_x_m,terminal_opponent_body_y_m,terminal_center_distance_m,terminal_heading_difference_rad,terminal_ego_track_heading_error_rad,terminal_abs_kinematic_slip_proxy_rad,terminal_yaw_rate_proxy_radps,terminal_tail_lateral_velocity_proxy_mps,terminal_abs_steer_command_rad,post_pass_rear_contact,merge_tail_relaxed,merge_tail_primary,merge_tail_strict,collision_class,trace_path
BC,BC,0,True,b5a1360fee18c2875185a3d23ab21cbdd8a4cdb2e94639433a148f34809ac5e4,evaluation-sp30-ego1283-raceline0-v0.7,ol0_e1283_o1279_s0.7,post_step_v2,727,True,True,7.25999999999989,7.25999999999989,0.0,True,True,6.089999999999915,1.169999999999975,0.5833296194275022,0.5833296194275022,0.5833296194275022,0.0,0.7663780874216956,0.3226157960861135,0.44376229133558204,-0.10425257176541317,-0.47464259196837205,0.48595698248935276,0.8616780761261795,-0.46995803995508245,0.0810269896854039,-2.503916923082925,0.9550929809884525,0.2562277317047119,True,True,True,True,post_overtake_merge_rear_sweep,eval_results/end2race_Austin/multiagents/traces/ol0_e1283_o1279_s0.7.npz
BC,BC,0,True,b5a1360fee18c2875185a3d23ab21cbdd8a4cdb2e94639433a148f34809ac5e4,evaluation-sp45-ego1924-raceline0-v0.7,ol0_e1924_o1919_s0.7,post_step_v2,714,True,True,7.129999999999892,7.129999999999892,0.0,True,True,6.089999999999915,1.0399999999999778,0.5228902684545176,0.4263164048785768,0.4263164048785768,0.0,0.6734918173982427,0.45851866768173166,0.21497314971651105,-0.29835491425338173,-0.47050283971148393,0.5571252794800404,0.8170212872655478,0.10336221357454889,0.03751984034744815,-1.0446423106857017,0.24869117092910692,0.16970786452293396,True,True,True,True,post_overtake_merge_rear_sweep,eval_results/end2race_Austin/multiagents/traces/ol0_e1924_o1919_s0.7.npz
BC,BC,0,True,b5a1360fee18c2875185a3d23ab21cbdd8a4cdb2e94639433a148f34809ac5e4,evaluation-sp5-ego213-raceline0-v0.7,ol0_e213_o221_s0.7,post_step_v2,332,True,True,3.3099999999999734,3.3099999999999734,0.0,True,True,3.0699999999999785,0.23999999999999488,0.3994657999474782,0.3994657999474782,0.3994657999474782,0.0,0.5079818214041527,0.2841830452383647,0.22379877616578803,-0.3578429480408372,-0.33742089768021805,0.4918378164129732,0.1071020284331019,-0.1410757217334666,0.023320170176377886,-0.2131092980465522,-0.08912319990528574,0.011227604001760483,True,True,True,True,post_overtake_merge_rear_sweep,eval_results/end2race_Austin/multiagents/traces/ol0_e213_o221_s0.7.npz
BC,BC,0,True,b5a1360fee18c2875185a3d23ab21cbdd8a4cdb2e94639433a148f34809ac5e4,evaluation-sp9-ego384-raceline0-v0.7,ol0_e384_o391_s0.7,post_step_v2,740,True,True,7.389999999999887,7.389999999999887,0.0,True,True,7.089999999999893,0.2999999999999936,0.0727690511544381,0.0727690511544381,0.0727690511544381,0.0,0.6643050901981302,0.3334453887681052,0.330859701430025,-0.030657368199426827,-0.33992644160775826,0.3413061088363757,0.128940176854746,-0.12509111509700865,0.06264738439989692,0.8321018603726804,-0.5944064981018375,0.13993799686431885,True,True,True,False,post_overtake_merge_rear_sweep,eval_results/end2race_Austin/multiagents/traces/ol0_e384_o391_s0.7.npz
BC,BC,0,True,b5a1360fee18c2875185a3d23ab21cbdd8a4cdb2e94639433a148f34809ac5e4,evaluation-sp12-ego513-raceline0-v0.8,ol0_e513_o523_s0.8,post_step_v2,588,True,True,5.869999999999919,5.869999999999919,0.0,True,True,5.479999999999928,0.3899999999999917,0.16910758943612336,0.10200797999576139,0.10200797999576139,0.0,0.5125984526584595,0.3128472435526793,0.1997512091057802,-0.08834830649626281,-0.3169999449397652,0.32908112731144545,0.026854755872800062,-0.043606672459144846,0.00888383610961796,-0.13038574789982882,-0.010843677750940426,0.0037483572959899902,True,True,True,True,post_overtake_merge_rear_sweep,eval_results/end2race_Austin/multiagents/traces/ol0_e513_o523_s0.8.npz
BC,BC,0,True,b5a1360fee18c2875185a3d23ab21cbdd8a4cdb2e94639433a148f34809ac5e4,evaluation-sp13-ego556-raceline0-v0.8,ol0_e556_o565_s0.8,post_step_v2,706,True,True,7.049999999999894,7.049999999999894,0.0,True,True,6.599999999999904,0.4499999999999904,0.3790720708225024,0.3790720708225024,0.3790720708225024,0.0,0.7268839079863882,0.3356769597312605,0.39120694825512775,-0.1844263236942223,-0.47609801404274027,0.5105706492218363,1.0512724795535267,-0.3956715532236146,0.27984757363107704,-2.614578071837499,1.7693655982629477,0.10776735842227936,True,True,True,True,post_overtake_merge_rear_sweep,eval_results/end2race_Austin/multiagents/traces/ol0_e556_o565_s0.8.npz
BC,BC,0,True,b5a1360fee18c2875185a3d23ab21cbdd8a4cdb2e94639433a148f34809ac5e4,evaluation-sp17-ego727-raceline0-v0.5,ol0_e727_o739_s0.5,post_step_v2,224,True,True,2.2299999999999964,2.2299999999999964,0.0,False,False,,,-1.1385708153140968,-1.1385708153140968,-1.1385708153140968,0.0,,1.3774732767417537,,-0.04609636352637381,1.7848747056054393,1.7854698511709626,2.491335516483799,-2.4726135223547074,2.536837912115784,-25.17519898982197,5.4740328239441025,0.04018644243478775,False,False,False,False,ego_only_wall_like,eval_results/end2race_Austin/multiagents/traces/ol0_e727_o739_s0.5.npz
BC,BC,0,True,b5a1360fee18c2875185a3d23ab21cbdd8a4cdb2e94639433a148f34809ac5e4,evaluation-sp21-ego898-raceline0-v0.7,ol0_e898_o902_s0.7,post_step_v2,611,True,True,6.099999999999914,6.099999999999914,0.0,True,True,5.689999999999923,0.40999999999999126,0.2942155679924383,0.2002413333312063,0.2002413333312063,0.0,0.7657999669335027,0.40306673913662666,0.36273322779687606,-0.02426424816925954,-0.44301738631328036,0.4436813702591869,0.6154841662563522,-0.29923618176694156,0.17680845851662985,-1.5323374179429698,1.1068867529205326,0.11620163172483444,True,True,True,True,post_overtake_merge_rear_sweep,eval_results/end2race_Austin/multiagents/traces/ol0_e898_o902_s0.7.npz
BC,BC,0,True,b5a1360fee18c2875185a3d23ab21cbdd8a4cdb2e94639433a148f34809ac5e4,evaluation-sp32-ego1368-raceline1-v0.5,ol1_e1368_o1383_s0.5,post_step_v2,678,True,True,6.7699999999999,6.7699999999999,0.0,True,False,,,-0.5966740533948496,-0.5966740533948496,-0.5966740533948496,0.0,,0.157798106453963,,0.575935511693256,0.20217267818803702,0.6103896341150431,0.07804644654795379,-0.10762331602085595,0.08346007143972045,-1.2894115176265073,0.7261642847037313,0.19762617349624634,False,False,False,False,prepass_or_front_side_opponent_contact,eval_results/end2race_Austin/multiagents/traces/ol1_e1368_o1383_s0.5.npz
BC,BC,0,True,b5a1360fee18c2875185a3d23ab21cbdd8a4cdb2e94639433a148f34809ac5e4,evaluation-sp32-ego1368-raceline1-v0.6,ol1_e1368_o1383_s0.6,post_step_v2,439,True,True,4.379999999999951,4.379999999999951,0.0,True,False,,,-0.5595791900566383,-0.5595791900566383,-0.5595791900566383,0.0,,0.17893240725246562,,0.6111252683639412,-0.013197099917478,0.6112677458194002,-0.2849712596103706,0.2385905186071371,0.1215073223662495,-2.2620984221204172,1.0503165290398955,0.20693287253379822,False,False,False,False,prepass_or_front_side_opponent_contact,eval_results/end2race_Austin/multiagents/traces/ol1_e1368_o1383_s0.6.npz
