group,baseline_run,arm_run,intended_differences,recorded_differences,confounds,strict_single_axis
G1,ppo_privilege_gru_0721_base,ppo_independent_gru_0721_base,critic,critic,,True
G1,ppo_privilege_gru_0721_base,ppo_privilege_mlp_0721_base,critic,critic,,True
G2,ppo_privilege_gru_0721_base,ppo_privilege_gru_0721_bs25600,batch_size,batch_size,,True
G2,ppo_privilege_gru_0721_base,ppo_privilege_gru_0721_bs51200,batch_size,batch_size,,True
G3 context,ppo_privilege_gru_0721_base,ppo_privilege_gru_0721_clip010,clip_range,"clip_range, env_workers",env_workers,False
G3 context,ppo_privilege_gru_0721_base,ppo_privilege_gru_0721_clip020,clip_range,"clip_range, env_workers",env_workers,False
G3 workers=8,ppo_privilege_gru_0721_clip010,ppo_privilege_gru_0721_clip020,clip_range,clip_range,,True
G4,ppo_privilege_gru_0721_base,ppo_privilege_gru_0722_lr1_tkloff,"gru_learning_rate, head_learning_rate","gru_learning_rate, head_learning_rate",,True
G4,ppo_privilege_gru_0721_base,ppo_privilege_gru_0722_lr5_tkloff,"gru_learning_rate, head_learning_rate","gru_learning_rate, head_learning_rate",,True
G5,ppo_privilege_gru_0722_long_clip015,ppo_privilege_gru_0722_long_clip020,clip_range,clip_range,,True
G6,ppo_privilege_gru_0721_base,ppo_privilege_gru_0722_clip015_tkl002,target_kl,"env_workers, target_kl",env_workers,False
G6,ppo_privilege_gru_0721_base,ppo_privilege_gru_0722_clip015_tkl004,target_kl,target_kl,,True
G8,ppo_privilege_gru_0722_long45_clip020,ppo_privilege_gru_0722_long45_clip025,clip_range,clip_range,,True
G9,ppo_privilege_gru_0722_long45_clip020,ppo_privilege_gru_0722_long45_clip020_hard,hard_neighbors,hard_neighbors,,True
