group,arm,source_runs,updates,valid_path,collision_path,merge_tail_path,overtake_path,mean_collisions_all_valid,mean_tail_all_valid,mean_collisions_u25_plus,mean_tail_u25_plus,best_update,best_collision_count,best_tail_count,best_overtake_count,final_update,final_collision_count,final_tail_count,final_overtake_count,mean_adjacent_collision_jaccard,mean_adjacent_tail_jaccard,mean_adjacent_collision_flips,mean_adjacent_tail_flips,unique_policy_count
G1 critic,independent_gru,ppo_independent_gru_0721_base,1/5/10/15/20,1/1/1/1/1,19 / 19 / 27 / 29 / 34,10 / 12 / 12 / 15 / 16,345 / 339 / 339 / 330 / 329,25.6,13.0,,,1,19,10,345,20,34,16,329,0.437796697626419,0.46228930168558646,19.25,9.5,5
G1 critic,privilege_mlp,ppo_privilege_mlp_0721_base,1/5/10/15/20,1/1/1/1/1,24 / 25 / 25 / 21 / 25,9 / 9 / 10 / 8 / 9,343 / 345 / 347 / 349 / 360,24.0,9.0,,,15,21,8,349,20,25,9,360,0.43145001280081924,0.22410714285714287,19.25,11.5,5
G1 critic,privilege_gru,ppo_privilege_gru_0721_base,1/5/10/15/20,1/1/1/1/1,16 / 18 / 18 / 14 / 14,8 / 11 / 11 / 8 / 7,350 / 343 / 339 / 349 / 349,16.0,9.0,,,20,14,7,349,20,14,7,349,0.38416666666666666,0.32751623376623373,14.5,9.75,5
G2 batch,"batch 12,800",ppo_privilege_gru_0721_base,1/5/10/15/20,1/1/1/1/1,16 / 18 / 18 / 14 / 14,8 / 11 / 11 / 8 / 7,350 / 343 / 339 / 349 / 349,16.0,9.0,,,20,14,7,349,20,14,7,349,0.38416666666666666,0.32751623376623373,14.5,9.75,5
G2 batch,"batch 25,600",ppo_privilege_gru_0721_bs25600,1/5/10/15/20,1/1/1/1/1,18 / 22 / 21 / 22 / 16,8 / 12 / 10 / 11 / 8,349 / 344 / 347 / 343 / 348,19.8,9.8,,,20,16,8,348,20,16,8,348,0.46477797426073286,0.39724736048265463,15.0,9.0,5
G2 batch,"batch 51,200",ppo_privilege_gru_0721_bs51200,1/5/10/15/20,1/1/1/1/1,22 / 17 / 15 / 17 / 21,7 / 8 / 7 / 10 / 11,344 / 345 / 349 / 345 / 342,18.4,8.6,,,10,15,7,349,20,21,11,342,0.45376845376845376,0.3928321678321678,13.25,7.5,5
G3 legacy clip workers=8,clip 0.10,ppo_privilege_gru_0721_clip010,1/5/10/15/20,1/1/1/1/1,28 / 23 / 17 / 28 / 20,12 / 13 / 9 / 17 / 9,340 / 344 / 351 / 333 / 340,23.2,12.0,,,10,17,9,351,20,20,9,340,0.48620614749647006,0.35807748538011697,16.0,11.75,5
G3 legacy clip workers=8,clip 0.20,ppo_privilege_gru_0721_clip020,1/5/10/15/20,1/1/1/1/1,24 / 23 / 22 / 18 / 14,13 / 11 / 12 / 12 / 8,343 / 331 / 335 / 342 / 341,20.2,11.2,,,20,14,8,341,20,14,8,341,0.44472101972101974,0.3834978070175438,16.0,10.25,5
G4 actor LR,LR 1x,ppo_privilege_gru_0722_lr1_tkloff,1/5/10/15/20,1/1/1/1/1,18 / 15 / 15 / 19 / 21,8 / 5 / 6 / 6 / 7,345 / 349 / 350 / 354 / 353,17.6,6.4,,,5,15,5,349,20,21,7,353,0.5114468864468864,0.4083333333333333,11.25,5.25,5
G4 actor LR,LR 3x,ppo_privilege_gru_0721_base,1/5/10/15/20,1/1/1/1/1,16 / 18 / 18 / 14 / 14,8 / 11 / 11 / 8 / 7,350 / 343 / 339 / 349 / 349,16.0,9.0,,,20,14,7,349,20,14,7,349,0.38416666666666666,0.32751623376623373,14.5,9.75,5
G4 actor LR,LR 5x,ppo_privilege_gru_0722_lr5_tkloff,1/5/10/15/20,1/1/1/1/0,19 / 21 / 21 / 26 / 26,10 / 13 / 9 / 16 / 12,347 / 344 / 341 / 326 / 318,21.75,12.0,,,1,19,10,347,15,26,16,326,0.36860119047619044,0.2558061821219716,20.75,14.5,5
