panel,run,update,valid,policy_sha256,bc_collision_count,ppo_collision_count,collision_shared,collision_resolved,collision_created,collision_net_reduction,collision_jaccard,collision_exact_p,collision_cluster_bootstrap_diff_ci_low,collision_cluster_bootstrap_diff_ci_high,bc_tail_count,ppo_tail_count,tail_shared,tail_resolved,tail_created,tail_net_reduction,tail_jaccard,tail_exact_p,tail_cluster_bootstrap_diff_ci_low,tail_cluster_bootstrap_diff_ci_high,bc_tail_scenarios_still_any_collision,bc_tail_scenarios_now_overtake,bc_tail_scenarios_now_follow,collision_exact_p_holm_all_valid_panels,tail_exact_p_holm_all_valid_panels
ppo_independent_gru_0721_base_u0001,ppo_independent_gru_0721_base,1,True,42f4ceb55e2b80bc0e552ed587a99f2cc80d653d536aa05911a0743088efeaa5,22,19,15,7,4,3,0.5769230769230769,0.548828125,-4.0,10.0,11,10,7,4,3,1,0.5,1.0,-4.0,6.0,9,2,0,1.0,1.0
ppo_independent_gru_0721_base_u0005,ppo_independent_gru_0721_base,5,True,cbc6c8556428c6987dec0777839c38ecc9752f2cd0100c954dabe78c249271cb,22,19,9,13,10,3,0.28125,0.6776394844055176,-7.0,13.0,11,12,4,7,8,-1,0.21052631578947367,1.0,-8.0,7.0,4,7,0,1.0,1.0
ppo_independent_gru_0721_base_u0010,ppo_independent_gru_0721_base,10,True,0dcca54601aaa55f6367d3011caa749b994973e6c5cc6c248bcb12b20f112b1d,22,27,10,12,17,-5,0.2564102564102564,0.45825831964612007,-16.0,5.0,11,12,4,7,8,-1,0.21052631578947367,1.0,-8.0,6.0,5,4,2,1.0,1.0
ppo_independent_gru_0721_base_u0015,ppo_independent_gru_0721_base,15,True,17fbeb07baa1495b299524322f89a62cd85e489d1c3218f7ff2e2f3d1b78846c,22,29,11,11,18,-7,0.275,0.26493089646101,-18.0,4.0,11,15,2,9,13,-4,0.08333333333333333,0.5234670639038086,-12.0,5.0,4,5,2,1.0,1.0
ppo_independent_gru_0721_base_u0020,ppo_independent_gru_0721_base,20,True,e35a4086b8018ceab826171e0ebfed9338f5e759d1e2963ca7170deacfc00632,22,34,10,12,24,-12,0.21739130434782608,0.06524533522315325,-23.0,-1.0,11,16,3,8,13,-5,0.125,0.38331031799316406,-14.0,3.0,4,5,2,1.0,1.0
ppo_privilege_gru_0721_base_u0001,ppo_privilege_gru_0721_base,1,True,cd834221f0eda2b90e24df961e666c5258df326a8726751972984198a2c2847b,22,16,13,9,3,6,0.52,0.14599609375,-1.0,13.0,11,8,5,6,3,3,0.35714285714285715,0.5078125,-3.0,9.0,6,5,0,1.0,1.0
ppo_privilege_gru_0721_base_u0005,ppo_privilege_gru_0721_base,5,True,618491a0cf7d2a6a9243a310b957cec6ad546be17eba4eec7d0074bb44ea8c20,22,18,13,9,5,4,0.48148148148148145,0.4239501953125,-3.0,12.0,11,11,6,5,5,0,0.375,1.0,-6.0,6.0,8,3,0,1.0,1.0
ppo_privilege_gru_0721_base_u0010,ppo_privilege_gru_0721_base,10,True,aad2df344457398cdb11dd7afd900269227f2dca3c006766ddf4243d5297c0a0,22,18,8,14,10,4,0.25,0.5412561893463135,-6.0,14.0,11,11,4,7,7,0,0.2222222222222222,1.0,-8.0,7.0,4,6,1,1.0,1.0
ppo_privilege_gru_0721_base_u0015,ppo_privilege_gru_0721_base,15,True,92b61b0acc338600857d4ce79b94085a05828619252cd89b5c42e83a6253be5f,22,14,10,12,4,8,0.38461538461538464,0.076812744140625,0.0,17.0,11,8,5,6,3,3,0.35714285714285715,0.5078125,-3.0,9.0,5,6,0,1.0,1.0
ppo_privilege_gru_0721_base_u0020,ppo_privilege_gru_0721_base,20,True,1258854cc7c3c0d7c1225706919ba36f84c9f24dca8d901e69895fb83762a9b8,22,14,12,10,2,8,0.5,0.03857421875,2.0,15.0,11,7,6,5,1,4,0.5,0.21875,0.0,9.0,8,3,0,1.0,1.0
ppo_privilege_gru_0721_bs25600_u0001,ppo_privilege_gru_0721_bs25600,1,True,b759fa2fb93e4d9c25ca513552d6e6a2fa09f8152ee81cee62b851d148e13be0,22,18,12,10,6,4,0.42857142857142855,0.454498291015625,-5.0,13.0,11,8,5,6,3,3,0.35714285714285715,0.5078125,-3.0,9.0,7,4,0,1.0,1.0
ppo_privilege_gru_0721_bs25600_u0005,ppo_privilege_gru_0721_bs25600,5,True,f1ebbb9ffbdb249953fa9a4f67ac3ae78fc08aee156b9451bfd2aa4acd2846d4,22,22,11,11,11,0,0.3333333333333333,1.0,-10.0,10.0,11,12,5,6,7,-1,0.2777777777777778,1.0,-8.0,6.0,5,6,0,1.0,1.0
