panel,run,update,policy_sha256,trainable_actor_parameter_count,fixed_actor_parameter_count,actor_relative_l2_from_bc,actor_delta_rms_from_bc,actor_max_abs_delta_from_bc,gru_relative_l2_from_bc,head_relative_l2_from_bc,fixed_frontend_delta_l2,checkpoint_path,arm
ppo_privilege_gru_0722_long45_clip020_hard_u0001,ppo_privilege_gru_0722_long45_clip020_hard,1,84c95c0b8ce636c980f5d47840d20fa248c52ac131dd163df99e2223b2bfbe94,11300942,540,0.0001399308043551,6.740518020262664e-06,0.0003886651247739,5.7725731199448266e-05,0.0006955035880069,0.0,post-trained/ppo_privilege_gru_0722_long45_clip020_hard/checkpoints/actor_u0001.pth,clip .20 + hard
ppo_privilege_gru_0722_long45_clip020_hard_u0005,ppo_privilege_gru_0722_long45_clip020_hard,5,6b385bd648c3c6ad638e4f1b0211d2ad0544dc9c5aca32f422f99c798668ccc9,11300942,540,0.0003209849243843,1.546196119586586e-05,0.00105463527143,0.0001323364768891,0.0015955926897176,0.0,post-trained/ppo_privilege_gru_0722_long45_clip020_hard/checkpoints/actor_u0005.pth,clip .20 + hard
ppo_privilege_gru_0722_long45_clip020_hard_u0010,ppo_privilege_gru_0722_long45_clip020_hard,10,58f5c055c11cfa37ab19a564a9bfaae20206c353b85281b0514a05236bc97ed7,11300942,540,0.0004419804202145,2.12903584796003e-05,0.0013350397348403,0.0001843227279633,0.0021920381813918,0.0,post-trained/ppo_privilege_gru_0722_long45_clip020_hard/checkpoints/actor_u0010.pth,clip .20 + hard
ppo_privilege_gru_0722_long45_clip020_hard_u0015,ppo_privilege_gru_0722_long45_clip020_hard,15,1e77acdc290f1d981471075b94a8d8729ba5835b7535f92a33d0283ecb467bcf,11300942,540,0.0005246634738915,2.5273231413463635e-05,0.0017034783959388,0.0002268229461271,0.0025824243730015,0.0,post-trained/ppo_privilege_gru_0722_long45_clip020_hard/checkpoints/actor_u0015.pth,clip .20 + hard
ppo_privilege_gru_0722_long45_clip020_hard_u0020,ppo_privilege_gru_0722_long45_clip020_hard,20,f0a4f9ad7846088452c9bf132d9b9ce4ecc97d2a5ae75671fa4188c58cf71c9e,11300942,540,0.000613249627189,2.954045881488829e-05,0.001861535012722,0.0002672197080438,0.0030131583962789,0.0,post-trained/ppo_privilege_gru_0722_long45_clip020_hard/checkpoints/actor_u0020.pth,clip .20 + hard
ppo_privilege_gru_0722_long45_clip020_hard_u0025,ppo_privilege_gru_0722_long45_clip020_hard,25,8e426ab4c0f65228622b95c185b9285ea30e259851ffcf79dca6ea1f1f2049b5,11300942,540,0.0006743321058501,3.2482824150636935e-05,0.001917079091072,0.0002979027145318,0.0033028929823935,0.0,post-trained/ppo_privilege_gru_0722_long45_clip020_hard/checkpoints/actor_u0025.pth,clip .20 + hard
ppo_privilege_gru_0722_long45_clip020_hard_u0030,ppo_privilege_gru_0722_long45_clip020_hard,30,edf615650d53b489dd728fe52db3287a625fe48f5e229273359d1a71abb1498a,11300942,540,0.0007222713421498,3.479207469517875e-05,0.0022545903921127,0.0003243475948639,0.0035239927872744,0.0,post-trained/ppo_privilege_gru_0722_long45_clip020_hard/checkpoints/actor_u0030.pth,clip .20 + hard
ppo_privilege_gru_0722_long45_clip020_hard_u0035,ppo_privilege_gru_0722_long45_clip020_hard,35,d8030e3df51236ace0efad1dc4d27b775dd38c211c16c7be7be13d8f9de8b187,11300942,540,0.0007943549432107,3.826436812017614e-05,0.0022008419036865,0.0003559901656631,0.0038776026743788,0.0,post-trained/ppo_privilege_gru_0722_long45_clip020_hard/checkpoints/actor_u0035.pth,clip .20 + hard
ppo_privilege_gru_0722_long45_clip020_hard_u0040,ppo_privilege_gru_0722_long45_clip020_hard,40,408996c560c956a23dbb3cf0ccc5214c0dd4c8cf554220026b23a4051ef6c33f,11300942,540,0.000869733039738,4.189535859662236e-05,0.002615263685584,0.0003822947405903,0.0042649309707514,0.0,post-trained/ppo_privilege_gru_0722_long45_clip020_hard/checkpoints/actor_u0040.pth,clip .20 + hard
ppo_privilege_gru_0722_long45_clip020_hard_u0045,ppo_privilege_gru_0722_long45_clip020_hard,45,c3d45a1ac70b54df9a28fdf30b453fb11b6617981d7e537de9ad95bfc1d7b5fd,11300942,540,0.0009331534874972,4.495034475885086e-05,0.0030681546777486,0.0004161138579284,0.0045605756979221,0.0,post-trained/ppo_privilege_gru_0722_long45_clip020_hard/checkpoints/actor_u0045.pth,clip .20 + hard
ppo_privilege_gru_0722_long45_clip020_u0035,ppo_privilege_gru_0722_long45_clip020,35,85e470cee27502eadd3d7a13328ba3bfce5a9a008d5dfcaf4f6a35ac89e825ab,11300942,540,0.0008682571020098,4.182426213648853e-05,0.0026628486812114,0.0003706825016142,0.0042852731669643,0.0,post-trained/ppo_privilege_gru_0722_long45_clip020/checkpoints/actor_u0035.pth,clip .20
ppo_privilege_gru_0722_long45_clip020_u0040,ppo_privilege_gru_0722_long45_clip020,40,1befd76ef1c4a7fb56dbb82d55ebb1086e1a8196f6662a1429d8fbbc1ba5e46e,11300942,540,0.000918160741609,4.422813870637643e-05,0.0026700794696807,0.0003999990899533,0.0045115295643708,0.0,post-trained/ppo_privilege_gru_0722_long45_clip020/checkpoints/actor_u0040.pth,clip .20
ppo_privilege_gru_0722_long45_clip020_u0045,ppo_privilege_gru_0722_long45_clip020,45,5233f5096a610e3db618f944fa78cc20530998124a2478ecf4454850e54c2325,11300942,540,0.0009689534557285,4.667484232105657e-05,0.0027273818850517,0.0004256381482453,0.0047521698997104,0.0,post-trained/ppo_privilege_gru_0722_long45_clip020/checkpoints/actor_u0045.pth,clip .20
ppo_privilege_gru_0722_long45_clip025_u0001,ppo_privilege_gru_0722_long45_clip025,1,6850171c2b9e8c9f5d27d983c1351420853ab650cf1fcebc7dfc4442b54562ce,11300942,540,0.0001317825339336,6.348012854132231e-06,0.0003559091128408,4.891887709126286e-05,0.0006671552181786,0.0,post-trained/ppo_privilege_gru_0722_long45_clip025/checkpoints/actor_u0001.pth,clip .25
ppo_privilege_gru_0722_long45_clip025_u0005,ppo_privilege_gru_0722_long45_clip025,5,32872d07b47f12e768f409abeb3883c682c70b92c94568e14ea842476b12d767,11300942,540,0.0003170931313802,1.5274492103582323e-05,0.0009432807564735,0.0001342351589239,0.0015678133358379,0.0,post-trained/ppo_privilege_gru_0722_long45_clip025/checkpoints/actor_u0005.pth,clip .25
ppo_privilege_gru_0722_long45_clip025_u0010,ppo_privilege_gru_0722_long45_clip025,10,0b103011520f995dd78451e562c0dad29ddfaeae4f110f434fe22cc4f3578ee6,11300942,540,0.0004557247455551,2.1952427657729693e-05,0.001369222998619,0.0001995219080048,0.0022367760257006,0.0,post-trained/ppo_privilege_gru_0722_long45_clip025/checkpoints/actor_u0010.pth,clip .25
ppo_privilege_gru_0722_long45_clip025_u0015,ppo_privilege_gru_0722_long45_clip025,15,e8dc817dbff19696c943cd7e63ce65b00e878869132ac2980c2f8bc2a0766f3a,11300942,540,0.0005474794821792,2.6372286876787094e-05,0.0017462186515331,0.0002428615814184,0.0026789853881159,0.0,post-trained/ppo_privilege_gru_0722_long45_clip025/checkpoints/actor_u0015.pth,clip .25
ppo_privilege_gru_0722_long45_clip025_u0020,ppo_privilege_gru_0722_long45_clip025,20,5a24e29a6f20a7e060b46adb3c252952ce67b332e50b5276ebcf4ab25c200aeb,11300942,540,0.0006387508360515,3.0768861371913345e-05,0.0021402537822723,0.0002855986737221,0.0031197511324314,0.0,post-trained/ppo_privilege_gru_0722_long45_clip025/checkpoints/actor_u0020.pth,clip .25
ppo_privilege_gru_0722_long45_clip025_u0025,ppo_privilege_gru_0722_long45_clip025,25,edf601e338cf74c7f6f9178d5e453e24895ce5539398127adcea4a32f486872b,11300942,540,0.0007333019708797,3.532342411514178e-05,0.0025432482361793,0.0003184699208084,0.0036057115753967,0.0,post-trained/ppo_privilege_gru_0722_long45_clip025/checkpoints/actor_u0025.pth,clip .25
ppo_privilege_gru_0722_long45_clip025_u0030,ppo_privilege_gru_0722_long45_clip025,30,79d34081687db204b223e97e3ce28ee5c5e55d6f6c2ed62defe6c3dd049e5744,11300942,540,0.0008397782019856,4.045242310722351e-05,0.0024950914084911,0.000375034983751,0.0041027662701989,0.0,post-trained/ppo_privilege_gru_0722_long45_clip025/checkpoints/actor_u0030.pth,clip .25
ppo_privilege_gru_0722_long45_clip025_u0035,ppo_privilege_gru_0722_long45_clip025,35,fb0218fd7298ae5aaf2e1044277ab3c67ae3352e46fc79e67a09d50dc9cec1d0,11300942,540,0.0009064340975886,4.366326197533034e-05,0.0028304010629653,0.0004029715053841,0.0044331842756504,0.0,post-trained/ppo_privilege_gru_0722_long45_clip025/checkpoints/actor_u0035.pth,clip .25
ppo_privilege_gru_0722_long45_clip025_u0040,ppo_privilege_gru_0722_long45_clip025,40,b0fe4d8e8e76fb55231ffbfffcf7e7ffca2c4f6c5085894cccb56d4bafb15dac,11300942,540,0.0009357603078421,4.507591624821207e-05,0.003122478723526,0.00042397372925,0.0045556858863321,0.0,post-trained/ppo_privilege_gru_0722_long45_clip025/checkpoints/actor_u0040.pth,clip .25
ppo_privilege_gru_0722_long45_clip025_u0045,ppo_privilege_gru_0722_long45_clip025,45,c7d61acd9e4f685b16c80a1dfc1415f6bb472d8cc58d7d030163b1c5d97905a0,11300942,540,0.0009821272153887,4.730942714169799e-05,0.0031465925276279,0.0004442299998957,0.0047834160878201,0.0,post-trained/ppo_privilege_gru_0722_long45_clip025/checkpoints/actor_u0045.pth,clip .25
