panel,collision_class,events,checkpoint,collision_class_label
BC,ego_only_wall_like,1,BC,ego-only / 墙类
BC,post_overtake_merge_rear_sweep,11,BC,超车后并线尾部扫碰（主判据）
BC,prepass_or_front_side_opponent_contact,10,BC,超车前/前侧 opponent 接触
ppo_privilege_gru_0721_base_u0020,post_overtake_merge_rear_sweep,7,P20 base U20,超车后并线尾部扫碰（主判据）
ppo_privilege_gru_0721_base_u0020,post_overtake_rear_contact_without_merge_threshold,1,P20 base U20,超车后后部接触（未达并线阈值）
ppo_privilege_gru_0721_base_u0020,prepass_or_front_side_opponent_contact,6,P20 base U20,超车前/前侧 opponent 接触
ppo_privilege_gru_0722_long45_clip020_hard_u0035,ego_only_wall_like,2,hard U35,ego-only / 墙类
ppo_privilege_gru_0722_long45_clip020_hard_u0035,post_overtake_merge_rear_sweep,2,hard U35,超车后并线尾部扫碰（主判据）
ppo_privilege_gru_0722_long45_clip020_hard_u0035,post_overtake_rear_contact_without_merge_threshold,4,hard U35,超车后后部接触（未达并线阈值）
ppo_privilege_gru_0722_long45_clip020_hard_u0035,prepass_or_front_side_opponent_contact,12,hard U35,超车前/前侧 opponent 接触
ppo_privilege_gru_0722_long45_clip020_hard_u0045,post_overtake_merge_rear_sweep,4,hard U45,超车后并线尾部扫碰（主判据）
ppo_privilege_gru_0722_long45_clip020_hard_u0045,post_overtake_rear_contact_without_merge_threshold,1,hard U45,超车后后部接触（未达并线阈值）
ppo_privilege_gru_0722_long45_clip020_hard_u0045,prepass_or_front_side_opponent_contact,12,hard U45,超车前/前侧 opponent 接触
ppo_privilege_gru_0722_long45_clip020_u0040,post_overtake_merge_rear_sweep,8,clip .20 U40,超车后并线尾部扫碰（主判据）
ppo_privilege_gru_0722_long45_clip020_u0040,prepass_or_front_side_opponent_contact,3,clip .20 U40,超车前/前侧 opponent 接触
ppo_privilege_gru_0722_long45_clip020_u0045,ego_only_wall_like,1,clip .20 U45,ego-only / 墙类
ppo_privilege_gru_0722_long45_clip020_u0045,post_overtake_merge_rear_sweep,7,clip .20 U45,超车后并线尾部扫碰（主判据）
ppo_privilege_gru_0722_long45_clip020_u0045,prepass_or_front_side_opponent_contact,4,clip .20 U45,超车前/前侧 opponent 接触
ppo_privilege_gru_0722_long45_clip025_u0045,post_overtake_merge_rear_sweep,7,clip .25 U45,超车后并线尾部扫碰（主判据）
ppo_privilege_gru_0722_long45_clip025_u0045,post_overtake_rear_contact_without_merge_threshold,1,clip .25 U45,超车后后部接触（未达并线阈值）
ppo_privilege_gru_0722_long45_clip025_u0045,prepass_or_front_side_opponent_contact,8,clip .25 U45,超车前/前侧 opponent 接触
ppo_privilege_gru_0722_long_clip020_u0030,post_overtake_merge_rear_sweep,4,clip .20 U30,超车后并线尾部扫碰（主判据）
ppo_privilege_gru_0722_long_clip020_u0030,prepass_or_front_side_opponent_contact,7,clip .20 U30,超车前/前侧 opponent 接触
