group,arm,updates,collision_path,merge_tail_path,overtake_path,mean_collisions_all_valid,mean_tail_all_valid,mean_collisions_u25_plus,mean_tail_u25_plus,best_update,best_collision_count,best_tail_count,final_update,final_collision_count,final_tail_count,final_overtake_count,mean_adjacent_collision_flips,mean_adjacent_tail_flips,unique_policy_count
G1 critic,independent_gru,1/5/10/15/20,19 / 19 / 27 / 29 / 34,10 / 12 / 12 / 15 / 16,345 / 339 / 339 / 330 / 329,25.6,13.0,,,1,19,10,20,34,16,329,19.25,9.5,5
G1 critic,privilege_mlp,1/5/10/15/20,24 / 25 / 25 / 21 / 25,9 / 9 / 10 / 8 / 9,343 / 345 / 347 / 349 / 360,24.0,9.0,,,15,21,8,20,25,9,360,19.25,11.5,5
G1 critic,privilege_gru,1/5/10/15/20,16 / 18 / 18 / 14 / 14,8 / 11 / 11 / 8 / 7,350 / 343 / 339 / 349 / 349,16.0,9.0,,,20,14,7,20,14,7,349,14.5,9.75,5
G2 batch,"batch 12,800",1/5/10/15/20,16 / 18 / 18 / 14 / 14,8 / 11 / 11 / 8 / 7,350 / 343 / 339 / 349 / 349,16.0,9.0,,,20,14,7,20,14,7,349,14.5,9.75,5
G2 batch,"batch 25,600",1/5/10/15/20,18 / 22 / 21 / 22 / 16,8 / 12 / 10 / 11 / 8,349 / 344 / 347 / 343 / 348,19.8,9.8,,,20,16,8,20,16,8,348,15.0,9.0,5
G2 batch,"batch 51,200",1/5/10/15/20,22 / 17 / 15 / 17 / 21,7 / 8 / 7 / 10 / 11,344 / 345 / 349 / 345 / 342,18.4,8.6,,,10,15,7,20,21,11,342,13.25,7.5,5
G3 legacy clip workers=8,clip 0.10,1/5/10/15/20,28 / 23 / 17 / 28 / 20,12 / 13 / 9 / 17 / 9,340 / 344 / 351 / 333 / 340,23.2,12.0,,,10,17,9,20,20,9,340,16.0,11.75,5
G3 legacy clip workers=8,clip 0.20,1/5/10/15/20,24 / 23 / 22 / 18 / 14,13 / 11 / 12 / 12 / 8,343 / 331 / 335 / 342 / 341,20.2,11.2,,,20,14,8,20,14,8,341,16.0,10.25,5
G4 actor LR,LR 1x,1/5/10/15/20,18 / 15 / 15 / 19 / 21,8 / 5 / 6 / 6 / 7,345 / 349 / 350 / 354 / 353,17.6,6.4,,,5,15,5,20,21,7,353,11.25,5.25,5
G4 actor LR,LR 3x,1/5/10/15/20,16 / 18 / 18 / 14 / 14,8 / 11 / 11 / 8 / 7,350 / 343 / 339 / 349 / 349,16.0,9.0,,,20,14,7,20,14,7,349,14.5,9.75,5
G4 actor LR,LR 5x,1/5/10/15/20,19 / 21 / 21 / 26 / 26,10 / 13 / 9 / 16 / 12,347 / 344 / 341 / 326 / 318,21.75,12.0,,,1,19,10,15,26,16,326,20.75,14.5,5
G5 30U clip,clip 0.15,1/5/10/15/20/25/30,16 / 18 / 18 / 14 / 14 / 17 / 20,8 / 11 / 11 / 8 / 7 / 10 / 15,350 / 343 / 339 / 349 / 349 / 347 / 335,16.714285714285715,10.0,18.5,12.5,20,14,7,30,20,15,335,13.666666666666666,8.833333333333334,7
G5 30U clip,clip 0.20,1/5/10/15/20/25/30,21 / 18 / 16 / 13 / 13 / 17 / 11,12 / 6 / 8 / 6 / 6 / 7 / 4,343 / 347 / 350 / 349 / 350 / 352 / 358,15.571428571428571,7.0,14.0,5.5,30,11,4,30,11,4,358,10.666666666666666,5.333333333333333,7
G6 target-KL,off,1/5/10/15/20,16 / 18 / 18 / 14 / 14,8 / 11 / 11 / 8 / 7,350 / 343 / 339 / 349 / 349,16.0,9.0,,,20,14,7,20,14,7,349,14.5,9.75,5
G6 target-KL,0.02 workers=8,1/5/10/15/20,20 / 17 / 19 / 18 / 20,10 / 9 / 8 / 7 / 8,344 / 344 / 350 / 352 / 344,18.8,8.4,,,5,17,9,20,20,8,344,12.5,8.0,5
G6 target-KL,0.04,1/5/10/15/20,23 / 45 / 70 / 58 / 33,9 / 14 / 18 / 16 / 12,343 / 335 / 329 / 336 / 350,45.8,13.8,,,1,23,9,20,33,12,350,40.5,18.25,5
G7 45U extension,clip 0.20,1/5/10/15/20/25/30/35/40/45,21 / 18 / 16 / 13 / 13 / 17 / 11 / 14 / 11 / 12,12 / 6 / 8 / 6 / 6 / 7 / 4 / 7 / 8 / 7,343 / 347 / 350 / 349 / 350 / 352 / 358 / 349 / 355 / 357,14.6,7.1,13.0,6.6,30,11,4,45,12,7,357,11.22222222222222,6.777777777777778,10
G8 45U clip,clip 0.20,1/5/10/15/20/25/30/35/40/45,21 / 18 / 16 / 13 / 13 / 17 / 11 / 14 / 11 / 12,12 / 6 / 8 / 6 / 6 / 7 / 4 / 7 / 8 / 7,343 / 347 / 350 / 349 / 350 / 352 / 358 / 349 / 355 / 357,14.6,7.1,13.0,6.6,30,11,4,45,12,7,357,11.22222222222222,6.777777777777778,10
G8 45U clip,clip 0.25,1/5/10/15/20/25/30/35/40/45,18 / 23 / 15 / 15 / 21 / 14 / 18 / 18 / 18 / 16,7 / 11 / 3 / 6 / 10 / 4 / 5 / 5 / 7 / 7,348 / 347 / 364 / 357 / 346 / 356 / 361 / 360 / 359 / 355,17.6,6.5,16.8,5.6,25,14,4,45,16,7,355,12.88888888888889,7.111111111111111,10
G9 hard-neighbor,baseline pool 479,1/5/10/15/20/25/30/35/40/45,21 / 18 / 16 / 13 / 13 / 17 / 11 / 14 / 11 / 12,12 / 6 / 8 / 6 / 6 / 7 / 4 / 7 / 8 / 7,343 / 347 / 350 / 349 / 350 / 352 / 358 / 349 / 355 / 357,14.6,7.1,13.0,6.6,30,11,4,45,12,7,357,11.22222222222222,6.777777777777778,10
G9 hard-neighbor,boundary-aware pool 805,1/5/10/15/20/25/30/35/40/45,19 / 18 / 19 / 15 / 14 / 22 / 26 / 20 / 22 / 17,9 / 8 / 7 / 4 / 7 / 10 / 6 / 2 / 6 / 4,343 / 344 / 348 / 360 / 352 / 354 / 368 / 366 / 365 / 365,19.2,6.3,21.4,5.6,20,14,7,45,17,4,365,15.333333333333334,7.444444444444445,10
