run_label,run,critic,env_workers,batch_size,num_updates,gru_learning_rate,head_learning_rate,clip_range,target_kl_display,collision_pool,early_stop_updates,mean_approx_kl,max_approx_kl,final_explained_variance_post,final_value_loss_post,mean_training_collision_rate,collision_path,merge_tail_path,overtake_path,latest_valid_collision_count,latest_valid_tail_count,latest_valid_overtake_count
独立 GRU critic,ppo_independent_gru_0721_base,independent_gru,12,12800,20,3e-06,3e-05,0.15,off,479 (base),0,0.0596631994175022,3.495802640914917,0.9074039817653526,0.0501445877168241,0.2949496156139592,19 / 19 / 27 / 29 / 34,10 / 12 / 12 / 15 / 16,345 / 339 / 339 / 330 / 329,34,16,329
P20 privilege_gru 基线,ppo_privilege_gru_0721_base,privilege_gru,12,12800,20,3e-06,3e-05,0.15,off,479 (base),0,0.072806006563178,3.094435453414917,0.9220174622338332,0.0310628416625838,0.2865151656049708,16 / 18 / 18 / 14 / 14,8 / 11 / 11 / 8 / 7,350 / 343 / 339 / 349 / 349,14,7,349
"batch 25,600",ppo_privilege_gru_0721_bs25600,privilege_gru,12,25600,20,3e-06,3e-05,0.15,off,479 (base),0,0.0463735840576264,1.245259165763855,0.8907417132031176,0.0327830975575856,0.3169612477245392,18 / 22 / 21 / 22 / 16,8 / 12 / 10 / 11 / 8,349 / 344 / 347 / 343 / 348,16,8,348
"batch 51,200",ppo_privilege_gru_0721_bs51200,privilege_gru,12,51200,20,3e-06,3e-05,0.15,off,479 (base),0,0.0348880636493194,0.5527903437614441,0.8617407126749194,0.0652982211527399,0.289838190405976,22 / 17 / 15 / 17 / 21,7 / 8 / 7 / 10 / 11,344 / 345 / 349 / 345 / 342,21,11,342
clip .10（8 workers）,ppo_privilege_gru_0721_clip010,privilege_gru,8,12800,20,3e-06,3e-05,0.1,off,479 (base),0,0.0694028482426865,2.8735873699188232,0.9426720189391672,0.030346261317825,0.3147766510541274,28 / 23 / 17 / 28 / 20,12 / 13 / 9 / 17 / 9,340 / 344 / 351 / 333 / 340,20,9,340
clip .20（8 workers）,ppo_privilege_gru_0721_clip020,privilege_gru,8,12800,20,3e-06,3e-05,0.2,off,479 (base),0,0.0906698314284985,4.324038505554199,0.9489634652076272,0.0189277533051925,0.2681240266976331,24 / 23 / 22 / 18 / 14,13 / 11 / 12 / 12 / 8,343 / 331 / 335 / 342 / 341,14,8,341
target-KL .02（8 workers）,ppo_privilege_gru_0722_clip015_tkl002,privilege_gru,8,12800,20,3e-06,3e-05,0.15,0.02,479 (base),11,0.0576398369451286,2.4268271923065186,0.9173586960492012,0.0581854365666865,0.3152677887784624,20 / 17 / 19 / 18 / 20,10 / 9 / 8 / 7 / 8,344 / 344 / 350 / 352 / 344,20,8,344
target-KL .04,ppo_privilege_gru_0722_clip015_tkl004,privilege_gru,12,12800,20,3e-06,3e-05,0.15,0.04,479 (base),12,0.0602917502476858,1.0506645441055298,0.9066544820530256,0.0426936833418866,0.2733724296987513,23 / 45 / 70 / 58 / 33,9 / 14 / 18 / 16 / 12,343 / 335 / 329 / 336 / 350,33,12,350
clip .20 / 45U,ppo_privilege_gru_0722_long45_clip020,privilege_gru,12,12800,45,3e-06,3e-05,0.2,off,479 (base),0,0.0677311639559888,3.832719564437866,0.951260295419605,0.0216421776940541,0.2669659577008812,14 / 11 / 12,7 / 8 / 7,349 / 355 / 357,12,7,357
clip .20 / hard-neighbor / 45U,ppo_privilege_gru_0722_long45_clip020_hard,privilege_gru,12,12800,45,3e-06,3e-05,0.2,off,805 (hard),0,0.0775658230392954,2.739976644515991,0.929177078953282,0.0438968424418729,0.2522135953975406,19 / 18 / 19 / 15 / 14 / 22 / 26 / 20 / 22 / 17,9 / 8 / 7 / 4 / 7 / 10 / 6 / 2 / 6 / 4,343 / 344 / 348 / 360 / 352 / 354 / 368 / 366 / 365 / 365,17,4,365
clip .25 / 45U,ppo_privilege_gru_0722_long45_clip025,privilege_gru,12,12800,45,3e-06,3e-05,0.25,off,479 (base),0,0.0728245412781511,2.4329986572265625,0.942040889843072,0.0218316626225628,0.2978092794478532,18 / 23 / 15 / 15 / 21 / 14 / 18 / 18 / 18 / 16,7 / 11 / 3 / 6 / 10 / 4 / 5 / 5 / 7 / 7,348 / 347 / 364 / 357 / 346 / 356 / 361 / 360 / 359 / 355,16,7,355
clip .15 / 30U,ppo_privilege_gru_0722_long_clip015,privilege_gru,12,12800,30,3e-06,3e-05,0.15,off,479 (base),0,0.0599040661105743,3.094435453414917,0.9504502799407462,0.0311063119280552,0.2775328214177843,16 / 18 / 18 / 14 / 14 / 17 / 20,8 / 11 / 11 / 8 / 7 / 10 / 15,350 / 343 / 339 / 349 / 349 / 347 / 335,20,15,335
clip .20 / 30U,ppo_privilege_gru_0722_long_clip020,privilege_gru,12,12800,30,3e-06,3e-05,0.2,off,479 (base),0,0.0726521682325462,3.832719564437866,0.9059636928899524,0.0358867226789033,0.2915165129132406,21 / 18 / 16 / 13 / 13 / 17 / 11,12 / 6 / 8 / 6 / 6 / 7 / 4,343 / 347 / 350 / 349 / 350 / 352 / 358,11,4,358
