scenario_id,startpoint,ego_idx,opponent_raceline,opponent_speed_scale,unique_policy_panels,collision_panels,collision_rate,opponent_collision_panels,merge_tail_panels,merge_tail_rate,overtake_panels,follow_panels
evaluation-sp17-ego727-raceline2-v0.5,17,727,raceline2,0.5,86,86,1.0,86,0,0.0,0,0
evaluation-sp35-ego1497-raceline1-v0.5,35,1497,raceline1,0.5,86,86,1.0,86,0,0.0,0,0
evaluation-sp5-ego213-raceline0-v0.7,5,213,raceline0,0.7,86,73,0.8488372093023255,73,69,0.8023255813953488,13,0
evaluation-sp32-ego1368-raceline1-v0.6,32,1368,raceline1,0.6,86,61,0.7093023255813954,61,0,0.0,0,25
evaluation-sp15-ego641-raceline2-v0.7,15,641,raceline2,0.7,86,60,0.6976744186046512,60,58,0.6744186046511628,26,0
evaluation-sp17-ego727-raceline2-v0.7,17,727,raceline2,0.7,86,56,0.6511627906976745,54,15,0.1744186046511628,30,0
evaluation-sp36-ego1539-raceline1-v0.5,36,1539,raceline1,0.5,86,54,0.627906976744186,53,2,0.023255813953488372,31,1
evaluation-sp35-ego1497-raceline1-v0.6,35,1497,raceline1,0.6,86,49,0.5697674418604651,45,3,0.03488372093023256,10,27
evaluation-sp21-ego898-raceline0-v0.7,21,898,raceline0,0.7,86,45,0.5232558139534884,45,37,0.43023255813953487,41,0
evaluation-sp9-ego384-raceline0-v0.7,9,384,raceline0,0.7,86,45,0.5232558139534884,45,12,0.13953488372093023,41,0
evaluation-sp12-ego513-raceline0-v0.8,12,513,raceline0,0.8,86,43,0.5,43,40,0.46511627906976744,43,0
evaluation-sp2-ego85-raceline2-v0.8,2,85,raceline2,0.8,86,43,0.5,43,23,0.26744186046511625,26,17
evaluation-sp3-ego128-raceline2-v0.8,3,128,raceline2,0.8,86,43,0.5,43,3,0.03488372093023256,43,0
evaluation-sp13-ego556-raceline0-v0.8,13,556,raceline0,0.8,86,39,0.45348837209302323,39,28,0.32558139534883723,41,6
evaluation-sp32-ego1368-raceline1-v0.5,32,1368,raceline1,0.5,86,39,0.45348837209302323,39,0,0.0,0,47
evaluation-sp33-ego1411-raceline1-v0.5,33,1411,raceline1,0.5,86,37,0.43023255813953487,35,3,0.03488372093023256,1,48
evaluation-sp17-ego727-raceline0-v0.5,17,727,raceline0,0.5,86,35,0.4069767441860465,0,0,0.0,51,0
evaluation-sp6-ego256-raceline0-v0.8,6,256,raceline0,0.8,86,32,0.37209302325581395,32,32,0.37209302325581395,54,0
evaluation-sp25-ego1069-raceline2-v0.8,25,1069,raceline2,0.8,86,32,0.37209302325581395,32,13,0.1511627906976744,44,10
evaluation-sp6-ego256-raceline1-v0.5,6,256,raceline1,0.5,86,30,0.3488372093023256,30,21,0.2441860465116279,23,33
evaluation-sp25-ego1069-raceline0-v0.7,25,1069,raceline0,0.7,86,29,0.3372093023255814,6,2,0.023255813953488372,57,0
evaluation-sp36-ego1539-raceline0-v0.7,36,1539,raceline0,0.7,86,26,0.3023255813953488,26,26,0.3023255813953488,60,0
evaluation-sp4-ego171-raceline2-v0.8,4,171,raceline2,0.8,86,24,0.27906976744186046,24,24,0.27906976744186046,59,3
evaluation-sp37-ego1582-raceline2-v0.7,37,1582,raceline2,0.7,86,23,0.26744186046511625,23,23,0.26744186046511625,63,0
evaluation-sp15-ego641-raceline0-v0.8,15,641,raceline0,0.8,86,22,0.2558139534883721,22,8,0.09302325581395349,63,1
evaluation-sp45-ego1924-raceline0-v0.7,45,1924,raceline0,0.7,86,21,0.2441860465116279,21,21,0.2441860465116279,65,0
evaluation-sp46-ego1967-raceline2-v0.8,46,1967,raceline2,0.8,86,21,0.2441860465116279,21,21,0.2441860465116279,63,2
evaluation-sp8-ego342-raceline0-v0.8,8,342,raceline0,0.8,86,20,0.23255813953488372,20,2,0.023255813953488372,0,66
evaluation-sp20-ego855-raceline0-v0.7,20,855,raceline0,0.7,86,19,0.22093023255813954,19,19,0.22093023255813954,67,0
evaluation-sp1-ego42-raceline2-v0.8,1,42,raceline2,0.8,86,19,0.22093023255813954,19,6,0.06976744186046512,28,39
evaluation-sp17-ego727-raceline1-v0.5,17,727,raceline1,0.5,86,18,0.20930232558139536,18,0,0.0,2,66
evaluation-sp6-ego256-raceline1-v0.6,6,256,raceline1,0.6,86,17,0.19767441860465115,17,0,0.0,0,69
evaluation-sp30-ego1283-raceline0-v0.7,30,1283,raceline0,0.7,86,16,0.18604651162790697,16,16,0.18604651162790697,68,2
evaluation-sp25-ego1069-raceline0-v0.8,25,1069,raceline0,0.8,86,16,0.18604651162790697,16,11,0.12790697674418605,69,1
evaluation-sp10-ego427-raceline2-v0.7,10,427,raceline2,0.7,86,15,0.1744186046511628,15,15,0.1744186046511628,71,0
evaluation-sp4-ego171-raceline0-v0.7,4,171,raceline0,0.7,86,15,0.1744186046511628,15,11,0.12790697674418605,71,0
evaluation-sp1-ego42-raceline2-v0.7,1,42,raceline2,0.7,86,15,0.1744186046511628,15,10,0.11627906976744186,71,0
evaluation-sp10-ego427-raceline0-v0.6,10,427,raceline0,0.6,86,15,0.1744186046511628,15,1,0.011627906976744186,71,0
evaluation-sp34-ego1454-raceline0-v0.8,34,1454,raceline0,0.8,86,13,0.1511627906976744,13,10,0.11627906976744186,73,0
evaluation-sp26-ego1112-raceline0-v0.6,26,1112,raceline0,0.6,86,13,0.1511627906976744,11,0,0.0,73,0
evaluation-sp17-ego727-raceline0-v0.6,17,727,raceline0,0.6,86,12,0.13953488372093023,0,0,0.0,74,0
evaluation-sp31-ego1326-raceline2-v0.8,31,1326,raceline2,0.8,86,10,0.11627906976744186,10,10,0.11627906976744186,76,0
evaluation-sp45-ego1924-raceline2-v0.8,45,1924,raceline2,0.8,86,10,0.11627906976744186,10,10,0.11627906976744186,76,0
evaluation-sp7-ego299-raceline2-v0.8,7,299,raceline2,0.8,86,9,0.10465116279069768,9,9,0.10465116279069768,63,14
evaluation-sp35-ego1497-raceline1-v0.7,35,1497,raceline1,0.7,86,9,0.10465116279069768,9,0,0.0,0,77
evaluation-sp14-ego598-raceline0-v0.7,14,598,raceline0,0.7,86,8,0.09302325581395349,8,8,0.09302325581395349,78,0
evaluation-sp6-ego256-raceline2-v0.7,6,256,raceline2,0.7,86,8,0.09302325581395349,8,4,0.046511627906976744,77,1
evaluation-sp24-ego1026-raceline2-v0.8,24,1026,raceline2,0.8,86,8,0.09302325581395349,8,2,0.023255813953488372,78,0
evaluation-sp15-ego641-raceline1-v0.5,15,641,raceline1,0.5,86,8,0.09302325581395349,6,0,0.0,0,78
evaluation-sp23-ego983-raceline1-v0.5,23,983,raceline1,0.5,86,8,0.09302325581395349,8,0,0.0,7,71
evaluation-sp38-ego1625-raceline1-v0.5,38,1625,raceline1,0.5,86,8,0.09302325581395349,8,0,0.0,0,78
evaluation-sp8-ego342-raceline0-v0.7,8,342,raceline0,0.7,86,7,0.08139534883720931,7,7,0.08139534883720931,79,0
evaluation-sp17-ego727-raceline2-v0.6,17,727,raceline2,0.6,86,7,0.08139534883720931,6,4,0.046511627906976744,79,0
evaluation-sp14-ego598-raceline1-v0.7,14,598,raceline1,0.7,86,7,0.08139534883720931,0,0,0.0,0,79
evaluation-sp23-ego983-raceline0-v0.7,23,983,raceline0,0.7,86,6,0.06976744186046512,6,6,0.06976744186046512,80,0
evaluation-sp26-ego1112-raceline0-v0.8,26,1112,raceline0,0.8,86,6,0.06976744186046512,6,6,0.06976744186046512,80,0
evaluation-sp3-ego128-raceline0-v0.8,3,128,raceline0,0.8,86,6,0.06976744186046512,6,6,0.06976744186046512,80,0
evaluation-sp7-ego299-raceline0-v0.8,7,299,raceline0,0.8,86,6,0.06976744186046512,6,6,0.06976744186046512,80,0
evaluation-sp48-ego2053-raceline1-v0.7,48,2053,raceline1,0.7,86,6,0.06976744186046512,0,0,0.0,0,80
evaluation-sp16-ego684-raceline0-v0.7,16,684,raceline0,0.7,86,5,0.05813953488372093,5,5,0.05813953488372093,81,0
evaluation-sp2-ego85-raceline2-v0.6,2,85,raceline2,0.6,86,5,0.05813953488372093,5,5,0.05813953488372093,81,0
evaluation-sp32-ego1368-raceline2-v0.7,32,1368,raceline2,0.7,86,5,0.05813953488372093,5,5,0.05813953488372093,81,0
evaluation-sp20-ego855-raceline2-v0.6,20,855,raceline2,0.6,86,5,0.05813953488372093,5,4,0.046511627906976744,81,0
evaluation-sp22-ego941-raceline2-v0.8,22,941,raceline2,0.8,86,5,0.05813953488372093,5,4,0.046511627906976744,81,0
evaluation-sp39-ego1668-raceline2-v0.8,39,1668,raceline2,0.8,86,5,0.05813953488372093,5,1,0.011627906976744186,11,70
evaluation-sp10-ego427-raceline1-v0.6,10,427,raceline1,0.6,86,5,0.05813953488372093,5,0,0.0,1,80
evaluation-sp16-ego684-raceline2-v0.8,16,684,raceline2,0.8,86,4,0.046511627906976744,4,3,0.03488372093023256,80,2
evaluation-sp19-ego812-raceline2-v0.6,19,812,raceline2,0.6,86,4,0.046511627906976744,4,3,0.03488372093023256,82,0
evaluation-sp21-ego898-raceline2-v0.6,21,898,raceline2,0.6,86,4,0.046511627906976744,4,3,0.03488372093023256,82,0
evaluation-sp21-ego898-raceline2-v0.8,21,898,raceline2,0.8,86,4,0.046511627906976744,4,3,0.03488372093023256,75,7
evaluation-sp17-ego727-raceline1-v0.6,17,727,raceline1,0.6,86,4,0.046511627906976744,4,1,0.011627906976744186,4,78
evaluation-sp2-ego85-raceline1-v0.5,2,85,raceline1,0.5,86,4,0.046511627906976744,4,1,0.011627906976744186,0,82
evaluation-sp29-ego1240-raceline0-v0.7,29,1240,raceline0,0.7,86,4,0.046511627906976744,4,1,0.011627906976744186,82,0
evaluation-sp40-ego1711-raceline2-v0.6,40,1711,raceline2,0.6,86,4,0.046511627906976744,4,1,0.011627906976744186,82,0
evaluation-sp8-ego342-raceline1-v0.5,8,342,raceline1,0.5,86,4,0.046511627906976744,4,1,0.011627906976744186,0,82
evaluation-sp31-ego1326-raceline1-v0.7,31,1326,raceline1,0.7,86,4,0.046511627906976744,4,0,0.0,0,82
evaluation-sp41-ego1753-raceline2-v0.8,41,1753,raceline2,0.8,86,4,0.046511627906976744,4,0,0.0,4,78
evaluation-sp48-ego2053-raceline1-v0.8,48,2053,raceline1,0.8,86,4,0.046511627906976744,1,0,0.0,0,82
evaluation-sp5-ego213-raceline1-v0.5,5,213,raceline1,0.5,86,4,0.046511627906976744,4,0,0.0,0,82
evaluation-sp5-ego213-raceline1-v0.6,5,213,raceline1,0.6,86,4,0.046511627906976744,0,0,0.0,0,82
evaluation-sp5-ego213-raceline2-v0.8,5,213,raceline2,0.8,86,4,0.046511627906976744,4,0,0.0,0,82
evaluation-sp1-ego42-raceline2-v0.6,1,42,raceline2,0.6,86,3,0.03488372093023256,3,3,0.03488372093023256,83,0
evaluation-sp20-ego855-raceline2-v0.8,20,855,raceline2,0.8,86,3,0.03488372093023256,3,3,0.03488372093023256,22,61
evaluation-sp22-ego941-raceline0-v0.6,22,941,raceline0,0.6,86,3,0.03488372093023256,3,3,0.03488372093023256,83,0
evaluation-sp22-ego941-raceline0-v0.7,22,941,raceline0,0.7,86,3,0.03488372093023256,3,3,0.03488372093023256,83,0
evaluation-sp22-ego941-raceline2-v0.6,22,941,raceline2,0.6,86,3,0.03488372093023256,3,3,0.03488372093023256,83,0
evaluation-sp32-ego1368-raceline2-v0.8,32,1368,raceline2,0.8,86,3,0.03488372093023256,3,3,0.03488372093023256,83,0
evaluation-sp36-ego1539-raceline0-v0.8,36,1539,raceline0,0.8,86,3,0.03488372093023256,3,3,0.03488372093023256,83,0
evaluation-sp45-ego1924-raceline2-v0.6,45,1924,raceline2,0.6,86,3,0.03488372093023256,3,3,0.03488372093023256,83,0
evaluation-sp46-ego1967-raceline0-v0.8,46,1967,raceline0,0.8,86,3,0.03488372093023256,3,3,0.03488372093023256,83,0
evaluation-sp47-ego2010-raceline2-v0.8,47,2010,raceline2,0.8,86,3,0.03488372093023256,3,3,0.03488372093023256,78,5
evaluation-sp48-ego2053-raceline2-v0.8,48,2053,raceline2,0.8,86,3,0.03488372093023256,3,3,0.03488372093023256,83,0
evaluation-sp5-ego213-raceline0-v0.8,5,213,raceline0,0.8,86,3,0.03488372093023256,3,3,0.03488372093023256,81,2
evaluation-sp9-ego384-raceline0-v0.6,9,384,raceline0,0.6,86,3,0.03488372093023256,3,3,0.03488372093023256,83,0
evaluation-sp13-ego556-raceline1-v0.6,13,556,raceline1,0.6,86,3,0.03488372093023256,2,1,0.011627906976744186,3,80
evaluation-sp24-ego1026-raceline0-v0.7,24,1026,raceline0,0.7,86,3,0.03488372093023256,2,1,0.011627906976744186,83,0
