group,run,label,axis_value,env_workers,planned_actor_steps_per_update,collision_path,mean_collision_u5_plus,best_update,best_collision_count,best_overtake_count,final_update,final_collision_count,final_overtake_count,final_follow_count,final_eval_valid,warmup_best_validation_loss,mean_approx_kl,max_approx_kl,mean_clip_fraction,final_explained_variance_post,early_stop_updates,actor_steps_completed,actor_steps_planned
Group 1,ppo_independent_gru_0721_base,independent_gru,independent_gru,12,16,19 / 19 / 27 / 29 / 34,27.25,1,19,345,20,34,329,237,True,0.19256181318227855,0.059663199417502255,3.495802640914917,0.10101342524558277,0.9074039817653526,0,320,320
Group 1,ppo_privilege_mlp_0721_base,privilege_mlp,privilege_mlp,12,16,24 / 25 / 25 / 21 / 25,24.0,15,21,349,20,25,360,215,True,0.18321504451681275,0.09656366032711594,2.662461757659912,0.10913989014170511,0.6734456517455584,0,320,320
Group 1,ppo_privilege_gru_0721_base,privilege_gru / shared baseline,baseline,12,16,16 / 18 / 18 / 14 / 14,16.0,15,14,349,20,14,349,237,True,0.29815395020017543,0.07280600656317801,3.094435453414917,0.09745165769709274,0.9220174622338332,0,320,320
Group 2,ppo_privilege_gru_0721_base,privilege_gru / shared baseline,baseline,12,16,16 / 18 / 18 / 14 / 14,16.0,15,14,349,20,14,349,237,True,0.29815395020017543,0.07280600656317801,3.094435453414917,0.09745165769709274,0.9220174622338332,0,320,320
Group 2,ppo_privilege_gru_0721_bs25600,batch 25600,25600,12,8,18 / 22 / 21 / 22 / 16,20.25,20,16,348,20,16,348,236,True,0.2608135938644409,0.04637358405762643,1.245259165763855,0.06795898314371698,0.8907417132031176,0,160,160
Group 2,ppo_privilege_gru_0721_bs51200,batch 51200,51200,12,4,22 / 17 / 15 / 17 / 21,17.5,10,15,349,20,21,342,237,True,0.2795169949531555,0.03488806364931948,0.5527903437614441,0.05960619981888158,0.8617407126749194,0,80,80
Group 3,ppo_privilege_gru_0721_clip010,clip 0.10 (legacy workers=8),0.10,8,16,28 / 23 / 17 / 28 / 20,22.0,10,17,351,20,20,340,240,True,0.1696825691263307,0.06940284824268655,2.8735873699188232,0.13597045600454294,0.9426720189391673,0,320,320
Group 3,ppo_privilege_gru_0721_base,privilege_gru / shared baseline,baseline,12,16,16 / 18 / 18 / 14 / 14,16.0,15,14,349,20,14,349,237,True,0.29815395020017543,0.07280600656317801,3.094435453414917,0.09745165769709274,0.9220174622338332,0,320,320
Group 3,ppo_privilege_gru_0721_clip020,clip 0.20 (legacy workers=8),0.20,8,16,24 / 23 / 22 / 18 / 14,19.25,20,14,341,20,14,341,245,True,0.1696825691263307,0.09066983142849859,4.324038505554199,0.058920897153848274,0.9489634652076271,0,320,320
Group 4,ppo_privilege_gru_0722_lr1_tkloff,actor LR 1x,1e-6 / 1e-5,12,16,18 / 15 / 15 / 19 / 21,17.5,10,15,350,20,21,353,226,True,0.29815395020017543,0.014728226376512677,0.5998773574829102,0.03430908137629558,0.9351399714458795,0,320,320
Group 4,ppo_privilege_gru_0721_base,privilege_gru / shared baseline,baseline,12,16,16 / 18 / 18 / 14 / 14,16.0,15,14,349,20,14,349,237,True,0.29815395020017543,0.07280600656317801,3.094435453414917,0.09745165769709274,0.9220174622338332,0,320,320
Group 4,ppo_privilege_gru_0722_lr5_tkloff,actor LR 5x,5e-6 / 5e-5,12,16,19 / 21 / 21 / 26 / 26*,22.666666666666668,1,19,347,20,26,318,255,False,0.29815395020017543,0.0815119436413588,4.960463047027588,0.15950341423413192,0.9249300132148621,0,320,320
Group 5,ppo_privilege_gru_0722_long_clip015,"30 updates, clip 0.15",0.15,12,16,16 / 18 / 18 / 14 / 14 / 17 / 20,16.833333333333332,15,14,349,30,20,335,245,True,0.29815395020017543,0.0599040661105743,3.094435453414917,0.08768359160446076,0.9504502799407462,0,480,480
Group 5,ppo_privilege_gru_0722_long_clip020,"30 updates, clip 0.20",0.20,12,16,21 / 18 / 16 / 13 / 13 / 17 / 11,14.666666666666666,30,11,358,30,11,358,231,True,0.29815395020017543,0.0726521682325462,3.832719564437866,0.05620914594534649,0.9059636928899524,0,480,480
Group 6,ppo_privilege_gru_0721_base,privilege_gru / shared baseline,baseline,12,16,16 / 18 / 18 / 14 / 14,16.0,15,14,349,20,14,349,237,True,0.29815395020017543,0.07280600656317801,3.094435453414917,0.09745165769709274,0.9220174622338332,0,320,320
Group 6,ppo_privilege_gru_0722_clip015_tkl002,target-KL 0.02 (workers=8),0.02,8,16,20 / 17 / 19 / 18 / 20,18.5,5,17,344,20,20,344,236,True,0.1696825691263307,0.05763983694512861,2.4268271923065186,0.059732292547663574,0.9173586960492012,11,206,320
Group 6,ppo_privilege_gru_0722_clip015_tkl004,target-KL 0.04,0.04,12,16,23 / 45 / 70 / 58 / 33,51.5,1,23,343,20,33,350,217,True,0.29815395020017543,0.06029175024768588,1.0506645441055298,0.10409032958099361,0.9066544820530256,12,203,320
