run,update,panel,episode_rows,unique_scenarios,trace_files,collision_count,collision_rate,overtake_count,follow_count,success_count,success_rate,error_count,avg_speed_mean,speed_variance_mean,total_distance_mean,median_collision_time_s,mean_collision_time_s,initial_ego_collision_count,collision_with_opponent_count,steering_anomaly_episode_count,near_proximity_episode_count,aggregate_consistent,all_action_observation_finite,trace_keys_match_episode_keys,matches_bc_scenario_set,valid
BC,0,BC,600,600,600,22,0.03666666666666667,344,234,578,0.9633333333333334,0,5.302630572051155,1.6215748785709145,41.93838559639491,4.924999999999939,4.8822727272726665,0,21,0,67,True,True,True,,True
ppo_independent_gru_0721_base,1,ppo_independent_gru_0721_base_u0001,600,600,600,19,0.03166666666666667,345,236,581,0.9683333333333334,0,5.291594311384797,1.6126662334685888,41.96300271845308,5.81999999999992,5.148421052631512,0,18,0,73,True,True,True,True,True
ppo_independent_gru_0721_base,5,ppo_independent_gru_0721_base_u0005,600,600,600,19,0.03166666666666667,339,242,581,0.9683333333333334,0,5.256416818790999,1.5721964021675956,41.68006765653679,5.139999999999935,5.104736842105198,0,18,0,84,True,True,True,True,True
ppo_independent_gru_0721_base,10,ppo_independent_gru_0721_base_u0010,600,600,600,27,0.045,339,234,573,0.955,0,5.267054189235332,1.612699922582446,41.5014480103971,4.329999999999952,4.756296296296238,0,23,0,115,True,True,True,True,True
ppo_independent_gru_0721_base,15,ppo_independent_gru_0721_base_u0015,600,600,600,29,0.04833333333333333,330,241,571,0.9516666666666667,0,5.233412845768857,1.5922700736720803,41.20635892400661,4.4499999999999496,4.817586206896492,0,27,0,95,True,True,True,True,True
ppo_independent_gru_0721_base,20,ppo_independent_gru_0721_base_u0020,600,600,600,34,0.056666666666666664,329,237,566,0.9433333333333334,0,5.23765755225003,1.607774256420119,41.208583332138694,5.229999999999933,5.16852941176464,0,32,0,102,True,True,True,True,True
ppo_privilege_mlp_0721_base,1,ppo_privilege_mlp_0721_base_u0001,600,600,600,24,0.04,343,233,576,0.96,0,5.290894355208753,1.6161013655303809,41.73427710165683,4.43499999999995,4.535416666666613,0,21,0,76,True,True,True,True,True
ppo_privilege_mlp_0721_base,5,ppo_privilege_mlp_0721_base_u0005,600,600,600,25,0.041666666666666664,345,230,575,0.9583333333333334,0,5.323514483969028,1.6420335642814636,42.067275806547855,5.3899999999999295,5.0859999999999355,0,24,0,93,True,True,True,True,True
ppo_privilege_mlp_0721_base,10,ppo_privilege_mlp_0721_base_u0010,600,600,600,25,0.041666666666666664,347,228,575,0.9583333333333334,0,5.313528495358008,1.6323902355208888,42.00865729881878,5.559999999999926,5.089999999999935,0,25,0,97,True,True,True,True,True
ppo_privilege_mlp_0721_base,15,ppo_privilege_mlp_0721_base_u0015,600,600,600,21,0.035,349,230,579,0.965,0,5.338366784424553,1.682299528262433,42.21966691497905,4.609999999999946,4.6933333333332765,0,20,0,78,True,True,True,True,True
ppo_privilege_mlp_0721_base,20,ppo_privilege_mlp_0721_base_u0020,600,600,600,25,0.041666666666666664,360,215,575,0.9583333333333334,0,5.426308796101915,1.747304893906116,42.815042208942614,4.609999999999946,4.621999999999945,0,24,0,80,True,True,True,True,True
ppo_privilege_gru_0721_base,1,ppo_privilege_gru_0721_base_u0001,600,600,600,16,0.02666666666666667,350,234,584,0.9733333333333334,0,5.314574428441212,1.6303755635338972,42.155576656230195,4.954999999999939,4.718749999999942,0,16,0,64,True,True,True,True,True
ppo_privilege_gru_0721_base,5,ppo_privilege_gru_0721_base_u0005,600,600,600,18,0.03,343,239,582,0.97,0,5.291015611377014,1.6365640746188475,41.95729801408799,4.554999999999947,4.944999999999938,0,18,0,64,True,True,True,True,True
ppo_privilege_gru_0721_base,10,ppo_privilege_gru_0721_base_u0010,600,600,600,18,0.03,339,243,582,0.97,0,5.2642221096387445,1.6176891967006921,41.73521779758722,4.939999999999939,4.843888888888829,0,16,0,68,True,True,True,True,True
ppo_privilege_gru_0721_base,15,ppo_privilege_gru_0721_base_u0015,600,600,600,14,0.023333333333333334,349,237,586,0.9766666666666667,0,5.319068738051534,1.65221423046547,42.21012417664443,3.96999999999996,4.252857142857095,0,14,0,57,True,True,True,True,True
ppo_privilege_gru_0721_base,20,ppo_privilege_gru_0721_base_u0020,600,600,600,14,0.023333333333333334,349,237,586,0.9766666666666667,0,5.313707270509142,1.6438515420400606,42.21783953848144,4.5449999999999475,4.7242857142856565,0,14,0,61,True,True,True,True,True
ppo_privilege_gru_0721_bs25600,1,ppo_privilege_gru_0721_bs25600_u0001,600,600,600,18,0.03,349,233,582,0.97,0,5.3306525261032975,1.6318732609317623,42.235410989017474,4.5449999999999475,4.700555555555498,0,18,0,68,True,True,True,True,True
ppo_privilege_gru_0721_bs25600,5,ppo_privilege_gru_0721_bs25600_u0005,600,600,600,22,0.03666666666666667,344,234,578,0.9633333333333334,0,5.317517857090511,1.6556237688308035,42.06956278690568,4.87999999999994,4.921818181818121,0,22,0,78,True,True,True,True,True
ppo_privilege_gru_0721_bs25600,10,ppo_privilege_gru_0721_bs25600_u0010,600,600,600,21,0.035,347,232,579,0.965,0,5.343955709512495,1.6701467561321237,42.291445247627,5.459999999999928,4.921904761904701,0,20,0,64,True,True,True,True,True
ppo_privilege_gru_0721_bs25600,15,ppo_privilege_gru_0721_bs25600_u0015,600,600,600,22,0.03666666666666667,343,235,578,0.9633333333333334,0,5.327385404977508,1.6632331960073201,42.1289987782497,4.839999999999941,4.7849999999999415,0,21,0,76,True,True,True,True,True
ppo_privilege_gru_0721_bs25600,20,ppo_privilege_gru_0721_bs25600_u0020,600,600,600,16,0.02666666666666667,348,236,584,0.9733333333333334,0,5.316958972298186,1.6551388629522281,42.16103305206216,4.289999999999953,4.562499999999946,0,15,0,70,True,True,True,True,True
ppo_privilege_gru_0721_bs51200,1,ppo_privilege_gru_0721_bs51200_u0001,600,600,600,22,0.03666666666666667,344,234,578,0.9633333333333334,0,5.298520701099435,1.6154470235198854,41.92592617577406,4.789999999999942,4.969999999999938,0,21,0,82,True,True,True,True,True
ppo_privilege_gru_0721_bs51200,5,ppo_privilege_gru_0721_bs51200_u0005,600,600,600,17,0.028333333333333332,345,238,583,0.9716666666666667,0,5.294308046557342,1.6254644479650187,42.017451630019885,5.81999999999992,4.967058823529349,0,16,0,77,True,True,True,True,True
ppo_privilege_gru_0721_bs51200,10,ppo_privilege_gru_0721_bs51200_u0010,600,600,600,15,0.025,349,236,585,0.975,0,5.314488607768715,1.6663885157764728,42.23750444543993,5.619999999999925,5.1553333333332665,0,14,0,70,True,True,True,True,True
ppo_privilege_gru_0721_bs51200,15,ppo_privilege_gru_0721_bs51200_u0015,600,600,600,17,0.028333333333333332,345,238,583,0.9716666666666667,0,5.290399788617545,1.6616240764022712,42.00291376657523,5.919999999999918,5.160588235294051,0,17,0,60,True,True,True,True,True
ppo_privilege_gru_0721_bs51200,20,ppo_privilege_gru_0721_bs51200_u0020,600,600,600,21,0.035,342,237,579,0.965,0,5.259036288370521,1.6339233342069386,41.63449312528648,4.489999999999949,4.85952380952375,0,20,0,61,True,True,True,True,True
ppo_privilege_gru_0721_clip010,1,ppo_privilege_gru_0721_clip010_u0001,600,600,600,28,0.04666666666666667,340,232,572,0.9533333333333334,0,5.297282588436191,1.6268694713535121,41.75878108404086,5.394999999999929,4.966785714285652,0,25,0,70,True,True,True,True,True
ppo_privilege_gru_0721_clip010,5,ppo_privilege_gru_0721_clip010_u0005,600,600,600,23,0.03833333333333333,344,233,577,0.9616666666666667,0,5.310987809811409,1.638513521697416,41.9824687630948,5.539999999999926,5.0404347826086315,0,20,0,74,True,True,True,True,True
ppo_privilege_gru_0721_clip010,10,ppo_privilege_gru_0721_clip010_u0010,600,600,600,17,0.028333333333333332,351,232,583,0.9716666666666667,0,5.303268970633639,1.623088482910922,42.09541021603658,5.689999999999923,5.102352941176405,0,16,0,78,True,True,True,True,True
ppo_privilege_gru_0721_clip010,15,ppo_privilege_gru_0721_clip010_u0015,600,600,600,28,0.04666666666666667,333,239,572,0.9533333333333334,0,5.262065772878432,1.6166002250513873,41.46916224548387,4.4499999999999496,4.874285714285654,0,24,0,75,True,True,True,True,True
ppo_privilege_gru_0721_clip010,20,ppo_privilege_gru_0721_clip010_u0020,600,600,600,20,0.03333333333333333,340,240,580,0.9666666666666667,0,5.2759561817355705,1.6231901873061536,41.76102809413771,4.509999999999948,4.688999999999943,0,17,0,70,True,True,True,True,True
ppo_privilege_gru_0721_clip020,1,ppo_privilege_gru_0721_clip020_u0001,600,600,600,24,0.04,343,233,576,0.96,0,5.294473571912611,1.6125915299211624,41.89438068392815,5.799999999999921,5.280416666666597,0,23,0,72,True,True,True,True,True
ppo_privilege_gru_0721_clip020,5,ppo_privilege_gru_0721_clip020_u0005,600,600,600,23,0.03833333333333333,331,246,577,0.9616666666666667,0,5.246973429454688,1.5628295579050946,41.50927447499041,5.399999999999929,5.099999999999935,0,21,0,61,True,True,True,True,True
ppo_privilege_gru_0721_clip020,10,ppo_privilege_gru_0721_clip020_u0010,600,600,600,22,0.03666666666666667,335,243,578,0.9633333333333334,0,5.240775507564617,1.5770619978717344,41.44871198330811,4.869999999999941,4.818181818181759,0,20,0,69,True,True,True,True,True
ppo_privilege_gru_0721_clip020,15,ppo_privilege_gru_0721_clip020_u0015,600,600,600,18,0.03,342,240,582,0.97,0,5.266100879222355,1.6015239193804656,41.76625060582358,4.649999999999945,4.878333333333273,0,18,0,62,True,True,True,True,True
ppo_privilege_gru_0721_clip020,20,ppo_privilege_gru_0721_clip020_u0020,600,600,600,14,0.023333333333333334,341,245,586,0.9766666666666667,0,5.258227497941119,1.602458037194978,41.78582889777202,4.664999999999945,4.712857142857085,0,13,0,60,True,True,True,True,True
ppo_privilege_gru_0722_lr1_tkloff,1,ppo_privilege_gru_0722_lr1_tkloff_u0001,600,600,600,18,0.03,345,237,582,0.97,0,5.303099512354652,1.6303574703424568,42.0189888217125,4.41499999999995,4.729999999999943,0,17,0,68,True,True,True,True,True
ppo_privilege_gru_0722_lr1_tkloff,5,ppo_privilege_gru_0722_lr1_tkloff_u0005,600,600,600,15,0.025,349,236,585,0.975,0,5.307568479902058,1.6341950859251309,42.12550252464515,4.43999999999995,4.590666666666611,0,13,0,68,True,True,True,True,True
ppo_privilege_gru_0722_lr1_tkloff,10,ppo_privilege_gru_0722_lr1_tkloff_u0010,600,600,600,15,0.025,350,235,585,0.975,0,5.319147292532575,1.6399490920792823,42.20330337237408,4.4999999999999485,4.4873333333332805,0,14,0,71,True,True,True,True,True
