run,label,groups,axis_value,started_at,critic,n_envs,env_workers,n_steps,batch_size,num_updates,actor_epochs,critic_epochs,gru_learning_rate,head_learning_rate,critic_learning_rate,steering_latent_std,speed_physical_std,gamma,gae_lambda,clip_range,target_kl,warmup_epochs,warmup_best_epoch,warmup_best_validation_loss,formal_rows,formal_updates_sequential,metrics_finite,checkpoint_complete,planned_actor_steps_per_update,actor_steps_completed,actor_steps_planned,early_stop_updates,mean_approx_kl,max_approx_kl,mean_clip_fraction,median_actor_grad_norm_preclip,max_actor_grad_norm_preclip,mean_value_loss_reduction,final_value_loss_post,final_explained_variance_post,final_collision_explained_variance_post,final_ordinary_explained_variance_post,mean_training_collision_rate,max_clearance_exact_high_saturation,rollout_wall_seconds_total,actor_wall_seconds_total,critic_wall_seconds_total
ppo_independent_gru_0721_base,independent_gru,Group 1,independent_gru,2026-07-21T14:47:48.021598+00:00,independent_gru,16,12,6400,12800,20,2,5,3e-06,3e-05,0.0003,0.03,0.15,0.999,0.995,0.15,,8,5,0.19256181318227855,20,True,True,True,16,320,320,0,0.059663199417502255,3.495802640914917,0.10101342524558277,37.50455028563738,275.40484619140625,0.4376616652569605,0.05014458771682413,0.9074039817653526,0.8909515731541202,0.8821581500273489,0.29494961561395927,,1716.8518690269957,348.54222223899797,1007.3955938349973
ppo_privilege_mlp_0721_base,privilege_mlp,Group 1,privilege_mlp,2026-07-21T16:15:44.980050+00:00,priviledge_mlp,16,12,6400,12800,20,2,5,3e-06,3e-05,0.0003,0.03,0.15,0.999,0.995,0.15,,30,30,0.18321504451681275,20,True,True,True,16,320,320,0,0.09656366032711594,2.662461757659912,0.10913989014170511,39.90411478281021,262.6734313964844,0.05911978302177676,0.17581658649850873,0.6734456517455584,0.5988132401013067,0.7992051009723162,0.33087889773321977,0.0,1514.233586172999,342.3421441260016,16.008830505001242
ppo_privilege_gru_0721_base,privilege_gru / shared baseline,"Group 1, Group 2, Group 3, Group 4, Group 6",baseline,2026-07-21T17:21:55.599241+00:00,privilege_gru,16,12,6400,12800,20,2,5,3e-06,3e-05,0.0003,0.03,0.15,0.999,0.995,0.15,,5,2,0.29815395020017543,20,True,True,True,16,320,320,0,0.07280600656317801,3.094435453414917,0.09745165769709274,43.35179224610329,296.24932861328125,0.41019594347539157,0.031062841662583874,0.9220174622338332,0.9214666967809444,0.8640827169759592,0.28651516560497087,0.0,1877.3195444899939,347.6350995729972,1037.7153297710065
ppo_privilege_gru_0721_bs25600,batch 25600,Group 2,25600,2026-07-21T18:53:26.185773+00:00,privilege_gru,16,12,6400,25600,20,2,5,3e-06,3e-05,0.0003,0.03,0.15,0.999,0.995,0.15,,8,5,0.2608135938644409,20,True,True,True,8,160,160,0,0.04637358405762643,1.245259165763855,0.06795898314371698,26.19664826989174,261.7760314941406,0.2963040872162549,0.03278309755758564,0.8907417132031176,0.8797230532468002,0.8106886282060017,0.31696124772453926,0.0,1873.096725254003,276.1119871369956,794.9857443170004
ppo_privilege_gru_0721_bs51200,batch 51200,Group 2,51200,2026-07-21T20:19:53.896505+00:00,privilege_gru,16,12,6400,51200,20,2,5,3e-06,3e-05,0.0003,0.03,0.15,0.999,0.995,0.15,,12,9,0.2795169949531555,20,True,True,True,4,80,80,0,0.03488806364931948,0.5527903437614441,0.05960619981888158,31.878069192171097,213.29798889160156,0.12381517079215845,0.06529822115273992,0.8617407126749194,0.8463429684205447,0.8312802393150613,0.2898381904059761,0.0,1874.719027170002,237.27936455800227,666.0152704170068
ppo_privilege_gru_0721_clip010,clip 0.10 (legacy workers=8),Group 3,0.10,2026-07-21T14:50:11.942747+00:00,privilege_gru,16,8,6400,12800,20,2,5,3e-06,3e-05,0.0003,0.03,0.15,0.999,0.995,0.1,,19,16,0.1696825691263307,20,True,True,True,16,320,320,0,0.06940284824268655,2.8735873699188232,0.13597045600454294,45.001743882894516,254.2866973876953,0.4092820648608095,0.03034626131782507,0.9426720189391673,0.9405154526274596,0.8886337357075038,0.31477665105412744,0.0,4635.327768436001,1010.7451479569988,2975.7918582730013
ppo_privilege_gru_0721_clip020,clip 0.20 (legacy workers=8),Group 3,0.20,2026-07-21T18:46:09.092937+00:00,privilege_gru,16,8,6400,12800,20,2,5,3e-06,3e-05,0.0003,0.03,0.15,0.999,0.995,0.2,,19,16,0.1696825691263307,20,True,True,True,16,320,320,0,0.09066983142849859,4.324038505554199,0.058920897153848274,27.54387830197811,176.27940368652344,0.5129927413868312,0.01892775330519259,0.9489634652076271,0.9306832779002323,0.9473179097792352,0.2681240266976331,0.0,4618.248075851012,1000.636012591005,2987.3257322870013
ppo_privilege_gru_0722_lr1_tkloff,actor LR 1x,Group 4,1e-6 / 1e-5,2026-07-22T02:32:01.656802+00:00,privilege_gru,16,12,6400,12800,20,2,5,1e-06,1e-05,0.0003,0.03,0.15,0.999,0.995,0.15,,5,2,0.29815395020017543,20,True,True,True,16,320,320,0,0.014728226376512677,0.5998773574829102,0.03430908137629558,24.010746963322163,195.56263732910156,0.4272387103228446,0.033153266766823376,0.9351399714458795,0.9282825762317608,0.9202442871893634,0.3070980002081511,0.0,1865.4716690230007,349.4496056459989,1041.7262589489997
ppo_privilege_gru_0722_lr5_tkloff,actor LR 5x,Group 4,5e-6 / 5e-5,2026-07-22T04:04:13.274601+00:00,privilege_gru,16,12,6400,12800,20,2,5,5e-06,5e-05,0.0003,0.03,0.15,0.999,0.995,0.15,,5,2,0.29815395020017543,20,True,True,True,16,320,320,0,0.0815119436413588,4.960463047027588,0.15950341423413192,52.341060258448124,298.2712707519531,0.3878392424484429,0.03224459800836655,0.9249300132148621,0.9122480291837732,0.8901370163545904,0.30185785608707477,0.0,1831.1051549980002,346.58003862400074,1033.1869977720053
ppo_privilege_gru_0722_long_clip015,"30 updates, clip 0.15",Group 5,0.15,2026-07-22T05:36:00.163522+00:00,privilege_gru,16,12,6400,12800,30,2,5,3e-06,3e-05,0.0003,0.03,0.15,0.999,0.995,0.15,,5,2,0.29815395020017543,30,True,True,True,16,480,480,0,0.0599040661105743,3.094435453414917,0.08768359160446076,34.611052960157394,296.24932861328125,0.4480870678216735,0.031106311928055273,0.9504502799407462,0.9446069798804855,0.9176855551286858,0.27753282141778435,0.0,2813.442925021989,522.3459478360091,1557.4763871930008
ppo_privilege_gru_0722_long_clip020,"30 updates, clip 0.20",Group 5,0.20,2026-07-22T07:50:53.704675+00:00,privilege_gru,16,12,6400,12800,30,2,5,3e-06,3e-05,0.0003,0.03,0.15,0.999,0.995,0.2,,5,2,0.29815395020017543,30,True,True,True,16,480,480,0,0.0726521682325462,3.832719564437866,0.05620914594534649,25.118241496384144,278.0511779785156,0.445428474567436,0.03588672267890336,0.9059636928899524,0.9027370677362223,0.8732978575351854,0.29151651291324054,0.0,2788.3224251709944,522.5310513540026,1558.8348593379997
ppo_privilege_gru_0722_clip015_tkl002,target-KL 0.02 (workers=8),Group 6,0.02,2026-07-22T02:27:42.478539+00:00,privilege_gru,16,8,6400,12800,20,2,5,3e-06,3e-05,0.0003,0.03,0.15,0.999,0.995,0.15,0.02,19,16,0.1696825691263307,20,True,True,True,16,206,320,11,0.05763983694512861,2.4268271923065186,0.059732292547663574,26.51826807260513,334.23883056640625,0.41104551372043796,0.058185436566686594,0.9173586960492012,0.8917841604567346,0.8797433996412425,0.3152677887784624,0.0,4722.277526329998,678.0182637090022,3104.141596008999
ppo_privilege_gru_0722_clip015_tkl004,target-KL 0.04,Group 6,0.04,2026-07-22T09:21:43.313091+00:00,privilege_gru,16,12,6400,12800,20,2,5,3e-06,3e-05,0.0003,0.03,0.15,0.999,0.995,0.15,0.04,5,2,0.29815395020017543,20,True,True,True,16,203,320,12,0.06029175024768588,1.0506645441055298,0.10409032958099361,35.29091327637434,402.2187805175781,0.4540553155797021,0.04269368334188669,0.9066544820530256,0.9040083982344864,0.8871024389065013,0.27337242969875136,0.0,1883.4016802629994,227.198810398997,1045.1753016069997
