comparison,a_run,a_update,b_run,b_update,a_collisions,b_collisions,shared,resolved,created,net_change,jaccard
BC -> shared PPO baseline U20,BC,0,ppo_privilege_gru_0721_base,20,22,14,12,10,2,-8,0.5
G1 independent -> privilege_gru U20,ppo_independent_gru_0721_base,20,ppo_privilege_gru_0721_base,20,34,14,9,25,5,-20,0.23076923076923078
G1 privilege_mlp -> privilege_gru U20,ppo_privilege_mlp_0721_base,20,ppo_privilege_gru_0721_base,20,25,14,8,17,6,-11,0.25806451612903225
G2 batch 12800 -> 25600 U20,ppo_privilege_gru_0721_base,20,ppo_privilege_gru_0721_bs25600,20,14,16,10,4,6,2,0.5
G2 batch 12800 -> 51200 U20,ppo_privilege_gru_0721_base,20,ppo_privilege_gru_0721_bs51200,20,14,21,8,6,13,7,0.2962962962962963
G3 clip 0.15 -> 0.10 U20,ppo_privilege_gru_0721_base,20,ppo_privilege_gru_0721_clip010,20,14,20,9,5,11,6,0.36
G3 clip 0.15 -> legacy 0.20 U20,ppo_privilege_gru_0721_base,20,ppo_privilege_gru_0721_clip020,20,14,14,6,8,8,0,0.2727272727272727
G4 LR3 -> LR1 U20,ppo_privilege_gru_0721_base,20,ppo_privilege_gru_0722_lr1_tkloff,20,14,21,7,7,14,7,0.25
G4 LR3 -> LR5 U15,ppo_privilege_gru_0721_base,20,ppo_privilege_gru_0722_lr5_tkloff,15,14,26,7,7,19,12,0.21212121212121213
G5 clip 0.15 U20 -> U30,ppo_privilege_gru_0722_long_clip015,20,ppo_privilege_gru_0722_long_clip015,30,14,20,8,6,12,6,0.3076923076923077
G5 clip 0.20 U20 -> U30,ppo_privilege_gru_0722_long_clip020,20,ppo_privilege_gru_0722_long_clip020,30,13,11,5,8,6,-2,0.2631578947368421
G5 clip 0.15 U30 -> 0.20 U30,ppo_privilege_gru_0722_long_clip015,30,ppo_privilege_gru_0722_long_clip020,30,20,11,5,15,6,-9,0.19230769230769232
G6 KL off -> 0.02 U20,ppo_privilege_gru_0721_base,20,ppo_privilege_gru_0722_clip015_tkl002,20,14,20,11,3,9,6,0.4782608695652174
G6 KL off -> 0.04 U20,ppo_privilege_gru_0721_base,20,ppo_privilege_gru_0722_clip015_tkl004,20,14,33,5,9,28,19,0.11904761904761904
BC -> selected clip 0.20 U30,BC,0,ppo_privilege_gru_0722_long_clip020,30,22,11,5,17,6,-11,0.17857142857142858
