variant	case_id	startpoint_ordinal	ego_idx	opp_raceline	opp_speedscale	bc_outcome	candidate_outcome	fixed_collision	new_collision	persistent_collision	gained_overtake	lost_overtake	collision_source_variant	collision_terminal_distance_m	collision_relative_progress_m	collision_phase_inferred	collision_cause_inferred	collision_final_time_s	label	history_policy	history_steps	last_0.5s_steer_signed_mean	last_0.5s_steer_abs_mean	last_0.5s_steer_abs_max	last_0.5s_speed_signed_mean	last_0.5s_speed_abs_mean	last_0.5s_speed_abs_max	last_1s_steer_signed_mean	last_1s_steer_abs_mean	last_1s_steer_abs_max	last_1s_speed_signed_mean	last_1s_speed_abs_mean	last_1s_speed_abs_max
seed1_iter10	sp01_ol2_s0.7	1	42	raceline2	0.7	collision	overtaking	1	0	0	1	0	BC	0.35892822340275443	-0.0515289306640625	alongside	opponent_proximity_inferred	4.710000038146973	fixed_collision	BC	471	-0.00021334853023290633	0.003906816877424717	0.007977426052093506	-0.02089008331298828	0.031171741485595702	0.07351350784301758	0.0005576394812669605	0.002963598662754521	0.007977426052093506	-0.005116991996765137	0.024222407341003418	0.07351350784301758
seed1_iter10	sp03_ol0_s0.8	3	128	raceline0	0.8	overtaking	collision	0	1	0	0	1	seed1_iter10	0.6386785026814163	-0.5862693786621094	alongside	opponent_proximity_inferred	6.269999980926514	new_collision	seed1_iter10	627	-0.003793987035751343	0.003793987035751343	0.007517516613006592	-0.05309135437011719	0.05309135437011719	0.09393978118896484	-0.005639623105525971	0.005639623105525971	0.01147221028804779	-0.05149462223052979	0.05149462223052979	0.09393978118896484
seed1_iter10	sp03_ol2_s0.8	3	128	raceline2	0.8	collision	overtaking	1	0	0	1	0	BC	0.41194355606988514	0.19910049438476562	alongside	opponent_proximity_inferred	4.409999847412109	fixed_collision	BC	441	0.00010124549269676209	0.005199511274695396	0.018085047602653503	-0.04093342781066894	0.04363266944885254	0.08132028579711914	0.0027997629274614157	0.00582015483523719	0.02031216025352478	-0.021296887397766112	0.03005569934844971	0.08132028579711914
seed1_iter10	sp04_ol0_s0.7	4	171	raceline0	0.7	overtaking	collision	0	1	0	0	1	seed1_iter10	0.46549464608681457	-0.355499267578125	alongside	opponent_proximity_inferred	5.179999828338623	new_collision	seed1_iter10	518	-0.004096110612154007	0.004096110612154007	0.006731010973453522	-0.05703194618225098	0.05703194618225098	0.09115743637084961	-0.003773440644145012	0.00483829639852047	0.011177986860275269	-0.058504586219787595	0.058504586219787595	0.09115743637084961
seed1_iter10	sp06_ol0_s0.8	6	256	raceline0	0.8	overtaking	collision	0	1	0	0	1	seed1_iter10	0.3484908521710615	-0.1281280517578125	alongside	opponent_proximity_inferred	7.900000095367432	new_collision	seed1_iter10	790	-0.001695069670677185	0.0031366175413131713	0.006631225347518921	-0.01740304946899414	0.02890472412109375	0.06293964385986328	-0.0016219967603683472	0.0025177991390228274	0.006893277168273926	0.00726285457611084	0.03677148342132568	0.07469463348388672
seed1_iter10	sp06_ol1_s0.5	6	256	raceline1	0.5	overtaking	collision	0	1	0	0	1	seed1_iter10	0.6058667607722114	-0.5344924926757812	alongside	opponent_proximity_inferred	2.9700000286102295	new_collision	seed1_iter10	297	0.00017174248117953538	0.0018046657787635922	0.005630515515804291	-0.03365158557891846	0.033817200660705565	0.06397771835327148	0.0019045918830670415	0.0037424944550730286	0.012127745896577835	-0.02902986764907837	0.029372055530548096	0.06397771835327148
seed1_iter10	sp08_ol0_s0.7	8	342	raceline0	0.7	overtaking	collision	0	1	0	0	1	seed1_iter10	0.5736507764348879	-0.4942779541015625	alongside	opponent_proximity_inferred	4.199999809265137	new_collision	seed1_iter10	420	-0.004408049954799935	0.004408049954799935	0.008596462139394134	-0.03696290016174317	0.03920779228210449	0.10435342788696289	-0.004550477973534726	0.004550477973534726	0.008596462139394134	-0.041953601837158204	0.04307604789733887	0.10435342788696289
seed1_iter10	sp09_ol0_s0.7	9	384	raceline0	0.7	collision	overtaking	1	0	0	1	0	BC	0.34130713760214765	-0.07282257080078125	alongside	opponent_proximity_inferred	7.389999866485596	fixed_collision	BC	739	-0.00034288138151168825	0.000963338315486908	0.004904389381408691	-0.06180753707885742	0.06180753707885742	0.0816802978515625	-0.001926742047071457	0.0022580306231975555	0.008832603693008423	-0.05200575351715088	0.05200575351715088	0.0816802978515625
seed1_iter10	sp10_ol1_s0.5	10	427	raceline1	0.5	following	collision	0	1	0	0	0	seed1_iter10	0.6117378652839893	-0.5441818237304688	alongside	opponent_proximity_inferred	4.130000114440918	new_collision	seed1_iter10	413	0.001471048593521118	0.004424512162804603	0.010910168290138245	-0.052733154296875	0.052733154296875	0.07283353805541992	0.0001013636781135574	0.004076831284328364	0.010910168290138245	-0.05790314674377441	0.05790314674377441	0.074249267578125
seed1_iter10	sp12_ol0_s0.8	12	513	raceline0	0.8	collision	overtaking	1	0	0	1	0	BC	0.329081021188587	-0.102081298828125	alongside	opponent_proximity_inferred	5.869999885559082	fixed_collision	BC	587	-0.001576111912727356	0.0033589082956314085	0.00747331976890564	-0.050170392990112306	0.050170392990112306	0.10018253326416016	-0.00306093692779541	0.003952335119247436	0.00747331976890564	-0.04129878997802734	0.04129878997802734	0.10018253326416016
