iteration	transition_count	steer_noise_mean	steer_noise_std	speed_noise_mean	speed_noise_std	steer_lag1_autocorrelation	speed_lag1_autocorrelation	steer_zero_cross_fraction	speed_zero_cross_fraction	steer_50step_mean_std_ratio	speed_50step_mean_std_ratio	max_abs_reconstructed_log_prob_error	steer_projection_count	speed_projection_count
1	12331	-0.0006090807998572555	0.029987654195986927	-0.0012405858539856318	0.19759381645251078	0.004447372472247628	-0.005789341892007743	0.4976857490864799	0.5046691027202599	0.13551879998122338	0.15503560376894812	4.3879062594953666e-05	19	0
2	12360	-0.00022658444941985726	0.029991019749641256	-0.0007883839333327456	0.19854655023359224	0.011086940623963622	0.0065676232147238505	0.49651652624756965	0.4967595593000648	0.1294318231408632	0.14080219799505292	3.407707122127235e-05	0	0
3	11370	-0.0002904322067751339	0.02995901254118135	0.0017310884089037947	0.20299567612447256	0.013289769873273353	-0.0034889030095873732	0.49797428219129825	0.5028183899947155	0.1300061130751344	0.14627397781306015	6.341909904072907e-05	0	0
4	10784	0.00024047252899643797	0.03005643183101263	0.000703461667196687	0.20034704783701338	0.005860344754344207	0.02149294811749984	0.4914561664190193	0.4901560178306092	0.14134681726396212	0.14003097212844565	3.0778097273920224e-05	0	0
5	10762	-8.698368912971707e-05	0.030205586889015323	-0.0019129406805486844	0.19953275283439942	0.0013193170035655818	0.008810220305896822	0.496463800483901	0.5006514051740183	0.14196786441528478	0.1481379586815193	3.2491574541326784e-05	1	0
6	12032	0.0004227525184742649	0.02990369948306907	0.0009596977442344453	0.19996527307641493	-0.009733348614030033	0.0017014361982287778	0.49850199733688416	0.5012483355525965	0.12926774831655716	0.1469273054044441	3.3076941562626416e-05	0	0
7	11297	8.733504391743604e-05	0.03005457704240061	0.0021775053424772737	0.19931153636533136	-0.0033129908395178724	-0.002683594248890575	0.4965871819874125	0.5015512809148125	0.13141509345531288	0.14535186360307156	3.9375318755752176e-05	2	0
8	11756	-0.00038912719572898555	0.029983284375795914	0.002788415051269142	0.2000642121165344	-0.0037360891254916797	-0.004245792225893456	0.5043441226575809	0.5038330494037478	0.13293278860910535	0.14915445863416008	4.294599148835232e-05	0	0
9	12816	0.00020005121477107478	0.030193513855081518	-0.0001427570495117321	0.20014845447117618	-0.022084580989775535	0.0012582815688326862	0.50546875	0.49828125	0.14625371352079938	0.13780102489044085	3.537288845723019e-05	3	0
10	11866	-7.32151460438373e-05	0.029999002742115036	0.0037608909683285404	0.20114347877595587	-0.0025607155333742804	-0.016342885271500046	0.4978059071729958	0.5026160337552743	0.13714103452358217	0.13315548774001623	2.9243297302361526e-05	0	0
11	12423	0.00045157576830926697	0.02994493885507128	0.0008194442917296326	0.19959600408678144	0.0023082625914245323	0.0017459929260353168	0.5004432981381478	0.5027000886596277	0.1491649124280524	0.1349123990210552	3.3050571662363026e-05	38	0
12	11100	-2.201475378184638e-07	0.03019484478387824	-0.0003980098006961582	0.19875147839829463	0.01582352622355212	0.010448430909486738	0.49693251533742333	0.49503789245759655	0.13682290327106195	0.13932998918801623	2.951253823524347e-05	2	0
13	9801	-0.00014663670165195841	0.03001698083294985	-0.0032532068311334956	0.2009744539467341	0.010780261361881012	-0.005299135868483701	0.4984159427695452	0.5000510986203373	0.13417938385029152	0.13544658276989094	2.8163227148825243e-05	29	0
14	11567	0.00022672866070119516	0.029747196979050924	-0.0022080228025090614	0.19881630526415167	-0.006978277890338222	-0.00496400272158543	0.5068825209938533	0.5023807462557355	0.13715857523736544	0.15534326230795845	4.181346546072717e-05	0	0
15	12344	0.00013477894281071782	0.0298064865596467	0.002126462916932319	0.19979293298855003	-0.0078072223022654175	-0.004884149832480981	0.4998377676833225	0.5034068786502272	0.13951227795927648	0.1464829576270192	3.541836520914998e-05	13	0
16	11458	0.00010323007416516884	0.029737305247615742	0.000785953275694192	0.19965311206148917	0.008111599475091465	0.011130851451253173	0.4969410942142982	0.4937073938122706	0.1532476290293918	0.14343327474602605	4.359287700972381e-05	0	0
17	11992	0.00022639151267540996	0.030163574675892826	0.003603255076755119	0.20030406298871176	-0.0027556385792666797	-0.007331675606438992	0.4989144956579826	0.501002004008016	0.1442497290825208	0.1389971310160642	3.2481775736226126e-05	0	0
18	11352	6.317982922762323e-05	0.030029500763347417	-0.0032726652274424127	0.19906226090713608	-0.0016083800909274901	-0.015240015720173862	0.5031757233592096	0.5087332392378264	0.14735993072802703	0.142323514301983	5.063249464676289e-05	2	0
19	12000	0.0006500139909330756	0.029874612033213094	9.54585870107015e-05	0.20106567397049532	0.001930232768451652	0.020675616578410005	0.4974966622162884	0.49974966622162886	0.15249992057159925	0.15280562454638935	4.428694521485532e-05	35	0
20	12660	7.262141579882746e-06	0.02999033559904753	0.00033566433859850747	0.198917574660608	0.009494937850525569	0.014178768762671648	0.4924865548876938	0.4981018664979437	0.1481514051167769	0.13250925083938758	3.3716023218444136e-05	0	0
21	10986	-0.00020233783211502936	0.029674461128529454	0.0006511170920964562	0.2018214459605507	-0.0073389965230414135	-0.008289063070793985	0.4936189608021878	0.5031905195989061	0.13692887246315297	0.14067743578062747	2.5939531039576025e-05	0	0
22	12807	0.00037206407137877943	0.030128958252223278	-0.0004475048780348203	0.19811850945494122	0.005314259818755256	-0.010904739616948432	0.49972637010397936	0.4958955515596904	0.14419992414639377	0.14697799474217774	3.2417266855322424e-05	60	0
23	12474	0.00022712323184920116	0.02991409171160267	0.00012587903687754024	0.20074173854975816	-0.0056269751311769515	0.009494591266740843	0.5	0.5	0.13804859337087433	0.1376975377244441	3.619464821547069e-05	0	0
24	11941	0.00044613653499865575	0.03006765349617418	-0.00037411776492268426	0.199253271513311	-0.00018884950531230106	0.004949337002009886	0.5058280922431866	0.5002096436058701	0.1416894373318213	0.1510596235472235	2.661414469229406e-05	0	0
25	11675	0.00018573348243906297	0.03003906549396972	5.33685949680892e-05	0.1989667047279659	0.0022937858049890867	0.004131858531644058	0.49626897675615406	0.4954970409125997	0.13994048395631295	0.14113472879834704	2.9284204149382376e-05	36	0
26	10744	0.0003498450685838152	0.02994365946726838	-0.0008156287718955386	0.19980896689428784	0.010036582729137832	-0.006793121375728661	0.4962714392244594	0.5070842654735273	0.14458975133906282	0.1486717381428348	3.3465880187710795e-05	21	0
27	11125	1.990244436088238e-06	0.029878640217577104	-0.0002478451675243592	0.20041864267036963	-0.00024095222303819334	0.004624428879963016	0.4984247006931317	0.49491403366639664	0.1411910302074145	0.13598047141358297	4.295911059237767e-05	36	0
28	12075	0.00017190748841335946	0.029752786927436096	-0.00010005748543433274	0.1988566189974217	0.008920149310155319	0.005057254526611091	0.49970976034497055	0.4999585371921387	0.14976599135126625	0.14220592461820034	3.6132288653067945e-05	0	0
29	12719	0.00010745636326589929	0.030201737354831643	-0.0015465549838197092	0.19981225883766635	0.007403479630835299	0.0017847144649798656	0.5015350704557978	0.4971266629929938	0.1476386401250078	0.138447614334413	3.0613214948793654e-05	0	0
30	11329	-2.9860101309803884e-05	0.030214905206990786	-0.0012256668781769097	0.19719571363346125	-0.023198083292868862	0.0011699119400054225	0.5033147706178732	0.4988950764607089	0.13603532222783182	0.13462558813752912	4.850099186359813e-05	9	0
