metric	startpoint_ordinal	seed1_iter10	seed1_iter20	seed1_iter30
collision	0	0	0	0
collision	1	2	1	2
collision	2	0	0	0
collision	3	0	0	0
collision	4	1	0	0
collision	5	1	-1	-1
collision	6	0	0	-1
collision	7	0	0	0
collision	8	-1	0	0
collision	9	0	1	0
collision	10	-1	-1	-2
collision	11	0	0	0
collision	12	1	1	1
collision	13	0	0	0
collision	14	0	-1	0
collision	15	0	0	0
collision	16	0	0	0
collision	17	1	1	2
collision	18	0	0	0
collision	19	0	0	0
collision	20	0	0	0
collision	21	1	0	0
collision	22	0	0	0
collision	23	0	0	0
collision	24	0	0	0
collision	25	-1	-1	-1
collision	26	-1	0	0
collision	27	0	0	0
collision	28	0	0	0
collision	29	0	0	0
collision	30	0	0	0
collision	31	-1	0	0
collision	32	1	1	-1
collision	33	-1	0	0
collision	34	0	0	0
collision	35	0	0	0
collision	36	0	-1	-1
collision	37	0	0	0
collision	38	0	0	0
collision	39	0	0	0
collision	40	0	0	0
collision	41	0	0	0
collision	42	0	0	0
collision	43	0	0	0
collision	44	0	0	0
collision	45	1	0	0
collision	46	-1	0	-1
collision	47	0	0	0
collision	48	0	-1	0
collision	49	0	0	0
overtake	0	0	0	0
overtake	1	1	1	2
overtake	2	0	0	0
overtake	3	0	0	0
overtake	4	1	1	0
overtake	5	1	0	0
overtake	6	-1	-1	-1
overtake	7	0	0	-1
overtake	8	0	0	0
overtake	9	0	1	0
overtake	10	-1	-1	-2
overtake	11	-1	0	0
overtake	12	1	1	1
overtake	13	0	0	0
overtake	14	-1	0	-1
overtake	15	0	0	0
overtake	16	0	0	0
overtake	17	2	1	1
overtake	18	1	1	1
overtake	19	1	1	1
overtake	20	0	0	0
overtake	21	1	0	0
overtake	22	0	1	1
overtake	23	0	0	0
overtake	24	0	0	0
overtake	25	0	0	0
overtake	26	-1	0	0
overtake	27	0	0	1
overtake	28	1	0	0
overtake	29	0	0	0
overtake	30	0	0	0
overtake	31	0	0	0
overtake	32	0	0	-1
overtake	33	-1	-1	-1
overtake	34	0	0	0
overtake	35	0	0	0
overtake	36	0	-1	-1
overtake	37	0	0	0
overtake	38	0	0	0
overtake	39	0	1	0
overtake	40	0	0	0
overtake	41	0	0	0
overtake	42	0	0	0
overtake	43	1	1	1
overtake	44	0	1	1
overtake	45	1	0	0
overtake	46	-1	0	-1
overtake	47	0	0	0
overtake	48	0	0	0
overtake	49	0	0	0
