matched_order	archived_outcome	innovation_seed	l2_id	l4_id	map_name	iid_outcome	ar1_outcome	iid_collision	ar1_collision	iid_repaired_collision	ar1_repaired_collision	repair_delta	iid_safe_to_collision	ar1_safe_to_collision	safe_harm_delta	iid_lost_overtake	ar1_lost_overtake	overtake_loss_delta
0	collision	0	L2:1d38ae4f073573321f8b2c8ba4b83b14f6d2da56d6baa1012de7dc0856e7b5ab	L4:2d0ce5d5bb53659981332c4e17cac9339c14eb8ca7a09d278a7b9afb18f771fa	Nuerburgring	collision	overtake	1	0	0	1	1	0	0	0	0	0	0
0	collision	1	L2:1d38ae4f073573321f8b2c8ba4b83b14f6d2da56d6baa1012de7dc0856e7b5ab	L4:2d0ce5d5bb53659981332c4e17cac9339c14eb8ca7a09d278a7b9afb18f771fa	Nuerburgring	overtake	collision	0	1	1	0	-1	0	0	0	0	0	0
0	collision	2	L2:1d38ae4f073573321f8b2c8ba4b83b14f6d2da56d6baa1012de7dc0856e7b5ab	L4:2d0ce5d5bb53659981332c4e17cac9339c14eb8ca7a09d278a7b9afb18f771fa	Nuerburgring	collision	overtake	1	0	0	1	1	0	0	0	0	0	0
0	collision	3	L2:1d38ae4f073573321f8b2c8ba4b83b14f6d2da56d6baa1012de7dc0856e7b5ab	L4:2d0ce5d5bb53659981332c4e17cac9339c14eb8ca7a09d278a7b9afb18f771fa	Nuerburgring	overtake	collision	0	1	1	0	-1	0	0	0	0	0	0
0	overtake	0	L2:6d8ed7b0a4915c7c61d30a59f26298a2d83f5f160e646f29ba03b9ee5a0629fc	L4:2d0ce5d5bb53659981332c4e17cac9339c14eb8ca7a09d278a7b9afb18f771fa	Nuerburgring	overtake	overtake	0	0	0	0	0	0	0	0	0	0	0
0	overtake	1	L2:6d8ed7b0a4915c7c61d30a59f26298a2d83f5f160e646f29ba03b9ee5a0629fc	L4:2d0ce5d5bb53659981332c4e17cac9339c14eb8ca7a09d278a7b9afb18f771fa	Nuerburgring	overtake	overtake	0	0	0	0	0	0	0	0	0	0	0
0	overtake	2	L2:6d8ed7b0a4915c7c61d30a59f26298a2d83f5f160e646f29ba03b9ee5a0629fc	L4:2d0ce5d5bb53659981332c4e17cac9339c14eb8ca7a09d278a7b9afb18f771fa	Nuerburgring	overtake	overtake	0	0	0	0	0	0	0	0	0	0	0
0	overtake	3	L2:6d8ed7b0a4915c7c61d30a59f26298a2d83f5f160e646f29ba03b9ee5a0629fc	L4:2d0ce5d5bb53659981332c4e17cac9339c14eb8ca7a09d278a7b9afb18f771fa	Nuerburgring	overtake	overtake	0	0	0	0	0	0	0	0	0	0	0
0	follow	0	L2:f7cbbdf5cc64d59c96616901dfcaea597a0cbd45557e1b392a8a62b28c1aa9a7	L4:2d0ce5d5bb53659981332c4e17cac9339c14eb8ca7a09d278a7b9afb18f771fa	Nuerburgring	follow	follow	0	0	0	0	0	0	0	0	0	0	0
0	follow	1	L2:f7cbbdf5cc64d59c96616901dfcaea597a0cbd45557e1b392a8a62b28c1aa9a7	L4:2d0ce5d5bb53659981332c4e17cac9339c14eb8ca7a09d278a7b9afb18f771fa	Nuerburgring	follow	follow	0	0	0	0	0	0	0	0	0	0	0
0	follow	2	L2:f7cbbdf5cc64d59c96616901dfcaea597a0cbd45557e1b392a8a62b28c1aa9a7	L4:2d0ce5d5bb53659981332c4e17cac9339c14eb8ca7a09d278a7b9afb18f771fa	Nuerburgring	follow	follow	0	0	0	0	0	0	0	0	0	0	0
0	follow	3	L2:f7cbbdf5cc64d59c96616901dfcaea597a0cbd45557e1b392a8a62b28c1aa9a7	L4:2d0ce5d5bb53659981332c4e17cac9339c14eb8ca7a09d278a7b9afb18f771fa	Nuerburgring	follow	follow	0	0	0	0	0	0	0	0	0	0	0
1	collision	0	L2:b4ab709ba1ed684a2a560197852438e4bc9719b0e34b6295cfcb7a6fe976e206	L4:454e65e0eb8cde720ef81d148f2339f190daa19ca31c2e439379fc3613c83d2b	Nuerburgring	collision	overtake	1	0	0	1	1	0	0	0	0	0	0
1	collision	1	L2:b4ab709ba1ed684a2a560197852438e4bc9719b0e34b6295cfcb7a6fe976e206	L4:454e65e0eb8cde720ef81d148f2339f190daa19ca31c2e439379fc3613c83d2b	Nuerburgring	overtake	overtake	0	0	1	1	0	0	0	0	0	0	0
1	collision	2	L2:b4ab709ba1ed684a2a560197852438e4bc9719b0e34b6295cfcb7a6fe976e206	L4:454e65e0eb8cde720ef81d148f2339f190daa19ca31c2e439379fc3613c83d2b	Nuerburgring	overtake	collision	0	1	1	0	-1	0	0	0	0	0	0
1	collision	3	L2:b4ab709ba1ed684a2a560197852438e4bc9719b0e34b6295cfcb7a6fe976e206	L4:454e65e0eb8cde720ef81d148f2339f190daa19ca31c2e439379fc3613c83d2b	Nuerburgring	overtake	collision	0	1	1	0	-1	0	0	0	0	0	0
1	overtake	0	L2:97a86bb6bc0e5089b0f956aa1b77b4849101881c8f032de3c6ddcbaf93d48cc3	L4:454e65e0eb8cde720ef81d148f2339f190daa19ca31c2e439379fc3613c83d2b	Nuerburgring	overtake	overtake	0	0	0	0	0	0	0	0	0	0	0
1	overtake	1	L2:97a86bb6bc0e5089b0f956aa1b77b4849101881c8f032de3c6ddcbaf93d48cc3	L4:454e65e0eb8cde720ef81d148f2339f190daa19ca31c2e439379fc3613c83d2b	Nuerburgring	overtake	overtake	0	0	0	0	0	0	0	0	0	0	0
1	overtake	2	L2:97a86bb6bc0e5089b0f956aa1b77b4849101881c8f032de3c6ddcbaf93d48cc3	L4:454e65e0eb8cde720ef81d148f2339f190daa19ca31c2e439379fc3613c83d2b	Nuerburgring	overtake	overtake	0	0	0	0	0	0	0	0	0	0	0
1	overtake	3	L2:97a86bb6bc0e5089b0f956aa1b77b4849101881c8f032de3c6ddcbaf93d48cc3	L4:454e65e0eb8cde720ef81d148f2339f190daa19ca31c2e439379fc3613c83d2b	Nuerburgring	overtake	overtake	0	0	0	0	0	0	0	0	0	0	0
1	follow	0	L2:e403cf3d8ee7d31aa45fc11d61a3b14a6f074bc3ce0ac8d74af506948d3a8234	L4:454e65e0eb8cde720ef81d148f2339f190daa19ca31c2e439379fc3613c83d2b	Nuerburgring	follow	follow	0	0	0	0	0	0	0	0	0	0	0
1	follow	1	L2:e403cf3d8ee7d31aa45fc11d61a3b14a6f074bc3ce0ac8d74af506948d3a8234	L4:454e65e0eb8cde720ef81d148f2339f190daa19ca31c2e439379fc3613c83d2b	Nuerburgring	follow	follow	0	0	0	0	0	0	0	0	0	0	0
1	follow	2	L2:e403cf3d8ee7d31aa45fc11d61a3b14a6f074bc3ce0ac8d74af506948d3a8234	L4:454e65e0eb8cde720ef81d148f2339f190daa19ca31c2e439379fc3613c83d2b	Nuerburgring	follow	follow	0	0	0	0	0	0	0	0	0	0	0
