host	workload	device	workers	affinity	mixed	pair	episodes_per_worker	episodes_per_s	mean_worker_episode_s
local	collector	cuda:0	1	all	isolated	-	2	0.139865	7.149739
local	collector	cuda:0	2	all	isolated	-	2	0.269499	7.339256
local	collector	cuda:0	3	all	isolated	-	2	0.381375	7.750119
local	collector	cuda:0	4	all	isolated	-	2	0.446662	8.457809
local	collector	cuda:0	6	all	isolated	-	2	0.528718	10.221605
local	collector	cuda:0	8	all	isolated	-	2	0.578208	12.867399
remote	collector	cuda:0	1	all	isolated	-	2	0.329171	3.037933
remote	collector	cuda:0	2	all	isolated	-	2	0.584648	3.409617
remote	collector	cuda:0	4	all	isolated	-	2	1.026041	3.756150
remote	collector	cuda:0	6	all	isolated	-	2	1.323324	4.329964
remote	collector	cuda:0	8	all	isolated	-	2	1.226627	4.960440
local	eval_npz_sha	cpu	4	all	isolated	-	2	0.541048	7.187803
local	eval_npz_sha	cpu	6	all	isolated	-	2	0.627538	8.658270
local	eval_npz_sha	cpu	8	all	isolated	-	2	0.690615	10.678199
remote	eval_npz_sha	cpu	4	all	isolated	-	2	1.046785	3.736777
remote	eval_npz_sha	cpu	8	all	isolated	-	2	1.175052	4.546475
remote	eval_npz_sha	cpu	10	all	isolated	-	2	1.322553	4.746818
remote	eval_npz_sha	cpu	12	all	isolated	-	2	1.429181	5.147594
remote	eval_npz_sha	cpu	14	all	isolated	-	2	1.355487	5.420522
local	collector	cuda:0	2	all	concurrent	local-unpinned-2g4c	3	0.210492	9.399199
local	eval_npz_sha	cpu	4	all	concurrent	local-unpinned-2g4c	3	0.430791	9.069243
remote	collector	cuda:0	4	all	concurrent	remote-unpinned-4g8c	3	0.658860	5.063900
remote	eval_npz_sha	cpu	8	all	concurrent	remote-unpinned-4g8c	3	1.135147	4.710542
local	collector	cuda:0	2	0,2	concurrent	local-pinned-2g6c	3	0.199098	9.852671
local	eval_npz_sha	cpu	6	4,6,8,10,12,14	concurrent	local-pinned-2g6c	3	0.610662	9.647025
remote	collector	cuda:0	4	0,2,4,6	concurrent	remote-pinned-4g8c	3	0.931467	4.193536
remote	eval_npz_sha	cpu	8	12-19	concurrent	remote-pinned-4g8c	3	0.909379	8.449302
remote	collector	cuda:0	6	0,2,4,6,8,10	concurrent	remote-pinned-6g8c	3	1.213394	4.808043
remote	eval_npz_sha	cpu	8	12-19	concurrent	remote-pinned-6g8c	3	0.897105	8.470710
