stage	config	seed	update	transitions	checkpoint	sha256	local_exists	sha256_verified	evaluated_full600
H1	N1-H1E-p25	20260719	1	25600	runs/ppo/h1_h2_conditional_v1/N1-H1E-p25_seed20260719/checkpoints/end2race_ppo_N1-H1E-p25_u0001_s20260719.pth	1ba3d30eb12d8c602097866eb89c4c82437579632742b175b416aa1f3dfcc425	true	true	true
H1	N1-H1E-p50	20260719	1	25600	runs/ppo/h1_h2_conditional_v1/N1-H1E-p50_seed20260719/checkpoints/end2race_ppo_N1-H1E-p50_u0001_s20260719.pth	af716ccb4a1db9adb477fd3c5d854337d078120b6e3eed92fd6748876385137e	true	true	true
H1	N1-H1E-p50	20260719	2	51200	runs/ppo/h1_h2_conditional_v1/N1-H1E-p50_seed20260719/checkpoints/end2race_ppo_N1-H1E-p50_u0002_s20260719.pth	2334943071978bdc8e05782ad59cce82fbd0d00f504fc03360d85d7af94bc07f	true	true	true
H1	N1-H1F-p25	20260719	1	25600	runs/ppo/h1_h2_conditional_v1/N1-H1F-p25_seed20260719/checkpoints/end2race_ppo_N1-H1F-p25_u0001_s20260719.pth	b602a9ac143b7cff960631b7ed3f9bfa5c2ec676528fcacdd0ba336b85cacc51	true	true	true
H1	N1-H1F-p50	20260719	1	25600	runs/ppo/h1_h2_conditional_v1/N1-H1F-p50_seed20260719/checkpoints/end2race_ppo_N1-H1F-p50_u0001_s20260719.pth	6b23369d35e65a40285fc927fdb400800d19808a15a5032d42dae2d88eefdd35	true	true	true
H1	N1-H1F-p50	20260719	2	51200	runs/ppo/h1_h2_conditional_v1/N1-H1F-p50_seed20260719/checkpoints/end2race_ppo_N1-H1F-p50_u0002_s20260719.pth	4aae930762cb7e286b298d6cdd1c073aef93cab336a9ac41c87c9af1d6e29f63	true	true	true
H1	N1-H1F-p50	20260720	1	25600	runs/ppo/h1_h2_conditional_v1/N1-H1F-p50_seed20260720/checkpoints/end2race_ppo_N1-H1F-p50_u0001_s20260720.pth	95f4dd4d76be9ccab20a604223bfbdc932fc7b4b7e3e845b40abb11840861eb7	true	true	false
H1	N1-H1F-p50	20260720	2	51200	runs/ppo/h1_h2_conditional_v1/N1-H1F-p50_seed20260720/checkpoints/end2race_ppo_N1-H1F-p50_u0002_s20260720.pth	2cc9ca6c4b8fdd6ca73cacf3021a42e4f0bbf0148ee38f47187e22d8191cc741	true	true	true
H1	N1-H1F-p50	20260721	1	25600	runs/ppo/h1_h2_conditional_v1/N1-H1F-p50_seed20260721/checkpoints/end2race_ppo_N1-H1F-p50_u0001_s20260721.pth	bd9312038c310a0ed2366e48d3e499ddca9a46e630d500e8fb1bca378032fa34	true	true	false
H1	N1-H1F-p50	20260721	2	51200	runs/ppo/h1_h2_conditional_v1/N1-H1F-p50_seed20260721/checkpoints/end2race_ppo_N1-H1F-p50_u0002_s20260721.pth	9b3ccfbf19b6511fa2b78b2863ccf886f5affc91671febf143332878ac4c92a9	true	true	true
